array	ordinal	locus	direction	start_basis
F68V1_E1	1	f68v1.3	CLOCKWISE	DOUBLE_RADIAL_STROKE_10H
F68V1_E1	2	f68v1.4	CLOCKWISE	DOUBLE_RADIAL_STROKE_10H
F68V1_E1	3	f68v1.5	CLOCKWISE	DOUBLE_RADIAL_STROKE_10H
F68V1_E1	4	f68v1.6	CLOCKWISE	DOUBLE_RADIAL_STROKE_10H
F68V1_E1	5	f68v1.7	CLOCKWISE	DOUBLE_RADIAL_STROKE_10H
F68V1_E1	6	f68v1.8	CLOCKWISE	DOUBLE_RADIAL_STROKE_10H
F68V1_E1	7	f68v1.9	CLOCKWISE	DOUBLE_RADIAL_STROKE_10H
F68V1_E1	8	f68v1.10	CLOCKWISE	DOUBLE_RADIAL_STROKE_10H
F68V2_E1	1	f68v2.18	CLOCKWISE	FIRST_STAR_POINT_11H30
F68V2_E1	2	f68v2.7	CLOCKWISE	FIRST_STAR_POINT_11H30
F68V2_E1	3	f68v2.9	CLOCKWISE	FIRST_STAR_POINT_11H30
F68V2_E1	4	f68v2.10	CLOCKWISE	FIRST_STAR_POINT_11H30
F68V2_E1	5	f68v2.12	CLOCKWISE	FIRST_STAR_POINT_11H30
F68V2_E1	6	f68v2.13	CLOCKWISE	FIRST_STAR_POINT_11H30
F68V2_E1	7	f68v2.15	CLOCKWISE	FIRST_STAR_POINT_11H30
F68V2_E1	8	f68v2.16	CLOCKWISE	FIRST_STAR_POINT_11H30
