template_replay_ordinal	event_id	statement_id	physical_page	register	surface	recipe	state_marker_sequence	state_frame_role	sentence_prefix_de	sentence_suffix_de	base_mode	effective_action_roots	action_topology	generated_action_chain_de	effective_argument_roots	argument_topology	generated_argument_phrase_de	modifier_atoms	modifier_type_sequence	generated_modifier_phrase_de	outer_template_signature	structural_template_signature	generated_microphrase_de	source_microphrase_de	exact_replay	replay_status	written_atom_alignment	guard	outer_template_id	structural_template_id
1	G407-E0005	G407-S001	f1r	SOURCE_SECTION_T	shol	SH+OL	OL	CONTINUE_CURRENT_OPERATION	Weiter	NONE	ACTION_CHAIN	SH	A	halte den Wert	AIIN	SINGLE	den Wert	NONE	NONE	NONE	PREFIX__ACTION_CHAIN__NO_MODIFIER__NO_SUFFIX	OL || ACTION_CHAIN || A || SINGLE || NONE	Weiter: halte den Wert.	Weiter: halte den Wert.	YES	EXACT_SOURCE_REPLAY	1:SH=halten | 2:OL=weiter	ATOMIC_TEMPLATE_REPLAY__NO_LEARNED_LONG_PHRASE	GDT565-O05	GDT565-T072
2	G407-E0010	G407-S001	f1r	SOURCE_SECTION_T	sholdy	SH+OL+D_ADDR+Y	OL	CONTINUE_CURRENT_OPERATION	Weiter	NONE	ACTION_CHAIN	SH	A	halte den Posten	Y	SINGLE	den Posten	D_ADDR	LOCAL_OR_CLASS_SIGN	hier	PREFIX__ACTION_CHAIN__MODIFIER__NO_SUFFIX	OL || ACTION_CHAIN || A || SINGLE || LOCAL_OR_CLASS_SIGN	Weiter: halte den Posten; hier.	Weiter: halte den Posten; hier.	YES	EXACT_SOURCE_REPLAY	1:SH=halten | 2:OL=weiter | 3:D_ADDR=hier | 4:Y=den Posten	ATOMIC_TEMPLATE_REPLAY__NO_LEARNED_LONG_PHRASE	GDT565-O03	GDT565-T068
3	G407-E0032	G407-S001	f1r	SOURCE_SECTION_T	oteey	OT+EE+Y	OT	ADVANCE_TO_NEXT_OPERATION	Danach	NONE	ACTION_CHAIN	S	A	wähle den Posten	Y	SINGLE	den Posten	EE	GRADE	auf Grad II	PREFIX__ACTION_CHAIN__MODIFIER__NO_SUFFIX	OT || ACTION_CHAIN || A || SINGLE || GRADE	Danach: wähle den Posten; auf Grad II.	Danach: wähle den Posten; auf Grad II.	YES	EXACT_SOURCE_REPLAY	1:OT=danach | 2:EE=auf Grad II | 3:Y=den Posten	ATOMIC_TEMPLATE_REPLAY__NO_LEARNED_LONG_PHRASE	GDT565-O03	GDT565-T127
4	G407-E0033	G407-S001	f1r	SOURCE_SECTION_T	oteos	OT+E+O+S_ADDR	OT	ADVANCE_TO_NEXT_OPERATION	Danach	NONE	ACTION_CHAIN	S	A	wähle den Posten	Y	SINGLE	den Posten	E+O+S_ADDR	GRADE+FORMAL_CONTROL+LOCAL_OR_CLASS_SIGN	auf Grad I; zur Ausführung; hier	PREFIX__ACTION_CHAIN__MODIFIER__NO_SUFFIX	OT || ACTION_CHAIN || A || SINGLE || GRADE+FORMAL_CONTROL+LOCAL_OR_CLASS_SIGN	Danach: wähle den Posten; auf Grad I; zur Ausführung; hier.	Danach: wähle den Posten; auf Grad I; zur Ausführung; hier.	YES	EXACT_SOURCE_REPLAY	1:OT=danach | 2:E=auf Grad I | 3:O=zur Ausführung | 4:S_ADDR=hier	ATOMIC_TEMPLATE_REPLAY__NO_LEARNED_LONG_PHRASE	GDT565-O03	GDT565-T130
5	G407-E0034	G407-S001	f1r	SOURCE_SECTION_T	roloty	R+OL+OT+Y	OL+OT	CONTINUE_THEN_ADVANCE	Weiter	danach nächsten Gang eröffnen	ACTION_CHAIN	R	A	markiere den Posten	Y	SINGLE	den Posten	NONE	NONE	NONE	PREFIX__ACTION_CHAIN__NO_MODIFIER__SUFFIX	OL+OT || ACTION_CHAIN || A || SINGLE || NONE	Weiter: markiere den Posten; danach nächsten Gang eröffnen.	Weiter: markiere den Posten; danach nächsten Gang eröffnen.	YES	EXACT_SOURCE_REPLAY	1:R=markieren | 2:OL=weiter | 3:OT=danach | 4:Y=den Posten	ATOMIC_TEMPLATE_REPLAY__NO_LEARNED_LONG_PHRASE	GDT565-O06	GDT565-T121
6	G407-E0048	G407-S002	f1r	SOURCE_SECTION_T	shol	SH+OL	OL	CONTINUE_CURRENT_OPERATION	Weiter	NONE	ACTION_CHAIN	SH	A	halte	NONE	NONE	NONE	NONE	NONE	NONE	PREFIX__ACTION_CHAIN__NO_MODIFIER__NO_SUFFIX	OL || ACTION_CHAIN || A || NONE || NONE	Weiter: halte.	Weiter: halte.	YES	EXACT_SOURCE_REPLAY	1:SH=halten | 2:OL=weiter	ATOMIC_TEMPLATE_REPLAY__NO_LEARNED_LONG_PHRASE	GDT565-O05	GDT565-T054
7	G407-E0056	G407-S002	f1r	SOURCE_SECTION_T	shody	SH+O+DY	DY	CLOSE_CURRENT_OPERATION	NONE	abschließen	ACTION_CHAIN	SH	A	halte den Posten	Y	SINGLE	den Posten	O	FORMAL_CONTROL	zur Ausführung	NO_PREFIX__ACTION_CHAIN__MODIFIER__SUFFIX	DY || ACTION_CHAIN || A || SINGLE || FORMAL_CONTROL	Halte den Posten; zur Ausführung; abschließen.	Halte den Posten; zur Ausführung; abschließen.	YES	EXACT_SOURCE_REPLAY	1:SH=halten | 2:O=zur Ausführung | 3:DY=abschließen	ATOMIC_TEMPLATE_REPLAY__NO_LEARNED_LONG_PHRASE	GDT565-O01	GDT565-T006
8	G407-E0058	G407-S003	f1r	SOURCE_SECTION_T	otchol	OT+CH+OL	OT+OL	ADVANCE_THEN_CONTINUE	Danach	weiterführen	ACTION_CHAIN	CH	A	nimm den Posten	Y	SINGLE	den Posten	NONE	NONE	NONE	PREFIX__ACTION_CHAIN__NO_MODIFIER__SUFFIX	OT+OL || ACTION_CHAIN || A || SINGLE || NONE	Danach: nimm den Posten; weiterführen.	Danach: nimm den Posten; weiterführen.	YES	EXACT_SOURCE_REPLAY	1:OT=danach | 2:CH=nehmen | 3:OL=weiter	ATOMIC_TEMPLATE_REPLAY__NO_LEARNED_LONG_PHRASE	GDT565-O06	GDT565-T167
9	G407-E0067	G407-S003	f1r	SOURCE_SECTION_T	cfhol	CH+LOCAL_CHAR_F+OL	OL	CONTINUE_CURRENT_OPERATION	Weiter	NONE	ACTION_CHAIN	CH	A	nimm den Wert	AIIN	SINGLE	den Wert	LOCAL_CHAR_F	LOCAL_OR_CLASS_SIGN	hier	PREFIX__ACTION_CHAIN__MODIFIER__NO_SUFFIX	OL || ACTION_CHAIN || A || SINGLE || LOCAL_OR_CLASS_SIGN	Weiter: nimm den Wert; hier.	Weiter: nimm den Wert; hier.	YES	EXACT_SOURCE_REPLAY	1:CH=nehmen | 2:LOCAL_CHAR_F=hier | 3:OL=weiter	ATOMIC_TEMPLATE_REPLAY__NO_LEARNED_LONG_PHRASE	GDT565-O03	GDT565-T068
10	G407-E0068	G407-S003	f1r	SOURCE_SECTION_T	shody	SH+O+DY	DY	CLOSE_CURRENT_OPERATION	NONE	abschließen	ACTION_CHAIN	SH	A	halte den Wert	AIIN	SINGLE	den Wert	O	FORMAL_CONTROL	zur Ausführung	NO_PREFIX__ACTION_CHAIN__MODIFIER__SUFFIX	DY || ACTION_CHAIN || A || SINGLE || FORMAL_CONTROL	Halte den Wert; zur Ausführung; abschließen.	Halte den Wert; zur Ausführung; abschließen.	YES	EXACT_SOURCE_REPLAY	1:SH=halten | 2:O=zur Ausführung | 3:DY=abschließen	ATOMIC_TEMPLATE_REPLAY__NO_LEARNED_LONG_PHRASE	GDT565-O01	GDT565-T006
11	G407-E0071	G407-S004	f1r	SOURCE_SECTION_T	teody	T+E+O+DY	DY	CLOSE_CURRENT_OPERATION	NONE	abschließen	ACTION_CHAIN	T	A	stelle den Anteil ein	AIN	SINGLE	den Anteil	E+O	GRADE+FORMAL_CONTROL	auf Grad I; zur Ausführung	NO_PREFIX__ACTION_CHAIN__MODIFIER__SUFFIX	DY || ACTION_CHAIN || A || SINGLE || GRADE+FORMAL_CONTROL	Stelle den Anteil ein; auf Grad I; zur Ausführung; abschließen.	Stelle den Anteil ein; auf Grad I; zur Ausführung; abschließen.	YES	EXACT_SOURCE_REPLAY	1:T=einstellen | 2:E=auf Grad I | 3:O=zur Ausführung | 4:DY=abschließen	ATOMIC_TEMPLATE_REPLAY__NO_LEARNED_LONG_PHRASE	GDT565-O01	GDT565-T013
