renderer_card_ordinal	renderer_card_id	card_class	selector	source_atoms	template_no_object_de	template_with_object_de	prefix_de	suffix_de	render_rule	usage_count	guard
1	GDT565-R01	STATE_FRAME	OL	OL	NONE	NONE	Weiter	NONE	CONTINUE_CURRENT_OPERATION	619	SMALL_RENDER_CARD__ROOT_VALUES_UNCHANGED
2	GDT565-R02	STATE_FRAME	DY	DY	NONE	NONE	NONE	abschließen	CLOSE_CURRENT_OPERATION	544	SMALL_RENDER_CARD__ROOT_VALUES_UNCHANGED
3	GDT565-R03	STATE_FRAME	OT	OT	NONE	NONE	Danach	NONE	ADVANCE_TO_NEXT_OPERATION	279	SMALL_RENDER_CARD__ROOT_VALUES_UNCHANGED
4	GDT565-R04	STATE_FRAME	OT+DY	OT+DY	NONE	NONE	Danach	abschließen	ADVANCE_THEN_CLOSE	86	SMALL_RENDER_CARD__ROOT_VALUES_UNCHANGED
5	GDT565-R05	STATE_FRAME	OL+DY	OL+DY	NONE	NONE	Weiter	abschließen	CONTINUE_THEN_CLOSE	74	SMALL_RENDER_CARD__ROOT_VALUES_UNCHANGED
6	GDT565-R06	STATE_FRAME	OT+OL	OT+OL	NONE	NONE	Danach	weiterführen	ADVANCE_THEN_CONTINUE	38	SMALL_RENDER_CARD__ROOT_VALUES_UNCHANGED
7	GDT565-R07	STATE_FRAME	OL+OL	OL+OL	NONE	NONE	Weiter	nochmals weiterführen	DOUBLE_CONTINUATION_BRIDGE	14	SMALL_RENDER_CARD__ROOT_VALUES_UNCHANGED
8	GDT565-R08	STATE_FRAME	OL+OT	OL+OT	NONE	NONE	Weiter	danach nächsten Gang eröffnen	CONTINUE_THEN_ADVANCE	1	SMALL_RENDER_CARD__ROOT_VALUES_UNCHANGED
9	GDT565-R09	STATE_FRAME	DY+OL	DY+OL	NONE	NONE	NONE	abschließen; danach weiterführen	CLOSE_THEN_CONTINUE	1	SMALL_RENDER_CARD__ROOT_VALUES_UNCHANGED
10	GDT565-R10	ACTION_TEMPLATE	OK	OK	setze	setze {argument}	NONE	NONE	SELECT_OBJECT_FORM_IF_ARGUMENT_PRESENT	414	SMALL_RENDER_CARD__ROOT_VALUES_UNCHANGED
11	GDT565-R11	ACTION_TEMPLATE	CH	CH	nimm	nimm {argument}	NONE	NONE	SELECT_OBJECT_FORM_IF_ARGUMENT_PRESENT	239	SMALL_RENDER_CARD__ROOT_VALUES_UNCHANGED
12	GDT565-R12	ACTION_TEMPLATE	SH	SH	halte	halte {argument}	NONE	NONE	SELECT_OBJECT_FORM_IF_ARGUMENT_PRESENT	434	SMALL_RENDER_CARD__ROOT_VALUES_UNCHANGED
13	GDT565-R13	ACTION_TEMPLATE	K	K	gib	gib {argument}	NONE	NONE	SELECT_OBJECT_FORM_IF_ARGUMENT_PRESENT	231	SMALL_RENDER_CARD__ROOT_VALUES_UNCHANGED
14	GDT565-R14	ACTION_TEMPLATE	S	S	wähle	wähle {argument}	NONE	NONE	SELECT_OBJECT_FORM_IF_ARGUMENT_PRESENT	115	SMALL_RENDER_CARD__ROOT_VALUES_UNCHANGED
15	GDT565-R15	ACTION_TEMPLATE	CHD	CHD	bearbeite	bearbeite {argument}	NONE	NONE	SELECT_OBJECT_FORM_IF_ARGUMENT_PRESENT	184	SMALL_RENDER_CARD__ROOT_VALUES_UNCHANGED
16	GDT565-R16	ACTION_TEMPLATE	T	T	stelle ein	stelle {argument} ein	NONE	NONE	SELECT_OBJECT_FORM_IF_ARGUMENT_PRESENT	120	SMALL_RENDER_CARD__ROOT_VALUES_UNCHANGED
17	GDT565-R17	ACTION_TEMPLATE	R	R	markiere	markiere {argument}	NONE	NONE	SELECT_OBJECT_FORM_IF_ARGUMENT_PRESENT	30	SMALL_RENDER_CARD__ROOT_VALUES_UNCHANGED
18	GDT565-R18	ACTION_TEMPLATE	P	P	setze ein	setze {argument} ein	NONE	NONE	SELECT_OBJECT_FORM_IF_ARGUMENT_PRESENT	84	SMALL_RENDER_CARD__ROOT_VALUES_UNCHANGED
19	GDT565-R19	ARGUMENT_CARD	Y	Y	den Posten	den Posten	NONE	NONE	INSERT_ARGUMENT_PHRASE	1076	SMALL_RENDER_CARD__ROOT_VALUES_UNCHANGED
20	GDT565-R20	ARGUMENT_CARD	AIIN	AIIN	den Wert	den Wert	NONE	NONE	INSERT_ARGUMENT_PHRASE	251	SMALL_RENDER_CARD__ROOT_VALUES_UNCHANGED
21	GDT565-R21	ARGUMENT_CARD	AIN	AIN	den Anteil	den Anteil	NONE	NONE	INSERT_ARGUMENT_PHRASE	148	SMALL_RENDER_CARD__ROOT_VALUES_UNCHANGED
22	GDT565-R22	ARGUMENT_CARD	OR	OR	die Einheit	die Einheit	NONE	NONE	INSERT_ARGUMENT_PHRASE	123	SMALL_RENDER_CARD__ROOT_VALUES_UNCHANGED
23	GDT565-R23	MODIFIER_FRAGMENT	als Klasse	AN	als Klasse	als Klasse	NONE	NONE	RETAIN_WRITTEN_MODIFIER_ORDER	3	SMALL_RENDER_CARD__ROOT_VALUES_UNCHANGED
24	GDT565-R24	MODIFIER_FRAGMENT	als Variante	LOCAL_CHAR_G	als Variante	als Variante	NONE	NONE	RETAIN_WRITTEN_MODIFIER_ORDER	1	SMALL_RENDER_CARD__ROOT_VALUES_UNCHANGED
25	GDT565-R25	MODIFIER_FRAGMENT	am Beginn	CARRIER_Q	am Beginn	am Beginn	NONE	NONE	RETAIN_WRITTEN_MODIFIER_ORDER	18	SMALL_RENDER_CARD__ROOT_VALUES_UNCHANGED
26	GDT565-R26	MODIFIER_FRAGMENT	auf Grad I	E	auf Grad I	auf Grad I	NONE	NONE	RETAIN_WRITTEN_MODIFIER_ORDER	498	SMALL_RENDER_CARD__ROOT_VALUES_UNCHANGED
