structural_template_id	signature	event_count	recipe_count	recipe_context_cell_count	physical_page_count	register_count	example_microphrases_de
GDT565-T001	DY || ACTION_CHAIN || A || NONE || FORMAL_CONTROL	2	2	2	2	2	Gib; zur Ausführung; abschließen. || Halte; zur Ausführung; abschließen.
GDT565-T002	DY || ACTION_CHAIN || A || NONE || GRADE	17	4	4	4	4	Halte; auf Grad I; abschließen. || Halte; auf Grad II; abschließen. || Setze; auf Grad I; abschließen. || Setze; auf Grad II; abschließen.
GDT565-T003	DY || ACTION_CHAIN || A || NONE || LOCAL_OR_CLASS_SIGN	1	1	1	1	1	Nimm; hier; abschließen.
GDT565-T004	DY || ACTION_CHAIN || A || NONE || LOCAL_OR_CLASS_SIGN+FORMAL_CONTROL	1	1	1	1	1	Halte; hier; zur Ausführung; abschließen.
GDT565-T005	DY || ACTION_CHAIN || A || NONE || RELATION	1	1	1	1	1	Bearbeite; über die Verbindung; abschließen.
GDT565-T006	DY || ACTION_CHAIN || A || SINGLE || FORMAL_CONTROL	16	6	13	11	5	Gib den Posten; zur Ausführung; abschließen. || Halte den Anteil; zur Ausführung; abschließen. || Halte den Posten; zur Ausführung; abschließen. || Halte den Wert; zur Ausführung; abschließen. || Halte die Einheit; zur Ausführung; abschließen. || Markiere die Einheit; zur Ausführung; abschließen. || Nimm den Posten; zur Ausführung; abschließen. || Setze den Anteil; zur Ausführung; abschließen. || Setze den Posten ein; zur Ausführung; abschließen. || Setze den Posten; zur Ausführung; abschließen. || Stelle den Posten ein; zur Ausführung; abschließen. || Wähle den Wert; zur Ausführung; abschließen.
GDT565-T007	DY || ACTION_CHAIN || A || SINGLE || FORMAL_CONTROL+FORMAL_CONTROL	4	2	4	4	3	Gib den Posten; auf der zweiten Stufe; auf der Stufe; abschließen. || Halte den Posten; am Beginn; zur Ausführung; abschließen. || Nimm den Posten; am Beginn; zur Ausführung; abschließen. || Stelle den Posten ein; am Beginn; zur Ausführung; abschließen.
GDT565-T008	DY || ACTION_CHAIN || A || SINGLE || FORMAL_CONTROL+FORMAL_CONTROL+GRADE+GRADE	2	2	2	2	2	Gib die Einheit; am Beginn; zur Ausführung; auf Grad I; auf Grad I; abschließen. || Wähle den Posten; am Beginn; zur Ausführung; auf Grad I; auf Grad I; abschließen.
GDT565-T009	DY || ACTION_CHAIN || A || SINGLE || FORMAL_CONTROL+GRADE	4	4	4	2	1	Halte den Anteil; zur Ausführung; auf Grad III; abschließen. || Halte den Posten; zur Ausführung; auf Grad II; abschließen. || Setze den Posten ein; zur Ausführung; auf Grad I; abschließen. || Setze den Posten; am Beginn; auf Grad I; abschließen.
GDT565-T010	DY || ACTION_CHAIN || A || SINGLE || FORMAL_CONTROL+LOCAL_OR_CLASS_SIGN	1	1	1	1	1	Wähle den Posten; zur Ausführung; hier; abschließen.
GDT565-T011	DY || ACTION_CHAIN || A || SINGLE || FORMAL_CONTROL+LOCAL_OR_CLASS_SIGN+GRADE	1	1	1	1	1	Stelle den Posten ein; zur Ausführung; hier; auf Grad II; abschließen.
GDT565-T012	DY || ACTION_CHAIN || A || SINGLE || GRADE	308	13	29	14	5	Gib den Anteil; auf Grad II; abschließen. || Gib den Posten; auf Grad I; abschließen. || Gib den Posten; auf Grad II; abschließen. || Gib den Wert; auf Grad I; abschließen. || Halte den Anteil; auf Grad I; abschließen. || Halte den Anteil; auf Grad II; abschließen. || Halte den Posten; auf Grad I; abschließen. || Halte den Posten; auf Grad II; abschließen. || Halte den Wert; auf Grad I; abschließen. || Halte den Wert; auf Grad II; abschließen. || Halte den Wert; auf Grad III; abschließen. || Halte die Einheit; auf Grad I; abschließen. || Halte die Einheit; auf Grad II; abschließen. || Setze den Anteil; auf Grad I; abschließen. || Setze den Anteil; auf Grad II; abschließen. || Setze den Posten ein; auf Grad III; abschließen. || Setze den Posten; auf Grad I; abschließen. || Setze den Posten; auf Grad II; abschließen. || Setze den Posten; auf Grad III; abschließen. || Setze den Wert; auf Grad I; abschließen. || Setze den Wert; auf Grad II; abschließen. || Setze die Einheit; auf Grad I; abschließen. || Setze die Einheit; auf Grad II; abschließen. || Stelle den Posten ein; auf Grad I; abschließen. || Stelle den Wert ein; auf Grad I; abschließen. || Wähle den Posten; auf Grad II; abschließen.
GDT565-T013	DY || ACTION_CHAIN || A || SINGLE || GRADE+FORMAL_CONTROL	6	5	5	5	3	Gib den Posten; auf Grad I; zur Ausführung; abschließen. || Gib den Posten; auf Grad II; zur Ausführung; abschließen. || Stelle den Anteil ein; auf Grad I; zur Ausführung; abschließen. || Stelle den Posten ein; auf Grad I; zur Ausführung; abschließen. || Stelle die Einheit ein; auf Grad II; zur Ausführung; abschließen.
GDT565-T014	DY || ACTION_CHAIN || A || SINGLE || GRADE+GRADE	1	1	1	1	1	Wähle den Posten; auf Grad I; auf Grad I; abschließen.
GDT565-T015	DY || ACTION_CHAIN || A || SINGLE || GRADE+RELATION+FORMAL_CONTROL	1	1	1	1	1	Halte den Posten; auf Grad II; zum Zielort; zur Ausführung; abschließen.
GDT565-T016	DY || ACTION_CHAIN || A || SINGLE || LOCAL_OR_CLASS_SIGN	3	3	3	2	1	Gib den Posten; hier; abschließen. || Halte den Posten; hier; abschließen.
GDT565-T017	DY || ACTION_CHAIN || A || SINGLE || LOCAL_OR_CLASS_SIGN+FORMAL_CONTROL	2	2	2	2	1	Nimm den Anteil; hier; zur Ausführung; abschließen. || Nimm den Posten; hier; zur Ausführung; abschließen.
GDT565-T018	DY || ACTION_CHAIN || A || SINGLE || LOCAL_OR_CLASS_SIGN+FORMAL_CONTROL+LOCAL_OR_CLASS_SIGN	1	1	1	1	1	Gib den Wert; hier; zur Ausführung; hier; abschließen.
GDT565-T019	DY || ACTION_CHAIN || A || SINGLE || LOCAL_OR_CLASS_SIGN+GRADE	1	1	1	1	1	Gib den Posten; hier; auf Grad I; abschließen.
GDT565-T020	DY || ACTION_CHAIN || A || SINGLE || LOCAL_OR_CLASS_SIGN+RELATION	1	1	1	1	1	Nimm den Anteil; hier; zum Zielort; abschließen.
GDT565-T021	DY || ACTION_CHAIN || A || SINGLE || LOCAL_OR_CLASS_SIGN+RELATION+FORMAL_CONTROL	1	1	1	1	1	Halte den Posten; hier; entlang der Bahn; zur Ausführung; abschließen.
