recipe_context_cell_ordinal	recipe_context_cell_id	gdt564_source_cell_id	recipe	portable_route	event_count	effective_action_signatures	effective_argument_signatures	state_marker_sequence	base_mode	action_topology	argument_topology	modifier_atoms	modifier_type_sequence	outer_template_id	structural_template_id	generated_owner_free_microphrase_de	source_microphrases_de	event_ids	physical_page_count	physical_pages	register_count	registers	exact_replay_event_count	normalized_event_count	all_events_accounted	guard
1	GDT565-C0001	FIXED_RECIPE	AIR+Y+DY	FIXED_RECIPE	1	K	Y	DY	ACTION_CHAIN	A	SINGLE	AIR	RELATION	GDT565-O01	GDT565-T024	Gib den Posten; entlang der Bahn; abschließen.	Gib den Posten; entlang der Bahn; abschließen.	G407-E3744	1	f83r	1	BIOLOGICAL	1	0	YES	RECIPE_CONTEXT_CELL_GENERATED_FROM_RENDERER_CARDS
2	GDT565-C0002	FIXED_RECIPE	AL+AL+SH+E+DY	FIXED_RECIPE	1	SH	Y	DY	ACTION_CHAIN	A	SINGLE	AL+AL+E	RELATION+RELATION+GRADE	GDT565-O01	GDT565-T028	Halte den Posten; zum Zielort; zum Zielort; auf Grad I; abschließen.	Halte den Posten; zum Zielort; zum Zielort; auf Grad I; abschließen.	G515-E0379	1	f66r	1	SOURCE_SECTION_T	1	0	YES	RECIPE_CONTEXT_CELL_GENERATED_FROM_RENDERER_CARDS
3	GDT565-C0003	GDT564-C0002	AL+CHD+DY	WRITTEN_ACTION__SELECT_ARGUMENT	4	CHD	Y	DY	ACTION_CHAIN	A	SINGLE	AL	RELATION	GDT565-O01	GDT565-T024	Bearbeite den Posten; zum Zielort; abschließen.	Bearbeite den Posten; zum Zielort; abschließen.	G407-E1276 || G407-E2021 || G407-E2501 || G407-E3594	4	f72r || f76r || f77r || f83r	2	BIOLOGICAL || CELESTIAL	4	0	YES	RECIPE_CONTEXT_CELL_GENERATED_FROM_RENDERER_CARDS
4	GDT565-C0004	GDT564-C0001	AL+CHD+DY	WRITTEN_ACTION__SELECT_ARGUMENT	1	CHD	AIIN	DY	ACTION_CHAIN	A	SINGLE	AL	RELATION	GDT565-O01	GDT565-T024	Bearbeite den Wert; zum Zielort; abschließen.	Bearbeite den Wert; zum Zielort; abschließen.	G407-E4121	1	f89r	1	PHARMA	1	0	YES	RECIPE_CONTEXT_CELL_GENERATED_FROM_RENDERER_CARDS
5	GDT565-C0005	GDT564-C0006	AL+DY	OPEN_FRAME__SELECT_ACTION_ARGUMENT	1	SH	Y	DY	ACTION_CHAIN	A	SINGLE	AL	RELATION	GDT565-O01	GDT565-T024	Halte den Posten; zum Zielort; abschließen.	Halte den Posten; zum Zielort; abschließen.	G407-E3397	1	f82r	1	BIOLOGICAL	1	0	YES	RECIPE_CONTEXT_CELL_GENERATED_FROM_RENDERER_CARDS
6	GDT565-C0006	GDT564-C0003	AL+DY	OPEN_FRAME__SELECT_ACTION_ARGUMENT	1	CH	Y	DY	ACTION_CHAIN	A	SINGLE	AL	RELATION	GDT565-O01	GDT565-T024	Nimm den Posten; zum Zielort; abschließen.	Nimm den Posten; zum Zielort; abschließen.	G407-E0439	1	f13r	1	HERBAL	1	0	YES	RECIPE_CONTEXT_CELL_GENERATED_FROM_RENDERER_CARDS
7	GDT565-C0007	GDT564-C0004	AL+DY	OPEN_FRAME__SELECT_ACTION_ARGUMENT	1	OK	AIN	DY	ACTION_CHAIN	A	SINGLE	AL	RELATION	GDT565-O01	GDT565-T024	Setze den Anteil; zum Zielort; abschließen.	Setze den Anteil; zum Zielort; abschließen.	G407-E2985	1	f81v	1	BIOLOGICAL	1	0	YES	RECIPE_CONTEXT_CELL_GENERATED_FROM_RENDERER_CARDS
8	GDT565-C0008	GDT564-C0005	AL+DY	OPEN_FRAME__SELECT_ACTION_ARGUMENT	1	OK	Y	DY	ACTION_CHAIN	A	SINGLE	AL	RELATION	GDT565-O01	GDT565-T024	Setze den Posten; zum Zielort; abschließen.	Setze den Posten; zum Zielort; abschließen.	G407-E1710	1	f75r	1	BIOLOGICAL	1	0	YES	RECIPE_CONTEXT_CELL_GENERATED_FROM_RENDERER_CARDS
9	GDT565-C0009	FIXED_RECIPE	AL+OL	FIXED_RECIPE	2	K	Y	OL	ACTION_CHAIN	A	SINGLE	AL	RELATION	GDT565-O03	GDT565-T073	Weiter: gib den Posten; zum Zielort.	Weiter: gib den Posten; zum Zielort.	G407-E2263 || G515-E0569	2	f66r || f76r	2	BIOLOGICAL || SOURCE_SECTION_T	2	0	YES	RECIPE_CONTEXT_CELL_GENERATED_FROM_RENDERER_CARDS
10	GDT565-C0010	FIXED_RECIPE	AL+SH+E+DY	FIXED_RECIPE	2	SH	Y	DY	ACTION_CHAIN	A	SINGLE	AL+E	RELATION+GRADE	GDT565-O01	GDT565-T026	Halte den Posten; zum Zielort; auf Grad I; abschließen.	Halte den Posten; zum Zielort; auf Grad I; abschließen.	G407-E2047 || G407-E2132	1	f76r	1	BIOLOGICAL	2	0	YES	RECIPE_CONTEXT_CELL_GENERATED_FROM_RENDERER_CARDS
