surface_form	joint_tuple_id	occurrences	event_ids	records	pages	formal_role	selected_parse	root_value_de	left_hull_value_de	right_argument_or_terminal	short_default_gloss_de	confidence	counterexample_or_limit
chdal	00d8ebe3c68294eeac39	1	E368	B5	f83r	NONCLOSE__ARG_AL	CHD+AL	umsetzen	NONE	AL=Stelle	an der Stelle umsetzen	MEDIUM_STRUCTURE__LOW_MEANING	Einzelbeleg; die alte Lesung weiterrühren beziehungsweise mit voriger Mischung folgt nicht aus AL.
chdy	6f7ff8287eddf4da9fdb	1	E342	B4	f83r	NONCLOSE__VARIANT_D	CHD+Y	umsetzen	NONE	Y=laufender Ansatz	Ansatz umsetzen oder durcharbeiten	HIGH_STRUCTURE__MEDIUM_MEANING	Dieselbe exakte Karte erscheint zehnmal als chedy; deshalb trägt E hier keinen eigenen Wert.
chedain	d784b2abcaf1a3703de2	1	E303	B3	f83r	NONCLOSE__ARG_AIN	CHED+AIN	umsetzen	NONE	AIN=Portion	eine Portion in Arbeit nehmen	MEDIUM_STRUCTURE__LOW_MEANING	Einzelbeleg; Spülung beginnen ist eine zu spezielle alte Ganzwortglosse.
chedchy	5e8441397e7c0faf042b	1	E240	B3	f83r	NONCLOSE__VARIANT_D	CHED+CHY	umsetzen	NONE	CHY=Y-Hülle beziehungsweise laufender Ansatz	Ansatz zuführen oder umsetzen	MEDIUM_STRUCTURE__LOW_MEANING	Einzelbeleg; warmes Wasser ist im sichtbaren Wort nicht eigens markiert.
chedy	6f7ff8287eddf4da9fdb	10	E062|E123|E145|E244|E252|E287|E304|E319|E328|E372	H4|B1|B3|B4|B5	f55v|f81v|f83r	NONCLOSE__VARIANT_D	CHED+Y	umsetzen	NONE	Y=laufender Ansatz	Ansatz umsetzen oder durcharbeiten	HIGH_STRUCTURE__MEDIUM_MEANING	Zehn von zehn Belegen sind formal NONCLOSE; deshalb darf die Endfolge DY hier nicht als Abschluss abgespalten werden. Rühren bleibt eine mögliche konkrete Unterart, aber nicht der Stammwert.
dalchdy	2bc2ed2630dbdaaa6b59	1	E280	B3	f83r	TERMINAL__CLOSE_OPAQUE	DAL+CHD+TERMINAL_Y	umsetzen	DAL unbestimmt	umhüllte DY-Abschlusskonstruktion	lokal umsetzen; Schluss	LOW	Einzelbeleg; Rückstand behalten kann weder aus DAL noch aus CHD abgeleitet werden.
dchdy	d225b7a7b95da7aee437	1	E158	B1	f81v	TERMINAL__CLOSE_OPAQUE	D+CHD+TERMINAL_Y	umsetzen	D unbestimmt beziehungsweise Rendererhülle	umhüllte DY-Abschlusskonstruktion	Umsetzung abschließen	LOW	Einzelbeleg; klar seihen ist als spezifischer Wert unbegründet.
dchedy	259b2b3b0bf859882e2c	1	E167	B2	f82r	TERMINAL__CLOSE_OPAQUE	RENDERER_D+CHED+TERMINAL_Y	umsetzen	D/S/T sind wertgleiche Oberflächenhüllen	umhüllte DY-Abschlusskonstruktion	Arbeitsbewegung abschließen	HIGH_STRUCTURE__LOW_MEANING	Dieselbe exakte Karte erscheint auch als schedy und tchedy; D kann daher hier nicht eigenständig ausspülen bedeuten.
lched	ba8142680851f24c9ff2	1	E174	B2	f82r	NONCLOSE__OPAQUE_PAYLOAD	L+CHED	umsetzen	L=ab oder aus	NONE	abführen oder weiterleiten	MEDIUM	Einzelbeleg und nichtterminal; nächstes Becken ist zu spezifisch, passt aber als möglicher lokaler Zielkontext.
lchedal	433713294b25b0a12f66	1	E147	B1	f81v	NONCLOSE__ARG_AL	L+CHED+AL	umsetzen	L=ab oder aus	AL=Stelle	Ablass- oder Transferstelle	MEDIUM_HIGH	Einzelbeleg; unteres Becken ist nur eine mögliche Bildkonkretisierung der allgemeineren Stelle.
lchedar	0f15effeca7ab10bb026	1	E215	B2	f82r	NONCLOSE__ARG_AR	L+CHED+AR	umsetzen	L=ab oder aus	AR=aus oder von	aus einer Quelle oder Station abführen	MEDIUM_HIGH	Einzelbeleg; die alte Lesung kühles Wasser enthält eine nicht sichtbare Temperatur.
lchedy	de7321bface5628e35d6	8	E210|E235|E246|E262|E269|E282|E345|E357	B2|B3|B4	f82r|f83r	TERMINAL__CLOSE_OPAQUE	L+CHED+TERMINAL_Y	umsetzen	L=ab oder aus	umhüllte DY-Abschlusskonstruktion	abführen; Schluss	HIGH_WITHIN_WORKING_MODEL	Alle acht Belege sind terminal und liegen in drei Biological-Records; konkrete Flüssigkeit, Richtung und Gefäß bleiben bild- beziehungsweise exemplarabhängig.
lochedy	f2af6326898fb5b490a4	1	E228	B2	f82r	TERMINAL__CLOSE_OPAQUE	L+O+CHED+TERMINAL_Y	umsetzen	L=ab oder aus; O unbestimmt	umhüllte DY-Abschlusskonstruktion	abführen oder umsetzen; Schluss	LOW	Einzelbeleg; gleichteilig mischen ist nicht kompositionell gestützt.
okchedy	07913ef9b1fb773cd325	1	E151	B1	f81v	TERMINAL__CLOSE_OPAQUE	OK+CHED+TERMINAL_Y	umsetzen	OK=in Gang setzen oder anwenden	umhüllte DY-Abschlusskonstruktion	Ansatz umsetzen; Schluss	MEDIUM	Dieselbe exakte Karte erscheint auch als qokchedy; abkühlen ist nicht sichtbar von qokchdy=erhitzen abgrenzbar.
olchedy	28ffbc88b97772a75f1e	1	E242	B3	f83r	TERMINAL__CLOSE_OPAQUE	OL+CHED+TERMINAL_Y	umsetzen	OL=weiter oder mit Vorigem	umhüllte DY-Abschlusskonstruktion	weiterführen; Schluss	MEDIUM_HIGH	Die alte Lesung beiseitestellen fügt einen unbelegten Zielort hinzu.
otchdy	601b77449028deed39de	1	E362	B5	f83r	TERMINAL__CLOSE_FRAME_OT	OT+CHD+TERMINAL_Y	umsetzen	OT=danach oder nächster	umhüllte DY-Abschlusskonstruktion	danach umsetzen; Schluss	MEDIUM	Einzelbeleg; abziehen ist als spezifische Richtung unbegründet und kann eine lokale Konkretisierung bleiben.
