family_id	status	surface_forms	joint_tuple_id	surface_occurrences	tuple_occurrences	pages	parse	minimal_working_gloss_de	e_grade_value	y_dy_value	previous_gloss_action	whole_card_status	evidence_note
OK_GRID	SELECTED_PRODUCTIVE	choky|oky|qoky	276a7c2d74d1143446f4	10	10	f10r|f56r|f81v|f82r|f83r	OK+Y	aktiven Ansatz einsetzen oder anwenden	UNMARKED	OPEN_ACTIVE	RETAIN_ANSATZ_GEBEN	COMPOSITIONAL	ungestufte Basis des fast vollständigen OK-Rasters
OK_GRID	SELECTED_PRODUCTIVE	okey|qokey	08bd5ca0c2ad137a056d	2	2	f81v|f82r	OK+E+Y	aktiven Ansatz kurz anlegen oder benetzen	BRIEF_DIRECT_CONTACT	OPEN_ACTIVE	REPLACE_WASSER_ZUGEBEN	COMPOSITIONAL	E-Y-Zelle; nicht mehr als Stoffwort Wasser lesen
OK_GRID	SELECTED_PRODUCTIVE	okeey|qokeey	0275fbf14e07935b0a45	7	7	f81v|f82r|f83r	OK+EE+Y	aktiven Ansatz anhaltend in Kontakt halten	SUSTAINED_CONTACT	OPEN_ACTIVE	REPLACE_WAERME_GEBEN	COMPOSITIONAL	EE-Y-Zelle wiederholt in vier Records
OK_GRID	SELECTED_PRODUCTIVE	qokedy	7db18b2f0fb7ed0fcfd3	8	8	f81v|f83r	OK+E+DY	kurz spülen oder benetzen und den Schritt abschließen	BRIEF_DIRECT_CONTACT	CLOSED	RETAIN_BUT_SIMPLIFY_SPUELEN	COMPOSITIONAL	E-DY-Zelle; koexistiert mit EE-DY auf f83r
OK_GRID	SELECTED_PRODUCTIVE	qokeedy	7d25241b0e56c836372a	10	10	f82r|f83r	OK+EE+DY	eintauchen oder einweichen und den Schritt abschließen	SUSTAINED_CONTACT	CLOSED	RETAIN_BUT_SIMPLIFY_BADEN	COMPOSITIONAL	EE-DY-Zelle; koexistiert mit E-DY in B3 und B4
OK_GRID	SELECTED_PRODUCTIVE_WEAK_TOP_GRADE	qokeeedy	d25110e0d8488927278f	1	1	f82r	OK+EEE+DY	vollständig durchtränken und den Schritt abschließen	THOROUGH_COMPLETE_CONTACT	CLOSED	RETAIN_VOLLSTAENDIG_BENETZEN	COMPOSITIONAL_SINGLETON_TOP_GRADE	gerichtete dritte Stufe aber nur ein Ereignis
OK_EXTENSION	SELECTED_DERIVED_PREDICTION	qokeedal	93f69c38fdedee1598e9	1	1	f81v	OK+EE+AL	bezeichneten Teil oder Stelle in anhaltenden Kontakt bringen	SUSTAINED_CONTACT	TARGET_AL	RETAIN_EINGETAUCHTER_TEIL	COMPOSITIONAL_PREDICTION	DAL ist Realisierung der AL-Kartenfamilie; kein DY
OK_EXTENSION	SELECTED_DERIVED_PREDICTION	okeeol	daf32e6db9e04413ce7f	1	1	f83r	OK+EE+OL	anhaltende Anwendung mit dem Vorigen fortführen	SUSTAINED_CONTACT	CONTINUE_OL	REPLACE_BREITES_GEFAESS	COMPOSITIONAL_PREDICTION	starke bekannte Komponenten aber Einzelbeleg
OT_GRID	SELECTED_PROVISIONAL_COMPOSITION	otedy	c45ebac60774620561e2	2	2	f83r	OT+E+DY	danach kurz oder gewöhnlich einwirken lassen und abschließen	BRIEF_DEFAULT_HOLD	CLOSED	REPLACE_BIS_KLAR	COMPOSITIONAL_PROVISIONAL	unabhängiger OT-Kern; beide Ereignisse B3
OT_GRID	SELECTED_PROVISIONAL_COMPOSITION	oteey	5d5e0b288cf36864ed9d	2	2	f82r	OT+EE+Y	danach anhaltend einwirken lassen; Arbeitszustand offen	SUSTAINED_HOLD	OPEN_ACTIVE	REPLACE_BADEZUSATZ	COMPOSITIONAL_PROVISIONAL	EE-Y-Gegenstück; konkretes Medium nicht in EE
OT_GRID	SELECTED_PROVISIONAL_COMPOSITION	qoteedy	ff178343c18e287ce3b7	2	2	f82r|f83r	OT+EE+DY	danach anhaltend einwirken lassen und abschließen	SUSTAINED_HOLD	CLOSED	REPLACE_WARMES_TUCH_AUFLEGEN	COMPOSITIONAL_PROVISIONAL	EE-DY überträgt von f82r nach f83r
