statement_id	record_unit_id	page	loci	field_ids	event_ids	event_count	revised_event_count	surface_sequence	stem_consistent_card_sequence_de	compact_stem_consistent_reading_de	physical_line_note
H1-S001	H1	f10r	f10r.2	F001	E001|E002|E003|E004|E005|E006|E007|E008|E009|E010	10	1	dchey · cthoor · char · chty · os · chair · otytchol · oky · daiin · etyd	Wurzelteil · säubern · aus demselben Ansatz · zerkleinern · Gefäß · Quellwasser · ersten Auszug auffangen · aktiven Ansatz einsetzen oder anwenden · Maß · Wurzelteil	Wurzelteil; säubern; aus demselben Ansatz; zerkleinern; Gefäß; Quellwasser; ersten Auszug auffangen; aktiven Ansatz einsetzen oder anwenden; Maß; Wurzelteil	LOCAL_SEQUENCE
H1-S002	H1	f10r	f10r.5	F002	E011|E012|E013|E014	4	1	qokchy · qotchol · chol · cthy	aktuellen Ansatz in Arbeit nehmen oder anwenden · gelind erwärmen · mit Vorigem weiter · bereit	Aktuellen Ansatz in Arbeit nehmen oder anwenden; gelind erwärmen; mit Vorigem weiter; bereit	LOCAL_SEQUENCE
H2-S001	H2	f10r	f10r.6	F003	E015|E016|E017|E018|E019|E020|E021|E022|E023	9	0	ycheor · cthy · chor · cthaiin · qoctholy · dy · chy · taiin · shy	Pflanzenspitzen · bereit · Zubereitung · Kraut zerstoßen · durch Tuch · Ansatz · Ansatz · Maß · Ansatz	Pflanzenspitzen; bereit; Zubereitung; Kraut zerstoßen; durch Tuch; Ansatz; Ansatz; Maß; Ansatz	LOCAL_SEQUENCE
H2-S002	H2	f10r	f10r.8	F004	E024|E025|E026|E027|E028|E029|E030|E031	8	0	qotchor · chor · otol · chol · cholor · chol · daiin · dar	zweite Auswahl · Zubereitung · Handvoll · mit Vorigem weiter · vorige Zubereitung · mit Vorigem weiter · Maß · aus demselben Ansatz	Zweite Auswahl; Zubereitung; Handvoll; mit Vorigem weiter; vorige Zubereitung; mit Vorigem weiter; Maß; aus demselben Ansatz	LOCAL_SEQUENCE
H2-S003	H2	f10r	f10r.9	F005	E032|E033|E034|E035|E036|E037|E038	7	0	oykchor · shor · chor · chy · kaiiin · dy · chodaiin	glasiertes Gefäß · Zubereitung · Zubereitung · Ansatz · weiche Salbe · Ansatz · Geschwür	Glasiertes Gefäß; Zubereitung; Zubereitung; Ansatz; weiche Salbe; Ansatz; Geschwür	LOCAL_SEQUENCE
H3-S001	H3	f11r	f11r.1	F006	E039|E040|E041|E042|E043|E044|E045	7	0	tshol · schoal · cfhy · shfydaiin · cphy · shey · tchody	Blütenkraut · in Wein kochen · durch Tuch wringen · stehen lassen · nochmals seihen · klare Flüssigkeit · abkühlen; Ende	Blütenkraut; in Wein kochen; durch Tuch wringen; stehen lassen; nochmals seihen; klare Flüssigkeit; abkühlen; Ende	LOCAL_SEQUENCE
H3-S002	H3	f11r	f11r.1	F007	E046	1	0	shoyty	Blütenanteil zurückhalten	Blütenanteil zurückhalten	LOCAL_SEQUENCE
H3-S003	H3	f11r	f11r.4	F008	E047|E048|E049|E050|E051	5	0	dchol · chy · kchy · dy · daiin	vorigen Ansatz abnehmen · Ansatz · als Trank geben · Ansatz · Maß	Vorigen Ansatz abnehmen; Ansatz; als Trank geben; Ansatz; Maß	LOCAL_SEQUENCE
H3-S004	H3	f11r	f11r.7	F009	E052|E053|E054|E055	4	1	qotchy · okchol · cthy · dy	zurückbehaltene Blüten · mit dem vorigen Arbeitsgut weiterarbeiten · bereit · Ansatz	Zurückbehaltene Blüten; mit dem vorigen Arbeitsgut weiterarbeiten; bereit; Ansatz	LOCAL_SEQUENCE
H4-S001	H4	f55v	f55v.5	F010	E056|E057|E058|E059|E060	5	1	qokaiin · chaiin · ykain · ykan · ody	nach Maß einsetzen; den Einsatz bemessen · Maß · Blätter zerstoßen · Weißwein zugeben · kühl lagern; Ende	Nach Maß einsetzen; den Einsatz bemessen; Maß; Blätter zerstoßen; Weißwein zugeben; kühl lagern; Ende	LOCAL_SEQUENCE
H4-S002	H4	f55v	f55v.5	F011	E061|E062|E063	3	1	daiin · chedy · talam	Maß · Ansatz umsetzen oder durcharbeiten · klaren Auszug verwahren	Maß; Ansatz umsetzen oder durcharbeiten; klaren Auszug verwahren	LOCAL_SEQUENCE
H4-S003	H4	f55v	f55v.11	F012	E064|E065|E066|E067	4	1	ykaiin · cheoar · cheeky · oldy	Wunde waschen · klarer Auszug · längere oder festgelegte Zustands- beziehungsweise Haltestufe · weiterführen; Ende	Wunde waschen; klarer Auszug; längere oder festgelegte Zustands- beziehungsweise Haltestufe; weiterführen; Ende	LOCAL_SEQUENCE
H4-S004	H4	f55v	f55v.11	F013	E068|E069|E070|E071|E072|E073	6	1	aiin · okal · oltchy · or · y · orain	Maß · an der Zielstelle anwenden; dorthin führen · gelind erwärmen · Zubereitung · Ansatz · warm auflegen	Maß; an der Zielstelle anwenden; dorthin führen; gelind erwärmen; Zubereitung; Ansatz; warm auflegen	LOCAL_SEQUENCE
H5-S001	H5	f56r	f56r.5|f56r.7	F014|F015	E074|E075|E076|E077|E078|E079|E080|E081|E082	9	1	chochor · cho · chodaly · daiin · sho · kchol · otchor · choky · dal	Pflanzenteil · Pflanze · Blütebeginn · Maß · Pflanze · auflegen · zweite Auswahl · aktiven Ansatz einsetzen oder anwenden · an der Stelle	Pflanzenteil; Pflanze; Blütebeginn; Maß; Pflanze; auflegen; zweite Auswahl; aktiven Ansatz einsetzen oder anwenden; an der Stelle	CONTINUES_ACROSS_LINE
H5-S002	H5	f56r	f56r.8	F016	E083|E084|E085|E086	4	1	schol · choy · choky · cheeckhody	vorigen Ansatz abnehmen · mit Wasser waschen · aktiven Ansatz einsetzen oder anwenden · äußerlich anwenden; Ende	Vorigen Ansatz abnehmen; mit Wasser waschen; aktiven Ansatz einsetzen oder anwenden; äußerlich anwenden; Ende	LOCAL_SEQUENCE
H5-S003	H5	f56r	f56r.12	F017	E087|E088|E089|E090	4	1	sh · cho · kchey · qokokchy	Pflanzenteil · Pflanze · grob zerreiben · Ansatz erneut oder kräftig in Arbeit nehmen	Pflanzenteil; Pflanze; grob zerreiben; Ansatz erneut oder kräftig in Arbeit nehmen	LOCAL_SEQUENCE
