component_id	visible_realizations	working_meaning_de	status	licensed_environment	evidence_summary	important_limit
OK	ok|qok|chok	etwas in den laufenden Arbeitsgang setzen	FIXED_IN_WORKING_MODEL	vor bekannten Argumenten oder Arbeitskernen	23 Typen und 79 Ereignisse; 22 Typen mit explizitem OK-Beitrag, davon einer mit opakem Innenrest	Kein selbständiges Stoffwort und nicht immer deutsch als dasselbe Verb zu übersetzen
AIN	ain	abgegrenzte Portion	FIXED_IN_WORKING_MODEL	Grundkarte und OK+AIN	17 sichtbare Ereignisse in der Kandidatenfamilie	Nicht mit AIIN zusammenziehen
AIIN	aiin	vorgeschriebenes oder normiertes Maß	FIXED_IN_WORKING_MODEL	Grundkarte und OK+AIIN	39 sichtbare Kandidatenereignisse; starke Grund- und OK-Reihe	Einige längere aiin-haltige Karten bleiben Ganzwörter
AL	al	Ziel oder Stelle	FIXED_IN_WORKING_MODEL	Grundkarte und rechte Argumentposition	40 sichtbare Kandidatenereignisse; OK+AL sechsmal	Nicht jedes interne al ist dieser Stamm
AR	ar	Herkunft oder Quellrichtung; von oder aus	PROVISIONAL_THIN	freie AR-Karte und rechte Argumentposition	14 Kandidatenereignisse; OK+AR nur einmal	Material und räumliche Richtung bleiben offen
AIR	air	laufendes Medium oder Strömungsbahn	PROVISIONAL_THIN	chair|kair|okair|schedair	fünf Kartenereignisse; vier kompositionell passend	Nicht zwingend Wasser und nicht oben
OL	ol|chol|qol|sol|tol	weiter oder mit dem Vorigen	FIXED_IN_WORKING_MODEL	Grundkarte sowie OK+OL und OL+CHED	starke wiederkehrende Grundkarte; OK+OL und drei OL+CHED-Ereignisse	Kein Öl-Stamm
OT	ot|qot|sot	danach oder nächster	FIXED_IN_WORKING_MODEL	vor Maß, Ziel, CHED und E-Grad	OT+CHED dreimal; OT-E-Grad sechsmal	Keine Gleichheit oder bestimmte Zeitdauer im Stamm
CHD_CHED	chd|ched	umsetzen oder in einen Arbeitsgang führen	FIXED_IN_WORKING_MODEL	nackte CHD~CHED-Karte und produktive linke/rechte Erweiterungen	21 exakte Typen und 47 Ereignisse	Rühren, Ablassen oder Seihen sind mögliche lokale Ausführungen, nicht der Stammwert
L_CHED	l+chd|l+ched	ab- oder ausführen	FIXED_CONTEXT_BOUND	nur als linke Hülle der CHD~CHED-Familie	lched, lchedal, lchedar und lchedy zusammen elf Ereignisse	Kein globales L-Wort außerhalb dieser Familie
P_CHED	p+ched	einführen oder zum Empfänger führen	PROVISIONAL_THIN	nur pchedal und pchedy	zwei Einzelbelege	Richtung noch nicht endgültig entschieden
E_GRADE_1	e vor Y oder DY	kurzer oder direkter Kontakt; gewöhnliche Haltephase	FIXED_CONTEXT_BOUND	OK+E+Y/DY; provisorisch OT, SH und CHK	zehn starke OK-Rasterereignisse	Kein globales E-Morphem; in CHED und CKHE Teil des Kerns
E_GRADE_2	ee vor Y oder DY	anhaltender Kontakt oder verlängerte Haltephase	FIXED_CONTEXT_BOUND	OK+EE+Y/DY; provisorisch OT, SH und CHK	siebzehn starke OK-Rasterereignisse	Keine genaue Zeit und keine sichere Temperatur
E_GRADE_3	eee vor DY	vollständiger oder durchgehender Kontakt	PROVISIONAL_THIN	OK+EEE+DY	ein gerichteter Beleg	Oberste Stufe noch sehr dünn
Y_STATE	y in lizenziertem Endslot	Arbeitszustand offen oder aktiv; laufender Ansatz	FIXED_CONTEXT_BOUND	OK-Raster und nackte CHD~CHED-Karte	19 starke offene OK-Rasterereignisse plus elf CHD~CHED-Ereignisse	Das konkrete Objekt des Ansatzes bleibt bild- oder exemplarabhängig
DY_STATE	dy in erkannter Abschlusskonstruktion	lokalen Arbeitsschritt abschließen	FIXED_CONTEXT_BOUND	OK-E-Raster und umhüllte CHD~CHED-Karten	19 starke OK-Rasterereignisse und 28 von 28 umhüllte CHD~CHED-Ereignisse terminal	Nicht blind aus der nackten Karte chdy|chedy abtrennen
Q_RENDERER	q	keine eigene Bedeutung	NO_SEMANTIC_VALUE	exakte Karten mit und ohne q	mehrere identische Kartenfamilien wechseln q	Kann eine Schreib- oder Eintrittsrealisierung sein
CH_RENDERER	ch|sh|d|t in identischer exakter Karte	keine automatisch eigene Bedeutung	NO_SEMANTIC_VALUE	nur wo dieselbe anonyme Kartenidentität die Formen verbindet	chedy|chdy und dchedy|schedy|tchedy	Nicht auf alle sichtbaren ch-, sh-, d- oder t-Anfänge verallgemeinern
