joint_tuple_id	surface_family	visible_events	event_ids	records	pages	statement_initial	statement_final	selected_parse	ok_contribution	argument_contribution	new_default_reading_de	composition_status	old_gloss_revision	local_context_audit	unresolved_counterexample
087a47b5423438cd6b6a	chokcheo	1	E092	H5	f56r	0	0	OPAQUE_WHOLE_CARD	NONE	CHEO_UNATTESTED	Hilfsmedium	OPAQUE_NOMENCLATOR	milder Wein wird nur lokale Ausführung, nicht Kartenwert	Zwischen OKCHY und KCHAL; Medium passt lokal, aber kein unabhängiges CHEO	Inneres OK kann wegen fehlender CHEO-Grundkarte nicht sicher segmentiert werden
7d2404c835b10a2c06af	okair	1	E260	B3	f83r	1	0	OK+AIR	IN_DEN_ARBEITSGANG_SETZEN	laufendes Medium oder Strömungsbahn	Flüssigkeitslauf in Gang setzen; Lauf öffnen	CLOSED_THIN	oberer Wasserlauf verliert oben und zwingendes Wasser	Aussagebeginn unmittelbar vor SHEEDY; andere AIR-Familie trägt Fluss	Nur ein OKAIR-Beleg
308e8ea2d5d190c498e8	okal|qokal	6	E069|E104|E152|E172|E186|E241	H4|B1|B2|B3	f55v|f81v|f82r|f83r	2	0	OK+AL	IN_DEN_ARBEITSGANG_SETZEN	Zielstelle	an der Zielstelle anwenden; dorthin führen	CLOSED_STRONG	an Stelle geben wird als Zielanwendung präzisiert	Nach Maß oder Strom und vor Wärme, Öffnung, Ortsform oder Abschluss; nie aussagefinal	Keine klare Gegenstelle; genaue Art des Zieles bleibt bildlokal
07913ef9b1fb773cd325	okchedy|qokchedy	2	E151|E264	B1|B3	f81v|f83r	0	2	OK+CH(E)DY	IN_DEN_ARBEITSGANG_SETZEN	CH(E)D-Rühr/Mischgang plus Abschluss	Rühr- oder Mischgang ausführen und abschließen	TRANSPARENT_OUTER_STRONG	abkühlen gestrichen	Beide Belege aussagefinal; CHEDY existiert elfmal selbständig als Rühr/Mischkarte	E-Variante innerhalb CHD noch nicht erklärt
322281bd391aa621f568	okchol	1	E053	H3	f11r	0	0	OK+CHOL[OL]	IN_DEN_ARBEITSGANG_SETZEN	mit Vorigem fortsetzen	mit dem vorigen Arbeitsgut weiterarbeiten	TRANSPARENT_RENDERER_PAIR	Olivenöl als Kartenwert gestrichen	Zwischen zurückbehaltener Fraktion und Bereitschaft; Fortsetzung genügt ohne neuen Stoff	CHOL muss hier dieselbe OL-Karte sein wie selbständiges sichtbares CHOL
daf32e6db9e04413ce7f	okeeol	1	E340	B4	f83r	0	0	OK+EE?+OL	IN_DEN_ARBEITSGANG_SETZEN	EE offen; OL Fortsetzung	unter Wärme oder verlängert weiterarbeiten	PARTIAL_COMPOSITION	breites Gefäß gestrichen	Zwischen CHEKY sanfte Wärme und OKAIN Portion; Fortsetzung passt besser als neues Gefäß	EE ist außerhalb der OK-Familie nicht geschlossen
0275fbf14e07935b0a45	okeey|qokeey	7	E153|E175|E194|E205|E293|E317|E322	B1|B2|B3|B4	f81v|f82r|f83r	2	0	OK+EEY?	IN_DEN_ARBEITSGANG_SETZEN	warmer oder temperierter Zustand	Ansatz temperieren	TRANSPARENT_OUTER_PROVISIONAL	Wärme geben wird zu temperieren vereinheitlicht	Steht bei Ziel-, Ansatz-, Spül- und Kontaktkarten; wiederholt arbeitsintern, nie Abschluss	EEY hat keine unabhängige Grundkarte
276a7c2d74d1143446f4	choky|oky|qoky	10	E008|E081|E085|E140|E188|E195|E247|E251|E298|E323	H1|H5|B1|B2|B3|B4	f10r|f56r|f81v|f82r|f83r	2	3	OK+Y	IN_DEN_ARBEITSGANG_SETZEN	aktueller Ansatz	aktuellen Ansatz in Arbeit nehmen oder anwenden	CLOSED_STRONG	Ansatz geben wird als allgemeine Anwendung präzisiert	Herbal und Biological; bei Maß, Ort, Lauf, Öffnung und Wärme verwendbar	Konkrete Anwendung wird vom lokalen Besitzer geliefert
b5fcea1eaed06b2f2291	okaiin|qokaiin	9	E056|E102|E180|E181|E219|E236|E243|E256|E270	H4|B1|B2|B3	f55v|f81v|f82r|f83r	6	0	OK+AIIN	IN_DEN_ARBEITSGANG_SETZEN	vorgeschriebenes Maß	nach Maß einsetzen; den Einsatz bemessen	CLOSED_STRONG	nach Maß geben wird von räumlichem Hineingeben gelöst	Vor Strom, Ablauf, Rühren, Portion, Prüfzustand oder Flüssigkeitsanwendung; nie Abschluss	E180/E181 eventuell eine Quellposition trotz zwei sichtbarer Ereignisse
1645e612504fcef59ced	okain|qokain	7	E127|E169|E198|E200|E288|E341|E352	B1|B2|B3|B4	f81v|f82r|f83r	4	0	OK+AIN	IN_DEN_ARBEITSGANG_SETZEN	abgegrenzte Portion	eine Portion einsetzen oder zugeben	CLOSED_STRONG	Portion geben bleibt, Gefäßargument wird nicht lexikalisiert	Vor Lauf, Bad, Rühren, Bereitschaft oder Prüfung; E198/E200 rahmen CHAR	AIN-Grundfamilie ist klein, aber unabhängig
4a7a6326ac95a8809302	qokaly	1	E177	B2	f82r	1	0	OK+AL+Y	IN_DEN_ARBEITSGANG_SETZEN	Zielstelle plus laufender Ansatz	laufenden Ansatz zur Zielstelle führen	PARTIAL_COMPOSITION	zweiter Lauf gestrichen	Vor Tuch, verbundenem Lauf und Maßanwendung; Zieltransfer ist kompakt	Nur ein Beleg für die Dreierfolge und Reihenfolge AL+Y
3ae9a121ba0045b913e8	qokar	1	E191	B2	f82r	0	0	OK+AR	IN_DEN_ARBEITSGANG_SETZEN	Herkunft oder Quellrichtung	von dort heranführen; daraus anwenden	CLOSED_THIN	über der Stelle gestrichen	Zwischen SOTAIIN gleiches Maß und SHEDY Ruheabschluss	Ein Beleg trennt Quelle, Herkunft und abstrakte Von-Relation nicht
87411f84689b4f93a303	qokchdy	3	E131|E284|E363	B1|B3|B5	f81v|f83r	3	3	OK+CHDY	IN_DEN_ARBEITSGANG_SETZEN	CHD-Rühr/Mischgang plus Abschluss	Rühr- oder Mischgang ausführen und abschließen	TRANSPARENT_OUTER_STRONG	einmal erhitzen gestrichen	Alle drei Belege sind eigenständige Abschlussaussagen; CHDY existiert selbständig in der Rührfamilie	Konkreter CHD-Innenwert muss mit CHED-Paradigma abgestimmt bleiben
