candidate_component	current_best_constraint	why_not_closed	working_default_until_better_model	prediction_that_could_improve_it
Y_CONTENT	markiert in lizenzierten Reihen einen offenen aktiven Arbeitsträger	Bilder und lokale Besitzer wechseln; Ansatz kann Flüssigkeit, Pflanzenteil oder abstrakter Posten sein	aktueller Ansatz oder Arbeitsgut	Eine neue Reihe müsste denselben Y-Kontrast mit einem unabhängig sichtbaren Besitzer zeigen
P_CHED	Empfänger- oder Einführseite des CHD~CHED-Vorgangs	pchedal und pchedy sind je nur einmal belegt	zum Empfänger führen	Weitere P+CHED+AL/AR-Paare müssten die Richtung bestätigen
SH_CORE	Halten oder Ruhen ist als SHEDY/SHEEDY-Vergleich plausibel	SH ist außerhalb des E-Grad-Paars nicht unabhängig identifiziert	Halte- oder Ruhegang	Ein offenes SH+E+Y gegen geschlossenes SH+E+DY würde den Kern schließen
CHK_CORE	trägt wahrscheinlich einen Zustands- oder Halteparameter	cheky|cheeky stützen nur den Grad, nicht den Sachkern	Zustands- oder Haltestufe	Ein drittes Argument oder unabhängige CHK-Grundkarte müsste denselben Inhalt tragen
SOLK_CORE	verbindet Fortsetzung mit einer lokalen Station oder Phase	solkey|solkeey|solkeedy sind Einzel- oder Dreifachkarten ohne unabhängigen SOLK-Kern	gelernte Stationskarte	Weitere offene/geschlossene SOLK-Grade müssten außerhalb desselben Records wiederkehren
CHEO_IN_CHOKCHEO	wahrscheinlich Hilfsmedium	keine unabhängige CHEO-Grundkarte	Hilfsmedium als Ganzkarte	Eine zweite CHEO-Karte mit anderer Hülle müsste denselben Stoffwert tragen
LDDY_IN_QOKYLDDY	wahrscheinlich lokale Abschluss- oder Auflagekonstruktion	nur ein Beleg	Ansatz anwenden und Schritt schließen als Ganzkarte	Ein weiterer LDDY-Träger müsste Abschluss und Richtung wiederholen
DAL_LO_SSHK_HULLS	lokale Hüllen der CHD~CHED-Familie	je nur ein Beleg und kein stabiler Gegenkontrast	keine eigene Stammübersetzung	Ein Minimalpaar gegen dieselbe CHD~CHED-Basis wäre nötig
D_S_T_SURFACES	Renderer- oder Hüllvarianten ohne getrennte Bedeutung	dchedy, schedy und tchedy sind dieselbe anonyme Karte	Arbeitsbewegung abschließen	Nur getrennte exakte Karten mit konstant verschiedener Funktion dürften daraus neue Kerne machen
GLOBAL_E	kein globaler Stamm; nur positionsgebundener Grad	E-Zahl wechselt bei identischen Karten und gehört in CHED/CKHE zum Kern	außerhalb lizenzierter Raster nicht zerlegen	Eine zweite vollständige Grundkern×E/EE/EEE×Y/DY-Tafel wäre nötig
OK_OK_CHY_IN_QOKOKCHY	zweiter sichtbarer Aktivierungsaufruf vor dem laufenden Ansatz	Einzelbeleg; Wiederholung, Nachdruck und gelernter Ganzwert bleiben gleich möglich	Ansatz erneut oder kräftig in Arbeit nehmen	Ein weiteres OK+OK-Minimalpaar müsste denselben Wiederholungs- oder Nachdruckseffekt zeigen
OK_AL_Y_IN_QOKALY	laufenden Ansatz zur Zielstelle führen	Einzelbeleg; Komponenten sind stark, aber Reihenfolge und genaue Bindung sind nicht wiederholt	laufenden Ansatz zur Zielstelle führen	Ein zweites OK+AL+Y oder vertauschtes OK+Y+AL müsste die Argumentordnung klären
AR_EXACT_CONTENT	Herkunft oder Quellrichtung	wenige starke Komposita	von oder aus	Mehrere unabhängige OK/CHED-Paare müssten dieselbe Quellrichtung zeigen
AIR_EXACT_CONTENT	laufendes Medium oder Strömungsbahn	nur fünf Ereignisse und Stoffart nicht sichtbar	Flüssigkeitslauf	Eine Nichtwasser-Anwendung würde Bahn statt Flüssigkeit wählen; ein klarer Wasserbesitzer würde Wasser stärken
MEMORIZED_WHOLE_CARDS	84 unveränderte Alt-Ganzkarten plus chokcheo als neu explizit opake Ganzkarte bleiben reine Ganzwerte	ihre sichtbaren Teilstücke übertragen keine einheitliche Bedeutung; qokylddy ist zusätzlich nur außen zerlegt	jeweilige kurze Ganzkartenglosse	Nur wiederkehrende Minimalpaare dürfen einzelne Stücke künftig zu Stämmen befördern
