master_card_id	master_form	short_default_de	source_phrase_role	source_phrase_expansion_de	record_count	event_count	skeleton_start_count	skeleton_end_count	strongest_predecessors	strongest_successors
MC019	oldy	weiter+Schluss	LINK_CLOSE	weiterführen und schließen	2	2	1	2	cheeky:1	NONE
MC026	choky	ansetzen+Posten	ACTION_ITEM	den Posten ansetzen	6	10	6	4	aiin:1|chety:1|okal:1	aiin:2|al:1|chdy:1
MC032	cheeky	wärmen+länger+Posten	ACTION_STATE_ITEM	den Posten länger wärmen	2	2	1	1	aiin:1	oldy:1
MC039	aiin	Sollmaß	MEASURE	nach Sollmaß	11	20	5	6	cheol:4|chey:4|choky:2	chey:4|chdy:2|cheol:2
MC040	okal	ansetzen+Ziel	ACTION_TARGET	am Ziel ansetzen	4	6	4	2	aiin:1|okaiin:1	char:1|cheol:1|choky:1
MC055	char	Quelle	SOURCE	aus der Quelle	5	5	2	3	aiin:1|okaiin:1|okal:1	cheol:1|chety:1
MC074	chdy	umsetzen+Posten	ACTION_ITEM	den Posten umsetzen	5	11	6	6	aiin:2|cheol:1|choky:1	cheol:3|checthy:1|otchey:1
MC080	chor	Ansatz	OBJECT_PREPARATION	den Ansatz	4	7	4	1	checthy:1|chor:1|okal:1	chey:4|cheol:1|chor:1
MC086	chety	teilen+Teil	ACTION_PART	einen Teil abteilen	2	2	0	1	char:1|checthy:1	choky:1
MC119	cheey	Ergebnis	STATE_RESULT	bis zum Ergebnis	3	4	3	3	choky:1	aiin:1
MC120	okaiin	ansetzen+Sollmaß	ACTION_MEASURE	das Sollmaß einstellen	4	9	7	3	aiin:1|okaiin:1	aiin:1|char:1|chdy:1
MC123	chey	Posten	OBJECT_ITEM	diesen Posten	8	18	4	9	aiin:4|chor:4|chey:3	aiin:4|chey:3|al:1
MC153	cheol	weiter	LINK	weiterführen	7	19	4	8	chdy:3|aiin:2|al:2	aiin:4|cholor:2|al:1
MC154	al	Ziel	TARGET	zum Ziel	6	10	6	5	checthy:1|cheol:1|chey:1	cheol:2|aiin:1|checthy:1
MC157	cholor	weiter+Ansatz	LINK_PREPARATION	den vorigen Ansatz weiterführen	2	2	0	0	cheol:2	cheol:2
MC161	checthy	bereit+Posten	STATE_ITEM	den Posten bereit halten	4	7	3	3	al:1|chdy:1|cheol:1	al:1|chety:1|chey:1
MC171	otchey	danach+Posten	ORDER_ITEM	danach den nächsten Posten	2	2	1	0	chdy:1	aiin:1|choky:1
