from_card	from_role	to_card	to_role	skeleton_edge_count	direct_adjacent_count	intervening_section_card_count
aiin	MEASURE	chey	OBJECT_ITEM	4	3	1
cheol	LINK	aiin	MEASURE	4	2	2
chey	OBJECT_ITEM	aiin	MEASURE	4	4	0
chor	OBJECT_PREPARATION	chey	OBJECT_ITEM	4	3	1
chdy	ACTION_ITEM	cheol	LINK	3	2	1
chey	OBJECT_ITEM	chey	OBJECT_ITEM	3	1	2
aiin	MEASURE	chdy	ACTION_ITEM	2	1	1
aiin	MEASURE	cheol	LINK	2	2	0
al	TARGET	cheol	LINK	2	2	0
cheol	LINK	cholor	LINK_PREPARATION	2	1	1
choky	ACTION_ITEM	aiin	MEASURE	2	2	0
cholor	LINK_PREPARATION	cheol	LINK	2	2	0
aiin	MEASURE	aiin	MEASURE	1	0	1
aiin	MEASURE	char	SOURCE	1	1	0
aiin	MEASURE	cheeky	ACTION_STATE_ITEM	1	1	0
aiin	MEASURE	choky	ACTION_ITEM	1	0	1
aiin	MEASURE	okaiin	ACTION_MEASURE	1	0	1
aiin	MEASURE	okal	ACTION_TARGET	1	1	0
al	TARGET	aiin	MEASURE	1	0	1
al	TARGET	checthy	STATE_ITEM	1	1	0
al	TARGET	chey	OBJECT_ITEM	1	1	0
char	SOURCE	cheol	LINK	1	1	0
char	SOURCE	chety	ACTION_PART	1	1	0
chdy	ACTION_ITEM	checthy	STATE_ITEM	1	0	1
chdy	ACTION_ITEM	otchey	ORDER_ITEM	1	0	1
checthy	STATE_ITEM	al	TARGET	1	1	0
checthy	STATE_ITEM	chety	ACTION_PART	1	1	0
checthy	STATE_ITEM	chey	OBJECT_ITEM	1	1	0
checthy	STATE_ITEM	chor	OBJECT_PREPARATION	1	1	0
cheeky	ACTION_STATE_ITEM	oldy	LINK_CLOSE	1	1	0
cheey	STATE_RESULT	aiin	MEASURE	1	0	1
cheol	LINK	al	TARGET	1	0	1
cheol	LINK	chdy	ACTION_ITEM	1	0	1
cheol	LINK	checthy	STATE_ITEM	1	1	0
cheol	LINK	cheol	LINK	1	0	1
cheol	LINK	chey	OBJECT_ITEM	1	0	1
chety	ACTION_PART	choky	ACTION_ITEM	1	0	1
chey	OBJECT_ITEM	al	TARGET	1	1	0
chey	OBJECT_ITEM	cheol	LINK	1	1	0
choky	ACTION_ITEM	al	TARGET	1	1	0
choky	ACTION_ITEM	chdy	ACTION_ITEM	1	1	0
choky	ACTION_ITEM	cheey	STATE_RESULT	1	0	1
choky	ACTION_ITEM	cheol	LINK	1	1	0
chor	OBJECT_PREPARATION	cheol	LINK	1	0	1
chor	OBJECT_PREPARATION	chor	OBJECT_PREPARATION	1	1	0
okaiin	ACTION_MEASURE	aiin	MEASURE	1	1	0
okaiin	ACTION_MEASURE	char	SOURCE	1	0	1
okaiin	ACTION_MEASURE	chdy	ACTION_ITEM	1	1	0
okaiin	ACTION_MEASURE	checthy	STATE_ITEM	1	1	0
okaiin	ACTION_MEASURE	okaiin	ACTION_MEASURE	1	1	0
okaiin	ACTION_MEASURE	okal	ACTION_TARGET	1	0	1
okal	ACTION_TARGET	char	SOURCE	1	1	0
okal	ACTION_TARGET	cheol	LINK	1	0	1
okal	ACTION_TARGET	choky	ACTION_ITEM	1	0	1
okal	ACTION_TARGET	chor	OBJECT_PREPARATION	1	0	1
otchey	ORDER_ITEM	aiin	MEASURE	1	0	1
otchey	ORDER_ITEM	choky	ACTION_ITEM	1	0	1
