statement_id	record_unit_id	page	shared_card_count	shared_master_cards	shared_surface_skeleton	source_phrase_expansion_de	current_statement_reading_de
H1-S001	H1	f10r	4	MC055 MC086 MC026 MC039	char chety choky aiin	aus der Quelle einen Teil abteilen den Posten ansetzen nach Sollmaß	Bei der Bildpflanze, dem Wurzelansatz und dem ersten Auszug: Nimm die Wurzel der Bildpflanze, säubere und zerteile sie, setze sie mit Wasser im Gefäß an und trenne den ersten Auszug ab; bemiss davon eine Portion als dosiertes Mittel und verwahre den Restteil.
H1-S002	H1	f10r	2	MC153 MC161	cheol checthy	weiterführen den Posten bereit halten	Bei der Bildpflanze, dem Wurzelansatz und dem ersten Auszug: Nimm den frischen Auszug wieder auf, erwärme ihn gelinde und verwende ihn, sobald der örtliche Bereitschaftszustand erreicht ist.
H2-S001	H2	f10r	6	MC161 MC080 MC123 MC123 MC039 MC123	checthy chor chey chey aiin chey	den Posten bereit halten den Ansatz diesen Posten diesen Posten nach Sollmaß diesen Posten	Bei der Bildpflanze, dem Spross-/Blattansatz und dem streichfähigen Mittel: Nimm jungen Spross und Blatt der Bildpflanze, zerstoße sie, wringe sie durch Tuch aus und richte den Auszug als neuen Ansatz ein.
H2-S002	H2	f10r	6	MC080 MC153 MC157 MC153 MC039 MC055	chor cheol cholor cheol aiin char	den Ansatz weiterführen den vorigen Ansatz weiterführen weiterführen nach Sollmaß aus der Quelle	Bei der Bildpflanze, dem Spross-/Blattansatz und dem streichfähigen Mittel: Gib dem Ansatz Trägerstoff zu, führe ihn als denselben Posten weiter und halte das vorgeschriebene Maß ein.
H2-S003	H2	f10r	4	MC080 MC080 MC123 MC123	chor chor chey chey	den Ansatz den Ansatz diesen Posten diesen Posten	Bei der Bildpflanze, dem Spross-/Blattansatz und dem streichfähigen Mittel: Bearbeite den Ansatz bis zur streichfähigen Stufe, teile eine örtliche Portion ab und verwende sie als gebundene Anwendung.
H3-S001	H3	f11r	1	MC119	cheey	bis zum Ergebnis	Bei der Bildpflanze, dem Blüten-/Blattauszug und der zweiten äußeren Anwendung: Nimm Blüte und junges Blatt, setze sie in Auszugsflüssigkeit an, wringe den Ansatz durch Tuch, lass ihn absetzen und seih ihn nochmals bis zum Klarlauf.
H3-S002	H3	f11r	0	NONE	NONE	[kein gemeinsamer Ganzkartenwert]	Bei der Bildpflanze, dem Blüten-/Blattauszug und der zweiten äußeren Anwendung: Behalte einen Teil des frischen Pflanzenstoffs als zweiten Vorrat zurück.
H3-S003	H3	f11r	3	MC123 MC123 MC039	chey chey aiin	diesen Posten diesen Posten nach Sollmaß	Bei der Bildpflanze, dem Blüten-/Blattauszug und der zweiten äußeren Anwendung: Bemiss eine Portion des geklärten Auszugs und gebrauche sie als dosiertes Mittel.
H3-S004	H3	f11r	2	MC161 MC123	checthy chey	den Posten bereit halten diesen Posten	Bei der Bildpflanze, dem Blüten-/Blattauszug und der zweiten äußeren Anwendung: Setze den übrigen Auszug mit Trägerstoff als zweite äußere Anwendung an und halte ihn bis zur Gebrauchsstufe bereit.
H4-S001	H4	f55v	2	MC120 MC039	okaiin aiin	das Sollmaß einstellen nach Sollmaß	Bei der Bildpflanze, dem geklärten Blattauszug und dem gebundenen Rest: Nimm Blatt der Bildpflanze, bemiss den Posten und setze ihn in Auszugsflüssigkeit im Gefäß an.
