record	page	purpose	introduction_de	instruction_count	visible_event_count	visible_event_ids	pronoun_replacements	continuous_article_de	record_final_status	all_component_values_unchanged
H1	f10r	pictured plant material first work section	Für den ersten Arbeitsabschnitt der abgebildeten breit gezähnten radialblütigen Pflanze gilt:	1	14	E001|E002|E003|E004|E005|E006|E007|E008|E009|E010|E011|E012|E013|E014	9	Für den ersten Arbeitsabschnitt der abgebildeten breit gezähnten radialblütigen Pflanze gilt: Zuerst diesen Posten kurz abziehen, dann den Arbeitsgang ausführen, dann von dort nehmen, dann ihn eintragen, dann das Arbeitsfach wählen, dann ihn aus dem Lauf abziehen, danach ihn eintragen und abziehen und fortsetzen, dann ihn ansetzen, dann das Maß setzen, dann ihn kurz eintragen, dann ihn ansetzen, danach ihn abziehen und fortsetzen, dann ihn fortsetzen, dann ihn bis bereit halten.	RECORD_FINAL_OPEN	YES
H2	f10r	pictured plant material second work section	Im zweiten Arbeitsabschnitt derselben abgebildeten Pflanze gilt:	1	24	E015|E016|E017|E018|E019|E020|E021|E022|E023|E024|E025|E026|E027|E028|E029|E030|E031|E032|E033|E034|E035|E036|E037|E038	12	Im zweiten Arbeitsabschnitt derselben abgebildeten Pflanze gilt: Zuerst diesen Posten kurz abziehen, dann ihn bis bereit halten, dann den Ansatz verwenden, dann das Maß setzen, dann ihn bis bereit fortsetzen, dann ihn übernehmen, dann ihn übernehmen, dann das Maß setzen, dann ihn übernehmen, danach den Ansatz abziehen, dann den Ansatz verwenden, danach ihn fortsetzen, dann ihn fortsetzen, dann den Ansatz fortsetzen, dann ihn fortsetzen, dann das Maß setzen, dann von dort nehmen, dann ihn zuführen, dann den Ansatz verwenden, dann den Ansatz verwenden, dann ihn übernehmen, dann ihn Sollstufe zuführen, dann ihn übernehmen, dann den Arbeitsgang nach Maß abziehen.	RECORD_FINAL_OPEN	YES
H3	f11r	plant pressing holding and draw-off article	Für die abgebildete dicht blau blühende Kronenpflanze gilt:	2	17	E039|E040|E041|E042|E043|E044|E045|E046|E047|E048|E049|E050|E051|E052|E053|E054|E055	13	Für die abgebildete dicht blau blühende Kronenpflanze gilt: Zuerst den Posten eintragen und halten und fortsetzen, dann den Arbeitsgang an der Zielstelle halten, dann ihn auswringen, dann ihn nach Maß halten, dann ihn hineingeben, dann ihn länger halten, dann den Arbeitsgang eintragen und abziehen und den Schritt schließen. Danach ihn halten und eintragen, dann ihn fortsetzen, dann ihn übernehmen, dann ihn zuführen, dann ihn übernehmen, dann das Maß setzen, danach ihn übernehmen, dann ihn ansetzen und fortsetzen, dann ihn bis bereit halten, dann ihn übernehmen.	RECORD_FINAL_OPEN	YES
H4	f55v	plant batch measure target and storage article	Für die abgebildete breitblättrige rispige Pflanze gilt:	3	18	E056|E057|E058|E059|E060|E061|E062|E063|E064|E065|E066|E067|E068|E069|E070|E071|E072|E073	10	Für die abgebildete breitblättrige rispige Pflanze gilt: Zuerst den Posten nach Maß ansetzen, dann das Maß setzen, dann ihn zuführen, dann ihn zuführen, dann den Arbeitsgang ausführen und den Schritt schließen. Danach das Maß setzen, dann ihn umsetzen, dann ihn verwahren, dann ihn nach Maß zuführen, dann den Arbeitsgang von dort kurz abziehen, dann ihn länger wärmen, dann ihn fortsetzen und den Schritt schließen. Anschließend das Maß setzen, dann ihn an der Zielstelle ansetzen, dann ihn fortsetzen und eintragen, dann den Ansatz verwenden, dann ihn übernehmen, dann eine Portion nehmen.	RECORD_FINAL_OPEN	YES
H5	f56r	plant additive passage and reuse article	Für die abgebildete mehrköpfige stachelige Pflanze gilt:	2	27	E074|E075|E076|E077|E078|E079|E080|E081|E082|E083|E084|E085|E086|E087|E088|E089|E090|E091|E092|E093|E094|E095|E096|E097|E098|E099|E100	12	Für die abgebildete mehrköpfige stachelige Pflanze gilt: Zuerst die Gabe abziehen, dann die Gabe nehmen, dann die Zielstelle setzen, dann das Maß setzen, dann die Gabe nehmen, dann den Posten zuführen und fortsetzen, danach den Ansatz abziehen, dann ihn ansetzen, dann die Zielstelle setzen, dann ihn fortsetzen, dann ihn übernehmen, dann ihn ansetzen, dann den Arbeitsgang am Durchlass länger abziehen und den Schritt schließen. Danach ihn halten, dann die Gabe nehmen, dann ihn kurz zuführen, dann ihn ansetzen und ansetzen, dann ihn ansetzen, dann den Arbeitsgang kurz ansetzen und abziehen, dann ihn an der Zielstelle zuführen, dann die Gabe nehmen, dann ihn ansetzen, dann die Gabe von dort zuführen, danach eine Portion nehmen, danach ihn übernehmen, dann ihn kurz zuführen und fortsetzen, dann das Maß setzen.	RECORD_FINAL_OPEN	YES
B1	f81v	shared pool operating sheet	An der gemeinsamen zweireihigen Figuren- und Beckenstation gilt:	18	66	E101|E102|E103|E104|E105|E106|E107|E108|E109|E110|E111|E112|E113|E114|E115|E116|E117|E118|E119|E120|E121|E122|E123|E124|E125|E126|E127|E128|E129|E130|E131|E132|E133|E134|E135|E136|E137|E138|E139|E140|E141|E142|E143|E144|E145|E146|E147|E148|E149|E150|E151|E152|E153|E154|E155|E156|E157|E158|E159|E160|E161|E162|E163|E164|E165|E166	52	An der gemeinsamen zweireihigen Figuren- und Beckenstation gilt: Zuerst den Posten kurz ansetzen und den Schritt schließen. Danach ihn nach Maß ansetzen, dann ihn im Lauf zuführen, dann ihn an der Zielstelle ansetzen, dann von dort nehmen, dann ihn fortsetzen, dann eine Portion zuführen, dann eine Portion fortsetzen und zuführen, dann die Zielstelle setzen, dann ihn fortsetzen, dann ihn abkühlen und fortsetzen, dann ihn führen, dann den Ansatz fortsetzen, dann ihn fortsetzen, dann ihn an der Zielstelle am Durchlass kurz halten, dann das Maß setzen, dann ihn an der Zielstelle länger ansetzen, dann das Maß setzen, dann ihn übernehmen, dann ihn umsetzen und den Schritt schließen. Anschließend ihn fortsetzen, dann ihn halten und zuführen und umsetzen und den Schritt schließen. Sodann ihn umsetzen, dann ihn fortsetzen, dann ihn absetzen und den Schritt schließen. Danach ihn fortsetzen und umsetzen und den Schritt schließen. Anschließend eine Portion ansetzen, dann ihn übernehmen, dann ihn führen, dann ihn an der Zielstelle abkühlen, dann ihn ansetzen und umsetzen und den Schritt schließen. Sodann ihn übernehmen, dann ihn fortsetzen, dann ihn kurz wärmen, dann ihn fortsetzen, dann ihn absetzen und den Schritt schließen. Danach ihn kurz ansetzen und den Schritt schließen. Anschließend ihn kurz ansetzen und den Schritt schließen. Sodann ihn übernehmen, dann ihn ansetzen, dann den Arbeitsgang ausführen, dann ihn kurz ansetzen, dann ihn bearbeiten und den Schritt schließen. Danach ihn bearbeiten und den Schritt schließen. Anschließend ihn umsetzen, dann ihn auffangen, dann ihn an der Zielstelle führen und umsetzen, dann ihn fortsetzen, danach von dort nehmen, dann ihn kurz eintragen, dann ihn ansetzen und umsetzen und den Schritt schließen. Sodann ihn an der Zielstelle ansetzen, dann ihn länger ansetzen, dann ihn fortsetzen, dann ihn absetzen und den Schritt schließen. Danach die Zielstelle setzen, dann ihn kurz fortsetzen, dann ihn umsetzen und den Schritt schließen. Anschließend ihn führen, dann ihn kurz halten und fortsetzen, dann die Sollstufe einstellen, dann ihn länger auffangen und den Schritt schließen. Sodann ihn absetzen und den Schritt schließen. Danach ihn kurz wärmen, dann ihn am Durchlass kurz halten und den Schritt schließen. Anschließend die Zielstelle setzen.	RECORD_FINAL_OPEN	YES
B2	f82r	five-station wet workshop sheet	An den lokalen Stationen von f82r gilt:	19	62	E167|E168|E169|E170|E171|E172|E173|E174|E175|E176|E177|E178|E179|E180|E181|E182|E183|E184|E185|E186|E187|E188|E189|E190|E191|E192|E193|E194|E195|E196|E197|E198|E199|E200|E201|E202|E203|E204|E205|E206|E207|E208|E209|E210|E211|E212|E213|E214|E215|E216|E217|E218|E219|E220|E221|E222|E223|E224|E225|E226|E227|E228	49	An den lokalen Stationen von f82r gilt: Zuerst den Posten umsetzen und den Schritt schließen. Danach ihn fortsetzen und umsetzen und den Schritt schließen. Anschließend eine Portion ansetzen, dann ihn übernehmen, dann ihn länger ansetzen und den Schritt schließen. Sodann ihn an der Zielstelle ansetzen, dann ihn am Durchlass führen, dann ihn führen und umsetzen, dann ihn länger ansetzen, dann ihn am Durchlass kurz führen und den Schritt schließen. Danach ihn an der Zielstelle ansetzen, dann ihn nach Maß auffangen, dann ihn übernehmen, dann ihn nach Maß ansetzen, dann den Arbeitsgang bis bereit kurz fortsetzen, dann ihn länger wärmen, dann ihn führen und den Schritt schließen. Anschließend ihn übernehmen, dann ihn an der Zielstelle ansetzen, dann ihn am Durchlass kurz halten, dann ihn ansetzen, dann ohne sichtbare Bildkante zu mittleres linkes Handgerät mit Inline-Knoten wechseln, dann ihn kurz halten und den Schritt schließen. Sodann das Maß setzen, dann ihn von dort ansetzen, dann ihn absetzen und den Schritt schließen. Danach ihn kurz fortsetzen und halten und den Schritt schließen. Anschließend ihn länger ansetzen, dann ihn ansetzen, dann ihn fortsetzen, dann ihn länger halten, dann ohne sichtbare Bildkante zu mittlere rechte unklare Station wechseln, dann eine Portion ansetzen, dann von dort nehmen, dann eine Portion ansetzen, dann ihn länger ansetzen und den Schritt schließen. Sodann ihn führen und abziehen, dann ohne sichtbare Bildkante zu unteres grünes Mehrfigurenbecken wechseln, dann ihn länger halten, dann ihn bis bereit halten, dann ihn länger ansetzen, dann ihn länger führen, dann das Maß setzen, dann ihn übernehmen, dann ihn vollständig ansetzen und den Schritt schließen. Danach ihn führen und umsetzen und den Schritt schließen. Anschließend ihn von dort führen, dann ohne sichtbare Bildkante zu kleine Randstationen des unteren Beckens wechseln, dann ihn kurz halten, dann ihn länger ansetzen und den Schritt schließen. Sodann die Zielstelle setzen, dann ihn von dort führen und umsetzen, dann ihn kurz abziehen und teilen, dann das Maß setzen, danach ihn übernehmen, dann ihn nach Maß ansetzen, dann ihn kurz ansetzen, dann ihn hineingeben und umsetzen und den Schritt schließen. Danach ihn an der Zielstelle kurz abkühlen und halten, dann die Zielstelle setzen und den Schritt schließen. Anschließend ihn länger ansetzen und den Schritt schließen. Sodann ihn abkühlen und absetzen und den Schritt schließen. Danach ihn bearbeiten und den Schritt schließen. Anschließend ihn länger ansetzen und den Schritt schließen. Sodann den Arbeitsgang führen und umsetzen und den Schritt schließen.	COMMITTED_CLOSE	YES
B3	f83r	margin-to-linked-pair station sheet	Vom Rand bis zum sichtbaren Figurenpaar in B3 gilt:	31	86	E229|E230|E231|E232|E233|E234|E235|E236|E237|E238|E239|E240|E241|E242|E243|E244|E245|E246|E247|E248|E249|E250|E251|E252|E253|E254|E255|E256|E257|E258|E259|E260|E261|E262|E263|E264|E265|E266|E267|E268|E269|E270|E271|E272|E273|E274|E275|E276|E277|E278|E279|E280|E281|E282|E283|E284|E285|E286|E287|E288|E289|E290|E291|E292|E293|E294|E295|E296|E297|E298|E299|E300|E301|E302|E303|E304|E305|E306|E307|E308|E309|E310|E311|E312|E313|E314	64	Vom Rand bis zum sichtbaren Figurenpaar in B3 gilt: Zuerst den Posten länger auffangen und den Schritt schließen. Danach die Zielstelle setzen, dann ihn länger wärmen und den Schritt schließen. Anschließend ihn übernehmen, dann das Maß setzen, dann ihn übernehmen, dann ihn führen und umsetzen und den Schritt schließen. Sodann ihn nach Maß ansetzen, danach die Zielstelle setzen, dann von dort nehmen, dann ohne sichtbare Bildkante zu mittlere Randfigur im runden Gefäß wechseln, dann ihn umsetzen und den Schritt schließen. Danach ihn umsetzen, dann ihn an der Zielstelle ansetzen, dann ihn fortsetzen und umsetzen und den Schritt schließen. Anschließend ihn nach Maß ansetzen, dann ihn umsetzen, dann ihn länger ansetzen und den Schritt schließen. Sodann ihn führen und umsetzen und den Schritt schließen. Danach ihn ansetzen, dann ohne sichtbare Bildkante zu untere Randfigur im korbartigen Gefäß wechseln, dann ihn an der Zielstelle hineingeben und umsetzen, danach ihn bearbeiten und den Schritt schließen. Anschließend ihn bis bereit kurz halten und umsetzen, dann ihn ansetzen, dann ihn umsetzen, dann von dort nehmen, dann den Ansatz verwenden, dann ihn absetzen und den Schritt schließen. Sodann ihn nach Maß ansetzen, dann eine Portion zuführen, dann ihn bis bereit halten, dann ihn kurz ansetzen und den Schritt schließen. Danach ihn im Lauf ansetzen, dann ihn länger halten und den Schritt schließen. Anschließend ihn führen und umsetzen und den Schritt schließen. Sodann den Arbeitsgang führen, dann ohne sichtbare Bildkante zu unverbundener Zwischenbereich wechseln, dann ihn ansetzen und umsetzen und den Schritt schließen. Danach ihn länger ansetzen und den Schritt schließen. Anschließend ihn absetzen und den Schritt schließen. Sodann ihn kurz ansetzen und halten und den Schritt schließen. Danach die Zielstelle setzen, dann ihn führen und umsetzen und den Schritt schließen. Anschließend ihn nach Maß ansetzen, dann ihn bis bereit halten, dann die Zielstelle setzen, dann ihn übernehmen, dann das Maß setzen, dann ihn an der Zielstelle absetzen, dann ihn bis bereit kurz halten, dann ihn übernehmen, dann die Zielstelle setzen, dann ihn bis bereit halten, dann ihn an der Zielstelle umsetzen und den Schritt schließen. Sodann ihn umsetzen und den Schritt schließen. Danach ihn führen und umsetzen und den Schritt schließen. Anschließend ihn umsetzen und den Schritt schließen. Sodann ihn ansetzen und umsetzen und den Schritt schließen. Danach von dort nehmen, dann ihn nach Maß führen, dann ihn umsetzen, dann eine Portion ansetzen, dann ihn bis bereit halten, dann den Ansatz an der Zielstelle abkühlen, dann ohne sichtbare Bildkante zu sichtbares Figurenpaar mit gemeinsamem Bogen in B3 wechseln, dann ihn länger auffangen und den Schritt schließen. Anschließend ihn bearbeiten und den Schritt schließen. Sodann ihn länger ansetzen, dann ihn kurz ansetzen und den Schritt schließen. Danach ihn fortsetzen, dann ihn vollständig eintragen, dann ihn kurz ansetzen und den Schritt schließen. Anschließend ihn ansetzen, dann das Maß setzen, dann ihn im Lauf umsetzen, danach ihn umsetzen und den Schritt schließen. Sodann ihn länger ansetzen und den Schritt schließen. Danach eine Portion umsetzen, dann ihn umsetzen, danach das Maß setzen, danach das Maß setzen, danach ihn bearbeiten und den Schritt schließen. Anschließend ihn führen und den Schritt schließen. Sodann die Sollstufe einstellen, dann ihn bis bereit halten, dann ihn eintragen, danach das Maß setzen, dann ihn an der Zielstelle fortsetzen, dann ihn absetzen und den Schritt schließen.	COMMITTED_CLOSE	YES
B4	f83r	linked-pair and side-station sheet	Am Figurenpaar und an den beiden Seitenstationen in B4 gilt:	16	47	E315|E316|E317|E318|E319|E320|E321|E322|E323|E324|E325|E326|E327|E328|E329|E330|E331|E332|E333|E334|E335|E336|E337|E338|E339|E340|E341|E342|E343|E344|E345|E346|E347|E348|E349|E350|E351|E352|E353|E354|E355|E356|E357|E358|E359|E360|E361	35	Am Figurenpaar und an den beiden Seitenstationen in B4 gilt: Zuerst den Posten länger ansetzen und den Schritt schließen. Danach ihn fortsetzen, dann ihn länger ansetzen, dann ihn kurz ansetzen und den Schritt schließen. Anschließend ihn umsetzen, danach die Zielstelle setzen, danach ihn übernehmen, dann ihn länger ansetzen, dann ihn ansetzen, dann ihn fortsetzen, dann ihn absetzen und den Schritt schließen. Sodann ihn ansetzen und befestigen und den Schritt schließen. Danach eine Portion nehmen, dann ihn umsetzen, dann ihn länger ansetzen und den Schritt schließen. Anschließend ihn am Durchlass kurz halten und den Schritt schließen. Sodann ihn am Durchlass kurz halten und den Schritt schließen. Danach das Maß setzen, dann ihn länger wärmen, dann ihn länger halten, dann ihn kurz ansetzen und den Schritt schließen. Anschließend ihn absetzen und den Schritt schließen. Sodann ihn fortsetzen und den Schritt schließen. Danach das Maß setzen, dann ihn kurz wärmen, dann ihn länger ansetzen und fortsetzen, dann eine Portion ansetzen, dann ihn umsetzen, dann ihn fortsetzen, dann ihn kurz führen und zuführen und den Schritt schließen. Anschließend ihn führen und umsetzen und den Schritt schließen. Sodann ihn ansetzen und fortsetzen, dann ihn absetzen und den Schritt schließen. Danach den Ansatz verwenden, dann ihn übernehmen, dann ihn übernehmen, dann den Lauf wählen und den Schritt schließen. Anschließend eine Portion ansetzen, dann ihn länger halten, dann eine Portion zuführen, dann ihn an der Zielstelle am Durchlass abziehen, dann ohne sichtbare Bildkante zu rechte Hauptstation mit S-Lauf und Mehrarmknoten wechseln, dann ihn kurz auffangen, dann ihn führen und umsetzen und den Schritt schließen. Sodann eine Portion fortsetzen und zuführen, dann die Zielstelle setzen, dann ihn von dort zuführen, dann ihn absetzen und den Schritt schließen.	COMMITTED_CLOSE	YES
B5	f83r	left fringe addendum	Im linken Fransenstations-Nachtrag gilt:	3	11	E362|E363|E364|E365|E366|E367|E368|E369|E370|E371|E372	7	Im linken Fransenstations-Nachtrag gilt: Zuerst den Posten umsetzen und den Schritt schließen. Danach ihn ansetzen und umsetzen und den Schritt schließen. Anschließend ihn an der Zielstelle absetzen, dann die Zielstelle setzen, dann ihn fortsetzen, dann ihn führen und fortsetzen, dann ihn an der Zielstelle umsetzen, dann das Maß setzen, dann ihn fortsetzen, dann die zweite Sollstufe einstellen, dann ihn umsetzen.	RECORD_FINAL_OPEN	YES
