instruction_id	record	article_sentence_no	source_statement_ids	visible_event_ids	original_instruction_de	anaphoric_sentence_de	pronoun_replacements	connector	end_type	component_values_unchanged
I001	H1	1	H1-S001|H1-S002	E001|E002|E003|E004|E005|E006|E007|E008|E009|E010|E011|E012|E013|E014	Bei abgebildete breit gezähnte radialblütige Pflanze, dann diesen Posten kurz abziehen, dann den Arbeitsgang ausführen, dann von dort nehmen, dann diesen Posten eintragen, dann das Arbeitsfach wählen, dann den Posten aus dem Lauf abziehen, dann danach diesen Posten eintragen und abziehen und fortsetzen, dann diesen Posten ansetzen, dann das Maß setzen, dann diesen Posten kurz eintragen, dann diesen Posten ansetzen, dann danach den Posten abziehen und fortsetzen, dann den Posten fortsetzen, dann diesen Posten bis bereit halten.	Zuerst diesen Posten kurz abziehen, dann den Arbeitsgang ausführen, dann von dort nehmen, dann ihn eintragen, dann das Arbeitsfach wählen, dann ihn aus dem Lauf abziehen, danach ihn eintragen und abziehen und fortsetzen, dann ihn ansetzen, dann das Maß setzen, dann ihn kurz eintragen, dann ihn ansetzen, danach ihn abziehen und fortsetzen, dann ihn fortsetzen, dann ihn bis bereit halten.	9	Zuerst	RECORD_FINAL_OPEN	YES
I002	H2	1	H2-S001|H2-S002|H2-S003	E015|E016|E017|E018|E019|E020|E021|E022|E023|E024|E025|E026|E027|E028|E029|E030|E031|E032|E033|E034|E035|E036|E037|E038	Bei abgebildete breit gezähnte radialblütige Pflanze, dann diesen Posten kurz abziehen, dann diesen Posten bis bereit halten, dann den Ansatz verwenden, dann das Maß setzen, dann diesen Posten bis bereit fortsetzen, dann diesen Posten übernehmen, dann diesen Posten übernehmen, dann das Maß setzen, dann diesen Posten übernehmen, dann danach den Ansatz abziehen, dann den Ansatz verwenden, dann danach den Posten fortsetzen, dann den Posten fortsetzen, dann den Ansatz fortsetzen, dann den Posten fortsetzen, dann das Maß setzen, dann von dort nehmen, dann diesen Posten zuführen, dann den Ansatz verwenden, dann den Ansatz verwenden, dann diesen Posten übernehmen, dann den Posten Sollstufe zuführen, dann diesen Posten übernehmen, dann den Arbeitsgang nach Maß abziehen.	Zuerst diesen Posten kurz abziehen, dann ihn bis bereit halten, dann den Ansatz verwenden, dann das Maß setzen, dann ihn bis bereit fortsetzen, dann ihn übernehmen, dann ihn übernehmen, dann das Maß setzen, dann ihn übernehmen, danach den Ansatz abziehen, dann den Ansatz verwenden, danach ihn fortsetzen, dann ihn fortsetzen, dann den Ansatz fortsetzen, dann ihn fortsetzen, dann das Maß setzen, dann von dort nehmen, dann ihn zuführen, dann den Ansatz verwenden, dann den Ansatz verwenden, dann ihn übernehmen, dann ihn Sollstufe zuführen, dann ihn übernehmen, dann den Arbeitsgang nach Maß abziehen.	12	Zuerst	RECORD_FINAL_OPEN	YES
I003	H3	1	H3-S001	E039|E040|E041|E042|E043|E044|E045	Bei abgebildete dicht blau blühende Kronenpflanze, dann den Posten eintragen und halten und fortsetzen, dann den Arbeitsgang an der Zielstelle halten, dann diesen Posten auswringen, dann diesen Posten nach Maß halten, dann diesen Posten hineingeben, dann diesen Posten länger halten, dann den Arbeitsgang eintragen und abziehen und den Schritt schließen.	Zuerst den Posten eintragen und halten und fortsetzen, dann den Arbeitsgang an der Zielstelle halten, dann ihn auswringen, dann ihn nach Maß halten, dann ihn hineingeben, dann ihn länger halten, dann den Arbeitsgang eintragen und abziehen und den Schritt schließen.	4	Zuerst	COMMITTED_CLOSE	YES
I004	H3	2	H3-S002|H3-S003|H3-S004	E046|E047|E048|E049|E050|E051|E052|E053|E054|E055	Bei abgebildete dicht blau blühende Kronenpflanze, dann diesen Posten halten und eintragen, dann den Posten fortsetzen, dann diesen Posten übernehmen, dann diesen Posten zuführen, dann diesen Posten übernehmen, dann das Maß setzen, dann danach diesen Posten übernehmen, dann den Posten ansetzen und fortsetzen, dann diesen Posten bis bereit halten, dann diesen Posten übernehmen.	Danach ihn halten und eintragen, dann ihn fortsetzen, dann ihn übernehmen, dann ihn zuführen, dann ihn übernehmen, dann das Maß setzen, danach ihn übernehmen, dann ihn ansetzen und fortsetzen, dann ihn bis bereit halten, dann ihn übernehmen.	9	Danach	RECORD_FINAL_OPEN	YES
I005	H4	1	H4-S001	E056|E057|E058|E059|E060	Bei abgebildete breitblättrige rispige Pflanze, dann den Posten nach Maß ansetzen, dann das Maß setzen, dann diesen Posten zuführen, dann diesen Posten zuführen, dann den Arbeitsgang ausführen und den Schritt schließen.	Zuerst den Posten nach Maß ansetzen, dann das Maß setzen, dann ihn zuführen, dann ihn zuführen, dann den Arbeitsgang ausführen und den Schritt schließen.	2	Zuerst	COMMITTED_CLOSE	YES
I006	H4	2	H4-S002|H4-S003	E061|E062|E063|E064|E065|E066|E067	Bei abgebildete breitblättrige rispige Pflanze, dann das Maß setzen, dann diesen Posten umsetzen, dann den Posten verwahren, dann diesen Posten nach Maß zuführen, dann den Arbeitsgang von dort kurz abziehen, dann diesen Posten länger wärmen, dann den Posten fortsetzen und den Schritt schließen.	Danach das Maß setzen, dann ihn umsetzen, dann ihn verwahren, dann ihn nach Maß zuführen, dann den Arbeitsgang von dort kurz abziehen, dann ihn länger wärmen, dann ihn fortsetzen und den Schritt schließen.	5	Danach	COMMITTED_CLOSE	YES
I007	H4	3	H4-S004	E068|E069|E070|E071|E072|E073	Bei abgebildete breitblättrige rispige Pflanze, dann das Maß setzen, dann den Posten an der Zielstelle ansetzen, dann diesen Posten fortsetzen und eintragen, dann den Ansatz verwenden, dann diesen Posten übernehmen, dann eine Portion nehmen.	Anschließend das Maß setzen, dann ihn an der Zielstelle ansetzen, dann ihn fortsetzen und eintragen, dann den Ansatz verwenden, dann ihn übernehmen, dann eine Portion nehmen.	3	Anschließend	RECORD_FINAL_OPEN	YES
I008	H5	1	H5-S001|H5-S002	E074|E075|E076|E077|E078|E079|E080|E081|E082|E083|E084|E085|E086	Bei abgebildete mehrköpfige stachelige Pflanze, dann die Gabe abziehen, dann die Gabe nehmen, dann die Zielstelle setzen, dann das Maß setzen, dann die Gabe nehmen, dann den Posten zuführen und fortsetzen, dann danach den Ansatz abziehen, dann diesen Posten ansetzen, dann die Zielstelle setzen, dann den Posten fortsetzen, dann diesen Posten übernehmen, dann diesen Posten ansetzen, dann den Arbeitsgang am Durchlass länger abziehen und den Schritt schließen.	Zuerst die Gabe abziehen, dann die Gabe nehmen, dann die Zielstelle setzen, dann das Maß setzen, dann die Gabe nehmen, dann den Posten zuführen und fortsetzen, danach den Ansatz abziehen, dann ihn ansetzen, dann die Zielstelle setzen, dann ihn fortsetzen, dann ihn übernehmen, dann ihn ansetzen, dann den Arbeitsgang am Durchlass länger abziehen und den Schritt schließen.	4	Zuerst	COMMITTED_CLOSE	YES
I009	H5	2	H5-S003|H5-S004|H5-S005|H5-S006	E087|E088|E089|E090|E091|E092|E093|E094|E095|E096|E097|E098|E099|E100	Bei abgebildete mehrköpfige stachelige Pflanze, dann den Posten halten, dann die Gabe nehmen, dann diesen Posten kurz zuführen, dann diesen Posten ansetzen und ansetzen, dann diesen Posten ansetzen, dann den Arbeitsgang kurz ansetzen und abziehen, dann den Posten an der Zielstelle zuführen, dann die Gabe nehmen, dann diesen Posten ansetzen, dann die Gabe von dort zuführen, dann danach eine Portion nehmen, dann danach diesen Posten übernehmen, dann den Posten kurz zuführen und fortsetzen, dann das Maß setzen.	Danach ihn halten, dann die Gabe nehmen, dann ihn kurz zuführen, dann ihn ansetzen und ansetzen, dann ihn ansetzen, dann den Arbeitsgang kurz ansetzen und abziehen, dann ihn an der Zielstelle zuführen, dann die Gabe nehmen, dann ihn ansetzen, dann die Gabe von dort zuführen, danach eine Portion nehmen, danach ihn übernehmen, dann ihn kurz zuführen und fortsetzen, dann das Maß setzen.	8	Danach	RECORD_FINAL_OPEN	YES
I010	B1	1	B1-S001	E101	Bei gemeinsame zweireihige Figuren-/Beckenstation, dann den Posten kurz ansetzen und den Schritt schließen.	Zuerst den Posten kurz ansetzen und den Schritt schließen.	0	Zuerst	COMMITTED_CLOSE	YES
