page	panel_id	record_id	locus	position	word	model	reading	candidate_ids	status
f77r	F77_TOP_ARCH	F77_P1	f77r.9	1	poldarais	C1	⟦poldarais⟧	NA	OPEN
f77r	F77_TOP_ARCH	F77_P1	f77r.9	2	ol	C1	⟦ol⟧	NA	OPEN
f77r	F77_TOP_ARCH	F77_P1	f77r.9	3	qokol	C1	⟦qokol⟧	NA	OPEN
f77r	F77_TOP_ARCH	F77_P1	f77r.9	4	chey	C1	⟦chey⟧	NA	OPEN
f77r	F77_TOP_ARCH	F77_P1	f77r.9	5	qopchedy	C1	⟦qopchedy⟧	NA	OPEN
f77r	F77_TOP_ARCH	F77_P1	f77r.9	6	qopchedy	C1	⟦qopchedy⟧	NA	OPEN
f77r	F77_TOP_ARCH	F77_P1	f77r.9	7	dylches	C1	⟦dylches⟧	NA	OPEN
f77r	F77_TOP_ARCH	F77_P1	f77r.9	8	olkedy	C1	⟦olkedy⟧	NA	OPEN
f77r	F77_TOP_ARCH	F77_P1	f77r.9	9	loly	C1	⟦loly⟧	NA	OPEN
f77r	F77_TOP_ARCH	F77_P1	f77r.10	1	tolchd	C1	⟦tolchd⟧	NA	OPEN
f77r	F77_TOP_ARCH	F77_P1	f77r.10	2	ar	C1	⟦ar⟧	NA	OPEN
f77r	F77_TOP_ARCH	F77_P1	f77r.10	3	shey	C1	⟦shey⟧	NA	OPEN
f77r	F77_TOP_ARCH	F77_P1	f77r.10	4	qotaiin	C1	⟦qotaiin⟧	NA	OPEN
f77r	F77_TOP_ARCH	F77_P1	f77r.10	5	qotedy	C1	⟦qotedy⟧	NA	OPEN
f77r	F77_TOP_ARCH	F77_P1	f77r.10	6	qokol	C1	⟦qokol⟧	NA	OPEN
f77r	F77_TOP_ARCH	F77_P1	f77r.10	7	chdy	C1	⟦chdy⟧	NA	OPEN
f77r	F77_TOP_ARCH	F77_P1	f77r.10	8	qokain	C1	⟦qokain⟧	NA	OPEN
f77r	F77_TOP_ARCH	F77_P1	f77r.10	9	chetey	C1	⟦chetey⟧	NA	OPEN
f77r	F77_TOP_ARCH	F77_P1	f77r.10	10	sal	C1	⟦sal⟧	NA	OPEN
f77r	F77_TOP_ARCH	F77_P1	f77r.11	1	qoteedy	C1	⟦qoteedy⟧	NA	OPEN
f77r	F77_TOP_ARCH	F77_P1	f77r.11	2	qokaiin	C1	⟦qokaiin⟧	NA	OPEN
f77r	F77_TOP_ARCH	F77_P1	f77r.11	3	shedy	C1	⟦shedy⟧	NA	OPEN
f77r	F77_TOP_ARCH	F77_P1	f77r.11	4	chol	C1	⟦chol⟧	NA	OPEN
f77r	F77_TOP_ARCH	F77_P1	f77r.11	5	shedy	C1	⟦shedy⟧	NA	OPEN
f77r	F77_TOP_ARCH	F77_P1	f77r.11	6	shcthey	C1	⟦shcthey⟧	NA	OPEN
f77r	F77_TOP_ARCH	F77_P1	f77r.11	7	qokeedy	C1	⟦qokeedy⟧	NA	OPEN
f77r	F77_TOP_ARCH	F77_P1	f77r.11	8	oteedy	C1	⟦oteedy⟧	NA	OPEN
f77r	F77_TOP_ARCH	F77_P1	f77r.11	9	cham	C1	⟦cham⟧	NA	OPEN
f77r	F77_TOP_ARCH	F77_P1	f77r.12	1	solteedy	C1	⟦solteedy⟧	NA	OPEN
f77r	F77_TOP_ARCH	F77_P1	f77r.12	2	qoteedy	C1	⟦qoteedy⟧	NA	OPEN
f77r	F77_TOP_ARCH	F77_P1	f77r.12	3	qodeedy	C1	⟦qodeedy⟧	NA	OPEN
f77r	F77_TOP_ARCH	F77_P1	f77r.12	4	chedaiin	C1	⟦chedaiin⟧	NA	OPEN
f77r	F77_TOP_ARCH	F77_P1	f77r.12	5	chedy	C1	⟦chedy⟧	NA	OPEN
f77r	F77_TOP_ARCH	F77_P1	f77r.12	6	shedaiin	C1	⟦shedaiin⟧	NA	OPEN
f77r	F77_TOP_ARCH	F77_P1	f77r.12	7	shealol	C1	⟦shealol⟧	NA	OPEN
f77r	F77_TOP_ARCH	F77_P1	f77r.12	8	ched	C1	⟦ched⟧	NA	OPEN
f77r	F77_TOP_ARCH	F77_P1	f77r.13	1	qokeedy	C1	⟦qokeedy⟧	NA	OPEN
f77r	F77_TOP_ARCH	F77_P1	f77r.13	2	qol	C1	⟦qol⟧	NA	OPEN
f77r	F77_TOP_ARCH	F77_P1	f77r.13	3	sheedy	C1	⟦sheedy⟧	NA	OPEN
f77r	F77_TOP_ARCH	F77_P1	f77r.13	4	shol	C1	⟦shol⟧	NA	OPEN
f77r	F77_TOP_ARCH	F77_P1	f77r.13	5	tedy	C1	⟦tedy⟧	NA	OPEN
f77r	F77_TOP_ARCH	F77_P1	f77r.13	6	chedy	C1	⟦chedy⟧	NA	OPEN
f77r	F77_TOP_ARCH	F77_P1	f77r.13	7	lsheedy	C1	⟦lsheedy⟧	NA	OPEN
f77r	F77_TOP_ARCH	F77_P1	f77r.13	8	qokedy	C1	⟦qokedy⟧	NA	OPEN
f77r	F77_TOP_ARCH	F77_P1	f77r.13	9	qolal	C1	⟦qolal⟧	NA	OPEN
f77r	F77_TOP_ARCH	F77_P1	f77r.13	10	chedy	C1	⟦chedy⟧	NA	OPEN
f77r	F77_TOP_ARCH	F77_P1	f77r.14	1	sokcheey	C1	⟦sokcheey⟧	NA	OPEN
f77r	F77_TOP_ARCH	F77_P1	f77r.14	2	sain	C1	⟦sain⟧	NA	OPEN
f77r	F77_TOP_ARCH	F77_P1	f77r.14	3	sheeol	C1	⟦sheeol⟧	NA	OPEN
f77r	F77_TOP_ARCH	F77_P1	f77r.14	4	qoteedy	C1	⟦qoteedy⟧	NA	OPEN
f77r	F77_TOP_ARCH	F77_P1	f77r.14	5	qokaiin	C1	⟦qokaiin⟧	NA	OPEN
f77r	F77_TOP_ARCH	F77_P1	f77r.14	6	shedy	C1	⟦shedy⟧	NA	OPEN
f77r	F77_TOP_ARCH	F77_P1	f77r.14	7	qokeedy	C1	⟦qokeedy⟧	NA	OPEN
f77r	F77_TOP_ARCH	F77_P1	f77r.14	8	qotedy	C1	⟦qotedy⟧	NA	OPEN
f77r	F77_TOP_ARCH	F77_P1	f77r.15	1	qokeedy	C1	⟦qokeedy⟧	NA	OPEN
f77r	F77_TOP_ARCH	F77_P1	f77r.15	2	shedy	C1	⟦shedy⟧	NA	OPEN
f77r	F77_TOP_ARCH	F77_P1	f77r.15	3	qotol	C1	⟦qotol⟧	NA	OPEN
f77r	F77_TOP_ARCH	F77_P1	f77r.15	4	shedy	C1	⟦shedy⟧	NA	OPEN
f77r	F77_TOP_ARCH	F77_P1	f77r.15	5	qokaiin	C1	⟦qokaiin⟧	NA	OPEN
f77r	F77_TOP_ARCH	F77_P1	f77r.15	6	sheety	C1	⟦sheety⟧	NA	OPEN
f77r	F77_TOP_ARCH	F77_P1	f77r.15	7	qokeed	C1	⟦qokeed⟧	NA	OPEN
f77r	F77_TOP_ARCH	F77_P1	f77r.15	8	y	C1	⟦y⟧	NA	OPEN
f77r	F77_TOP_ARCH	F77_P1	f77r.15	9	lchedy	C1	⟦lchedy⟧	NA	OPEN
f77r	F77_TOP_ARCH	F77_P1	f77r.15	10	lol	C1	⟦lol⟧	NA	OPEN
f77r	F77_TOP_ARCH	F77_P1	f77r.16	1	sshedy	C1	⟦sshedy⟧	NA	OPEN
f77r	F77_TOP_ARCH	F77_P1	f77r.16	2	qotaiin	C1	⟦qotaiin⟧	NA	OPEN
f77r	F77_TOP_ARCH	F77_P1	f77r.16	3	chedy	C1	⟦chedy⟧	NA	OPEN
f77r	F77_TOP_ARCH	F77_P1	f77r.16	4	qokaiin	C1	⟦qokaiin⟧	NA	OPEN
f77r	F77_TOP_ARCH	F77_P1	f77r.16	5	shedy	C1	⟦shedy⟧	NA	OPEN
f77r	F77_TOP_ARCH	F77_P1	f77r.16	6	qolcheedy	C1	⟦qolcheedy⟧	NA	OPEN
f77r	F77_TOP_ARCH	F77_P1	f77r.16	7	qokeedy	C1	⟦qokeedy⟧	NA	OPEN
f77r	F77_TOP_ARCH	F77_P1	f77r.16	8	lol	C1	⟦lol⟧	NA	OPEN
f77r	F77_TOP_ARCH	F77_P1	f77r.17	1	qoteedy	C1	⟦qoteedy⟧	NA	OPEN
f77r	F77_TOP_ARCH	F77_P1	f77r.17	2	qoteedy	C1	⟦qoteedy⟧	NA	OPEN
f77r	F77_TOP_ARCH	F77_P1	f77r.17	3	qokedy	C1	⟦qokedy⟧	NA	OPEN
f77r	F77_TOP_ARCH	F77_P1	f77r.17	4	sheed	C1	⟦sheed⟧	NA	OPEN
f77r	F77_TOP_ARCH	F77_P1	f77r.17	5	qeey	C1	⟦qeey⟧	NA	OPEN
f77r	F77_TOP_ARCH	F77_P1	f77r.17	6	saiin	C1	⟦saiin⟧	NA	OPEN
f77r	F77_TOP_ARCH	F77_P1	f77r.17	7	sheety	C1	⟦sheety⟧	NA	OPEN
f77r	F77_TOP_ARCH	F77_P1	f77r.17	8	qokeedy	C1	⟦qokeedy⟧	NA	OPEN
f77r	F77_TOP_ARCH	F77_P1	f77r.17	9	lol	C1	⟦lol⟧	NA	OPEN
f77r	F77_TOP_ARCH	F77_P1	f77r.18	1	daiin	C1	⟦daiin⟧	NA	OPEN
f77r	F77_TOP_ARCH	F77_P1	f77r.18	2	cheedy	C1	⟦cheedy⟧	NA	OPEN
f77r	F77_TOP_ARCH	F77_P1	f77r.18	3	lshey	C1	⟦lshey⟧	NA	OPEN
f77r	F77_TOP_ARCH	F77_P1	f77r.18	4	qo	C1	⟦qo⟧	NA	OPEN
f77r	F77_TOP_ARCH	F77_P1	f77r.18	5	l	C1	⟦l⟧	NA	OPEN
f77r	F77_TOP_ARCH	F77_P1	f77r.18	6	or	C1	⟦or⟧	NA	OPEN
f77r	F77_TOP_ARCH	F77_P1	f77r.18	7	chees	C1	⟦chees⟧	NA	OPEN
f77r	F77_TOP_ARCH	F77_P1	f77r.18	8	sheckhedy	C1	⟦sheckhedy⟧	NA	OPEN
f77r	F77_TOP_ARCH	F77_P1	f77r.18	9	qol	C1	⟦qol⟧	NA	OPEN
f77r	F77_TOP_ARCH	F77_P1	f77r.18	10	cheedy	C1	⟦cheedy⟧	NA	OPEN
f77r	F77_TOP_ARCH	F77_P1	f77r.18	11	qotaiin	C1	⟦qotaiin⟧	NA	OPEN
f77r	F77_TOP_ARCH	F77_P1	f77r.19	1	qokeedy	C1	⟦qokeedy⟧	NA	OPEN
f77r	F77_TOP_ARCH	F77_P1	f77r.19	2	lchey	C1	⟦lchey⟧	NA	OPEN
f77r	F77_TOP_ARCH	F77_P1	f77r.19	3	lsheey	C1	⟦lsheey⟧	NA	OPEN
