model	record	entry_locus	scope	available_labels	references	unwritten_scope_assumption
N0	F77_P1	f77r.9	F77_TOP_ARCH	L01,L02,L03,L04,L05,L06,L07,L08	NONE	visual boundary or register assumption; no translated qualifier
N0	F77_P2	f77r.25	F77_MIDDLE_BODY	L09	f77r.25:1 otedy UNRESOLVED_SCOPE	visual boundary or register assumption; no translated qualifier
N0	F77_P3	f77r.38	F77_LOWER_VESSEL	L10	f77r.39:1 olaiin UNRESOLVED_SCOPE	visual boundary or register assumption; no translated qualifier
N0	F82_P1	f82r.1	F82_TOP_COUPLED		f82r.6:6 okal UNRESOLVED_SCOPE	visual boundary or register assumption; no translated qualifier
N0	F82_P2	f82r.11	F82_MIDDLE_TRANSFER	L11	f82r.12:1 otedy UNRESOLVED_SCOPE;f82r.12:7 okal UNRESOLVED_SCOPE	visual boundary or register assumption; no translated qualifier
N0	F82_P3	f82r.20	F82_BOTTOM_COMMUNAL	L12,L13,L14,L15,L16,L17,L18,L19,L20,L21,L22,L23	NONE	visual boundary or register assumption; no translated qualifier
N1	F77_P1	f77r.9	f77r	L01,L02,L03,L04,L05,L06,L07,L08,L09,L10	NONE	visual boundary or register assumption; no translated qualifier
N1	F77_P2	f77r.25	f77r	L01,L02,L03,L04,L05,L06,L07,L08,L09,L10	f77r.25:1 otedy CONDITIONAL_LABEL_RESOLUTION	visual boundary or register assumption; no translated qualifier
N1	F77_P3	f77r.38	f77r	L01,L02,L03,L04,L05,L06,L07,L08,L09,L10	f77r.39:1 olaiin UNRESOLVED_SCOPE	visual boundary or register assumption; no translated qualifier
N1	F82_P1	f82r.1	f82r	L11,L12,L13,L14,L15,L16,L17,L18,L19,L20,L21,L22,L23	f82r.6:6 okal CONDITIONAL_LABEL_RESOLUTION	visual boundary or register assumption; no translated qualifier
N1	F82_P2	f82r.11	f82r	L11,L12,L13,L14,L15,L16,L17,L18,L19,L20,L21,L22,L23	f82r.12:1 otedy UNRESOLVED_SCOPE;f82r.12:7 okal CONDITIONAL_LABEL_RESOLUTION	visual boundary or register assumption; no translated qualifier
N1	F82_P3	f82r.20	f82r	L11,L12,L13,L14,L15,L16,L17,L18,L19,L20,L21,L22,L23	NONE	visual boundary or register assumption; no translated qualifier
N2	F77_P1	f77r.9	HYPOTHETICAL_TWO_PAGE_REGISTER	L01,L02,L03,L04,L05,L06,L07,L08,L09,L10,L11,L12,L13,L14,L15,L16,L17,L18,L19,L20,L21,L22,L23	NONE	visual boundary or register assumption; no translated qualifier
N2	F77_P2	f77r.25	HYPOTHETICAL_TWO_PAGE_REGISTER	L01,L02,L03,L04,L05,L06,L07,L08,L09,L10,L11,L12,L13,L14,L15,L16,L17,L18,L19,L20,L21,L22,L23	f77r.25:1 otedy CONDITIONAL_LABEL_RESOLUTION	visual boundary or register assumption; no translated qualifier
N2	F77_P3	f77r.38	HYPOTHETICAL_TWO_PAGE_REGISTER	L01,L02,L03,L04,L05,L06,L07,L08,L09,L10,L11,L12,L13,L14,L15,L16,L17,L18,L19,L20,L21,L22,L23	f77r.39:1 olaiin CONDITIONAL_LABEL_RESOLUTION	visual boundary or register assumption; no translated qualifier
N2	F82_P1	f82r.1	HYPOTHETICAL_TWO_PAGE_REGISTER	L01,L02,L03,L04,L05,L06,L07,L08,L09,L10,L11,L12,L13,L14,L15,L16,L17,L18,L19,L20,L21,L22,L23	f82r.6:6 okal CONDITIONAL_LABEL_RESOLUTION	visual boundary or register assumption; no translated qualifier
N2	F82_P2	f82r.11	HYPOTHETICAL_TWO_PAGE_REGISTER	L01,L02,L03,L04,L05,L06,L07,L08,L09,L10,L11,L12,L13,L14,L15,L16,L17,L18,L19,L20,L21,L22,L23	f82r.12:1 otedy CONDITIONAL_LABEL_RESOLUTION;f82r.12:7 okal CONDITIONAL_LABEL_RESOLUTION	visual boundary or register assumption; no translated qualifier
N2	F82_P3	f82r.20	HYPOTHETICAL_TWO_PAGE_REGISTER	L01,L02,L03,L04,L05,L06,L07,L08,L09,L10,L11,L12,L13,L14,L15,L16,L17,L18,L19,L20,L21,L22,L23	NONE	visual boundary or register assumption; no translated qualifier
C1	F77_P1	f77r.9	CLASS_NO_INDIVIDUAL_TARGET	L01,L02,L03,L04,L05,L06,L07,L08,L09,L10,L11,L12,L13,L14,L15,L16,L17,L18,L19,L20,L21,L22,L23	NONE	visual boundary or register assumption; no translated qualifier
C1	F77_P2	f77r.25	CLASS_NO_INDIVIDUAL_TARGET	L01,L02,L03,L04,L05,L06,L07,L08,L09,L10,L11,L12,L13,L14,L15,L16,L17,L18,L19,L20,L21,L22,L23	f77r.25:1 otedy HYPOTHETICAL_CLASS	visual boundary or register assumption; no translated qualifier
C1	F77_P3	f77r.38	CLASS_NO_INDIVIDUAL_TARGET	L01,L02,L03,L04,L05,L06,L07,L08,L09,L10,L11,L12,L13,L14,L15,L16,L17,L18,L19,L20,L21,L22,L23	f77r.39:1 olaiin HYPOTHETICAL_CLASS	visual boundary or register assumption; no translated qualifier
C1	F82_P1	f82r.1	CLASS_NO_INDIVIDUAL_TARGET	L01,L02,L03,L04,L05,L06,L07,L08,L09,L10,L11,L12,L13,L14,L15,L16,L17,L18,L19,L20,L21,L22,L23	f82r.6:6 okal HYPOTHETICAL_CLASS	visual boundary or register assumption; no translated qualifier
C1	F82_P2	f82r.11	CLASS_NO_INDIVIDUAL_TARGET	L01,L02,L03,L04,L05,L06,L07,L08,L09,L10,L11,L12,L13,L14,L15,L16,L17,L18,L19,L20,L21,L22,L23	f82r.12:1 otedy HYPOTHETICAL_CLASS;f82r.12:7 okal HYPOTHETICAL_CLASS	visual boundary or register assumption; no translated qualifier
C1	F82_P3	f82r.20	CLASS_NO_INDIVIDUAL_TARGET	L01,L02,L03,L04,L05,L06,L07,L08,L09,L10,L11,L12,L13,L14,L15,L16,L17,L18,L19,L20,L21,L22,L23	NONE	visual boundary or register assumption; no translated qualifier
