target_ordinal	locus	page	released_primary	expected_zl3b_count	evidence_layer
1	f107v.6	f107v	NO	1	INHERITED_CACHE_LINE_ONLY
2	f33r.2	f33r	NO	1	INHERITED_CACHE_LINE_ONLY
3	f46r.4	f46r	NO	1	INHERITED_CACHE_LINE_ONLY
4	f46v.6	f46v	NO	1	INHERITED_CACHE_LINE_ONLY
5	f58r.19	f58r	NO	1	INHERITED_CACHE_LINE_ONLY
6	f58r.32	f58r	NO	1	INHERITED_CACHE_LINE_ONLY
7	f66r.67	f66r	YES	1	RELEASED_FULL_PARAGRAPH
8	f66r.69	f66r	YES	1	RELEASED_FULL_PARAGRAPH
9	f76r.24	f76r	YES	1	RELEASED_FULL_PARAGRAPH_AND_A6_OWNER
10	f79r.13	f79r	NO	1	INHERITED_CACHE_LINE_ONLY
