pool,label,old_B_forms,A_capacity,B_capacity,meaning_confirmed
BP01,DRY_SIMILARLY,qoeedy,0,1,False
BP02,EXPLANATORY_RELATION,lchedy;dl,3,2,False
BP03,DULL,chees,0,1,False
BP04,TO,ol,4,5,False
BP05,SIGHT,oiiin,0,1,False
BP06,UNLESS,chchky,1,1,False
BP07,WHOLE_EYE,shekeey,0,1,False
BP08,UNNATURALLY,qokey,0,1,False
BP09,IS,qoky;r,0,6,False
BP10,MOIST,saiin,0,2,False
BP11,BOTH_FOODS,sy,0,1,False
BP12,FOOD_CONSEQUENCE_PROFILE,chedy;saiiin;san,0,5,False
BP13,CABBAGE,shedy,1,6,False
BP14,MORE,qokeedy,2,1,False
BP15,THAN,lol,0,1,False
BP16,LENTIL,qokain;okedy,1,2,False
BP17,OF,chey,1,3,False
BP18,LITTLE,al,0,1,False
BP19,FOOD_NOMINAL_REFERENCE,aiin;qokopy;dal,2,6,False
BP20,NOT,sshey;sol;oltydy;or,4,5,False
BP21,SOLID_FOOD,lshedy,0,2,False
BP22,AND,qokaiin,1,3,False
BP23,BODY,keedy,0,1,False
BP24,MUCH,sor,0,1,False
BP25,THICK_AND_MELANCHOLIC,dedy,0,1,False
BP26,GOOD_JUICED,daiin,0,2,False
BP27,BAD,cheedy,0,1,False
BP28,FOUL_SMELLING,qo,0,1,False
BP29,LETTUCE,char;cheey,0,2,False
BP30,CAN_STATE_MANIFEST,shey,0,2,False
BP31,URINARY_BENEFIT,qokedy,0,1,False
BP32,URINARY_HARM,qol,0,1,False
BP33,DESCRIBED_OR_ANAPHORIC_PEDANTS,psheoldy;dchedy,0,2,False
BP34,INSIST_CALL,dkshey,0,1,False
BP35,RHAPHANOS,ror,0,1,False
BP36,AS_IF,[o:a]por,0,1,False
BP37,SPEAK,olpo{ikh}y,0,1,False
BP38,CURRENT_GREEKS,ysheeyqorar;y,0,2,False
BP39,ATHENIANS,okaiin,0,1,False
BP40,SIX_HUNDRED_YEARS_AGO,tar,0,1,False
BP41,ALL,kain,1,1,False
BP42,SAME_NAME,okal,0,2,False
BP43,CUSTOMARILY,rchey,0,1,False
BP44,USE_NAME,qokal,1,2,False
BP45,OTHER_PLANT,olor,1,1,False
BP46,INSIST,otam,3,1,False
