panel,form,A_observed,B_observed,minimum_pairs,possible_B_pools,decision,meaning_confirmed
RAW_EXACT,aiin,3,4,3,BP04;BP20,NECESSARY_DOMAIN_NONEMPTY,False
RAW_EXACT,al,4,1,1,BP04;BP20,NECESSARY_DOMAIN_NONEMPTY,False
RAW_EXACT,chedy,3,3,3,BP04;BP20,NECESSARY_DOMAIN_NONEMPTY,False
RAW_EXACT,cheey,2,1,1,BP02;BP04;BP14;BP19;BP20;BP46,NECESSARY_DOMAIN_NONEMPTY,False
RAW_EXACT,chey,5,3,3,,EMPTY_NECESSARY_DOMAIN,False
RAW_EXACT,daiin,1,2,1,BP02;BP04;BP13;BP16;BP17;BP19;BP20;BP22;BP44,NECESSARY_DOMAIN_NONEMPTY,False
RAW_EXACT,dal,1,1,1,BP02;BP04;BP06;BP13;BP14;BP16;BP17;BP19;BP20;BP22;BP41;BP44;BP45;BP46,NECESSARY_DOMAIN_NONEMPTY,False
RAW_EXACT,or,1,1,1,BP02;BP04;BP06;BP13;BP14;BP16;BP17;BP19;BP20;BP22;BP41;BP44;BP45;BP46,NECESSARY_DOMAIN_NONEMPTY,False
RAW_EXACT,qokeedy,1,1,1,BP02;BP04;BP06;BP13;BP14;BP16;BP17;BP19;BP20;BP22;BP41;BP44;BP45;BP46,NECESSARY_DOMAIN_NONEMPTY,False
RAW_EXACT,qokey,3,1,1,BP02;BP04;BP20;BP46,NECESSARY_DOMAIN_NONEMPTY,False
RAW_EXACT,qoky,2,3,2,BP04;BP19;BP20,NECESSARY_DOMAIN_NONEMPTY,False
RAW_EXACT,shedy,1,6,1,BP13;BP19,NECESSARY_DOMAIN_NONEMPTY,False
RAW_EXACT,y,4,1,1,BP04;BP20,NECESSARY_DOMAIN_NONEMPTY,False
LITERAL_LINES,aiin,2,1,1,BP02;BP04;BP14;BP19;BP20;BP46,NECESSARY_DOMAIN_NONEMPTY,False
LITERAL_LINES,chedy,3,2,2,BP02;BP04;BP20,NECESSARY_DOMAIN_NONEMPTY,False
LITERAL_LINES,chey,1,1,1,BP02;BP04;BP06;BP13;BP14;BP16;BP17;BP19;BP20;BP22;BP41;BP44;BP45;BP46,NECESSARY_DOMAIN_NONEMPTY,False
LITERAL_LINES,dal,1,1,1,BP02;BP04;BP06;BP13;BP14;BP16;BP17;BP19;BP20;BP22;BP41;BP44;BP45;BP46,NECESSARY_DOMAIN_NONEMPTY,False
LITERAL_LINES,shedy,1,2,1,BP02;BP04;BP13;BP16;BP17;BP19;BP20;BP22;BP44,NECESSARY_DOMAIN_NONEMPTY,False
