label_locus_order	physical_page	source_page	locus	register	namespace	role_family	role_detail	concrete_owner_or_name_de	groups	surfaces	recipes	creative_label_reading_de
1	f75r	f75r	f75r.47	BIOLOGICAL	LOWER_POOL_LABEL_1	LOWER_POOL_STATION_LABEL	naechste Figur/Station im unteren gruenen Gemeinschaftsbecken	Kennung von lower pool label 1	2	sal · okeedy	S+AL | OK+EE+DY	Kennung von lower pool label 1: KLASSEN- ODER KONTEXTMARKER; ZIEL- ODER ZUGEWIESENER PLATZ / Kennung von lower pool label 1: PLATZ AKTIVIEREN; LÄNGERER / ZWEITER GRAD; GEBUNDENER ODER ABGESCHLOSSENER EINTRAG
2	f75r	f75r	f75r.48	BIOLOGICAL	LOWER_POOL_LABEL_2	LOWER_POOL_STATION_LABEL	naechste Figur/Station im unteren gruenen Gemeinschaftsbecken	Kennung von lower pool label 2	2	daly · ychey	AL+Y | Y+Y	Kennung von lower pool label 2: ZIEL- ODER ZUGEWIESENER PLATZ; AKTUELL GEMEINTER BESITZER / Kennung von lower pool label 2: AKTUELL GEMEINTER BESITZER; AKTUELL GEMEINTER BESITZER
3	f75r	f75r	f75r.49	BIOLOGICAL	LOWER_POOL_LABEL_3	LOWER_POOL_STATION_LABEL	naechste Figur/Station im unteren gruenen Gemeinschaftsbecken	Kennung von lower pool label 3	2	sols · dara	OL+S | D_ADDR+AR+A_ADDR	Kennung von lower pool label 3: GLEICHE REIHE FORTSETZEN; KLASSEN- ODER KONTEXTMARKER / Kennung von lower pool label 3: UNTER- ODER TEILADRESSE; QUELL- ODER BEZUGSPLATZ; LOKALE ADRESSE
4	f75r	f75r	f75r.50	BIOLOGICAL	LOWER_POOL_LABEL_4	LOWER_POOL_STATION_LABEL	naechste Figur/Station im unteren gruenen Gemeinschaftsbecken	Kennung von lower pool label 4	1	ychty	Y+CH+T+Y	Kennung von lower pool label 4: AKTUELL GEMEINTER BESITZER; KENNUNG ABLESEN; PLATZ MARKIEREN; AKTUELL GEMEINTER BESITZER
5	f75r	f75r	f75r.51	BIOLOGICAL	LOWER_POOL_LABEL_5	LOWER_POOL_STATION_LABEL	naechste Figur/Station im unteren gruenen Gemeinschaftsbecken	Kennung von lower pool label 5	1	saino	S+AIN+O	Kennung von lower pool label 5: KLASSEN- ODER KONTEXTMARKER; EINHEIT ODER EINZELPLATZ; LOKALEN GANG / KREISLESUNG AUFRUFEN
6	f75r	f75r	f75r.52	BIOLOGICAL	LOWER_POOL_LABEL_6	LOWER_POOL_STATION_LABEL	naechste Figur/Station im unteren gruenen Gemeinschaftsbecken	Kennung von lower pool label 6	1	saldy	S+AL+DY	Kennung von lower pool label 6: KLASSEN- ODER KONTEXTMARKER; ZIEL- ODER ZUGEWIESENER PLATZ; GEBUNDENER ODER ABGESCHLOSSENER EINTRAG
7	f75r	f75r	f75r.53	BIOLOGICAL	LOWER_POOL_LABEL_7	LOWER_POOL_STATION_LABEL	naechste Figur/Station im unteren gruenen Gemeinschaftsbecken	Kennung von lower pool label 7	1	dainy	AIN+Y	Kennung von lower pool label 7: EINHEIT ODER EINZELPLATZ; AKTUELL GEMEINTER BESITZER
8	f81v	f81v	f81v.28	BIOLOGICAL	F81_SHARED_POOL_LABEL_BLOCK	SHARED_POOL_LABEL	Beschriftung am gemeinsamen Bad-/Beckenfeld	lokaler Wert am gemeinsamen Becken	2	otain · olkal	OT+AIN | OL+K+AL	lokaler Wert am gemeinsamen Becken: NÄCHSTER PLATZ / NÄCHSTER LISTENEINTRAG; EINHEIT ODER EINZELPLATZ / lokaler Wert am gemeinsamen Becken: GLEICHE REIHE FORTSETZEN; WERT ZUORDNEN; ZIEL- ODER ZUGEWIESENER PLATZ
9	f82r	f82r	f82r.10	BIOLOGICAL	F82_LOCAL_STATION_LABELS	BATH_OR_APPARATUS_STATION_LABEL	lokale Becken-, Gefäß- oder Leitungsstation; Richtung nicht im Bild festgelegt	lokaler Stationswert f82r.10	1	oroldair	OR+OL+D_ADDR+AIR	lokaler Stationswert f82r.10: LOKALER EINTRAG ODER ANSATZKLASSE; GLEICHE REIHE FORTSETZEN; UNTER- ODER TEILADRESSE; AIR
10	f82r	f82r	f82r.34	BIOLOGICAL	F82_LOCAL_STATION_LABELS	BATH_OR_APPARATUS_STATION_LABEL	lokale Becken-, Gefäß- oder Leitungsstation; Richtung nicht im Bild festgelegt	lokaler Stationswert f82r.34	1	okor	OK+OR	lokaler Stationswert f82r.34: PLATZ AKTIVIEREN; LOKALER EINTRAG ODER ANSATZKLASSE
11	f82r	f82r	f82r.35	BIOLOGICAL	F82_LOCAL_STATION_LABELS	BATH_OR_APPARATUS_STATION_LABEL	lokale Becken-, Gefäß- oder Leitungsstation; Richtung nicht im Bild festgelegt	lokaler Stationswert f82r.35	1	darol	DA+R+OL	lokaler Stationswert f82r.35: ZWEITER ODER MARKIERTER UNTERPLATZ; MARKIERTER ZUSTAND; GLEICHE REIHE FORTSETZEN
12	f82r	f82r	f82r.36	BIOLOGICAL	F82_LOCAL_STATION_LABELS	BATH_OR_APPARATUS_STATION_LABEL	lokale Becken-, Gefäß- oder Leitungsstation; Richtung nicht im Bild festgelegt	lokaler Stationswert f82r.36	1	okal	OK+AL	lokaler Stationswert f82r.36: PLATZ AKTIVIEREN; ZIEL- ODER ZUGEWIESENER PLATZ
13	f82r	f82r	f82r.37	BIOLOGICAL	F82_LOCAL_STATION_LABELS	BATH_OR_APPARATUS_STATION_LABEL	lokale Becken-, Gefäß- oder Leitungsstation; Richtung nicht im Bild festgelegt	lokaler Stationswert f82r.37	1	okaldy	OK+AL+DY	lokaler Stationswert f82r.37: PLATZ AKTIVIEREN; ZIEL- ODER ZUGEWIESENER PLATZ; GEBUNDENER ODER ABGESCHLOSSENER EINTRAG
14	f82r	f82r	f82r.38	BIOLOGICAL	F82_LOCAL_STATION_LABELS	BATH_OR_APPARATUS_STATION_LABEL	lokale Becken-, Gefäß- oder Leitungsstation; Richtung nicht im Bild festgelegt	lokaler Stationswert f82r.38	1	darary	DA+R+AR+Y	lokaler Stationswert f82r.38: ZWEITER ODER MARKIERTER UNTERPLATZ; MARKIERTER ZUSTAND; QUELL- ODER BEZUGSPLATZ; AKTUELL GEMEINTER BESITZER
