event_id	prior_local_code	surface	register	physical_page	source_page	locus	token_index	namespace	role_family	role_detail	concrete_owner_or_name_de	component_recipe	component_label_functions_de	combined_creative_reading_de	owner_source	source_class	interpretation_rule
P912-E0848	B-L022	sal	BIOLOGICAL	f75r	f75r	f75r.47	1	LOWER_POOL_LABEL_1	LOWER_POOL_STATION_LABEL	naechste Figur/Station im unteren gruenen Gemeinschaftsbecken	Kennung von lower pool label 1	S+AL	KLASSEN- ODER KONTEXTMARKER · ZIEL- ODER ZUGEWIESENER PLATZ	Kennung von lower pool label 1: KLASSEN- ODER KONTEXTMARKER; ZIEL- ODER ZUGEWIESENER PLATZ	PASS909_F75_VISIBLE_STATION	OPERATION_INSTRUCTION	OWNER_NAME_FIRST__COMPONENTS_AS_ADDRESS_OR_CLASSIFIER
P912-E0849	B-L013	okeedy	BIOLOGICAL	f75r	f75r	f75r.47	2	LOWER_POOL_LABEL_1	LOWER_POOL_STATION_LABEL	naechste Figur/Station im unteren gruenen Gemeinschaftsbecken	Kennung von lower pool label 1	OK+EE+DY	PLATZ AKTIVIEREN · LÄNGERER / ZWEITER GRAD · GEBUNDENER ODER ABGESCHLOSSENER EINTRAG	Kennung von lower pool label 1: PLATZ AKTIVIEREN; LÄNGERER / ZWEITER GRAD; GEBUNDENER ODER ABGESCHLOSSENER EINTRAG	PASS909_F75_VISIBLE_STATION	CLOSING_INSTRUCTION	OWNER_NAME_FIRST__COMPONENTS_AS_ADDRESS_OR_CLASSIFIER
P912-E0850	B-L003	daly	BIOLOGICAL	f75r	f75r	f75r.48	1	LOWER_POOL_LABEL_2	LOWER_POOL_STATION_LABEL	naechste Figur/Station im unteren gruenen Gemeinschaftsbecken	Kennung von lower pool label 2	AL+Y	ZIEL- ODER ZUGEWIESENER PLATZ · AKTUELL GEMEINTER BESITZER	Kennung von lower pool label 2: ZIEL- ODER ZUGEWIESENER PLATZ; AKTUELL GEMEINTER BESITZER	PASS909_F75_VISIBLE_STATION	ARGUMENT_OR_ADDRESS	OWNER_NAME_FIRST__COMPONENTS_AS_ADDRESS_OR_CLASSIFIER
P912-E0851	B-L028	ychey	BIOLOGICAL	f75r	f75r	f75r.48	2	LOWER_POOL_LABEL_2	LOWER_POOL_STATION_LABEL	naechste Figur/Station im unteren gruenen Gemeinschaftsbecken	Kennung von lower pool label 2	Y+Y	AKTUELL GEMEINTER BESITZER · AKTUELL GEMEINTER BESITZER	Kennung von lower pool label 2: AKTUELL GEMEINTER BESITZER; AKTUELL GEMEINTER BESITZER	PASS909_F75_VISIBLE_STATION	REFERENT_OR_LABEL	OWNER_NAME_FIRST__COMPONENTS_AS_ADDRESS_OR_CLASSIFIER
P912-E0852	B-L026	sols	BIOLOGICAL	f75r	f75r	f75r.49	1	LOWER_POOL_LABEL_3	LOWER_POOL_STATION_LABEL	naechste Figur/Station im unteren gruenen Gemeinschaftsbecken	Kennung von lower pool label 3	OL+S	GLEICHE REIHE FORTSETZEN · KLASSEN- ODER KONTEXTMARKER	Kennung von lower pool label 3: GLEICHE REIHE FORTSETZEN; KLASSEN- ODER KONTEXTMARKER	PASS909_F75_VISIBLE_STATION	ORDERED_INSTRUCTION	OWNER_NAME_FIRST__COMPONENTS_AS_ADDRESS_OR_CLASSIFIER
P912-E0853	B-L004	dara	BIOLOGICAL	f75r	f75r	f75r.49	2	LOWER_POOL_LABEL_3	LOWER_POOL_STATION_LABEL	naechste Figur/Station im unteren gruenen Gemeinschaftsbecken	Kennung von lower pool label 3	D_ADDR+AR+A_ADDR	UNTER- ODER TEILADRESSE · QUELL- ODER BEZUGSPLATZ · LOKALE ADRESSE	Kennung von lower pool label 3: UNTER- ODER TEILADRESSE; QUELL- ODER BEZUGSPLATZ; LOKALE ADRESSE	PASS909_F75_VISIBLE_STATION	ARGUMENT_OR_ADDRESS	OWNER_NAME_FIRST__COMPONENTS_AS_ADDRESS_OR_CLASSIFIER
P912-E0854	B-L029	ychty	BIOLOGICAL	f75r	f75r	f75r.50	1	LOWER_POOL_LABEL_4	LOWER_POOL_STATION_LABEL	naechste Figur/Station im unteren gruenen Gemeinschaftsbecken	Kennung von lower pool label 4	Y+CH+T+Y	AKTUELL GEMEINTER BESITZER · KENNUNG ABLESEN · PLATZ MARKIEREN · AKTUELL GEMEINTER BESITZER	Kennung von lower pool label 4: AKTUELL GEMEINTER BESITZER; KENNUNG ABLESEN; PLATZ MARKIEREN; AKTUELL GEMEINTER BESITZER	PASS909_F75_VISIBLE_STATION	OPERATION_INSTRUCTION	OWNER_NAME_FIRST__COMPONENTS_AS_ADDRESS_OR_CLASSIFIER
P912-E0855	B-L021	saino	BIOLOGICAL	f75r	f75r	f75r.51	1	LOWER_POOL_LABEL_5	LOWER_POOL_STATION_LABEL	naechste Figur/Station im unteren gruenen Gemeinschaftsbecken	Kennung von lower pool label 5	S+AIN+O	KLASSEN- ODER KONTEXTMARKER · EINHEIT ODER EINZELPLATZ · LOKALEN GANG / KREISLESUNG AUFRUFEN	Kennung von lower pool label 5: KLASSEN- ODER KONTEXTMARKER; EINHEIT ODER EINZELPLATZ; LOKALEN GANG / KREISLESUNG AUFRUFEN	PASS909_F75_VISIBLE_STATION	OPERATION_INSTRUCTION	OWNER_NAME_FIRST__COMPONENTS_AS_ADDRESS_OR_CLASSIFIER
P912-E0856	B-L023	saldy	BIOLOGICAL	f75r	f75r	f75r.52	1	LOWER_POOL_LABEL_6	LOWER_POOL_STATION_LABEL	naechste Figur/Station im unteren gruenen Gemeinschaftsbecken	Kennung von lower pool label 6	S+AL+DY	KLASSEN- ODER KONTEXTMARKER · ZIEL- ODER ZUGEWIESENER PLATZ · GEBUNDENER ODER ABGESCHLOSSENER EINTRAG	Kennung von lower pool label 6: KLASSEN- ODER KONTEXTMARKER; ZIEL- ODER ZUGEWIESENER PLATZ; GEBUNDENER ODER ABGESCHLOSSENER EINTRAG	PASS909_F75_VISIBLE_STATION	CLOSING_INSTRUCTION	OWNER_NAME_FIRST__COMPONENTS_AS_ADDRESS_OR_CLASSIFIER
P912-E0857	B-L002	dainy	BIOLOGICAL	f75r	f75r	f75r.53	1	LOWER_POOL_LABEL_7	LOWER_POOL_STATION_LABEL	naechste Figur/Station im unteren gruenen Gemeinschaftsbecken	Kennung von lower pool label 7	AIN+Y	EINHEIT ODER EINZELPLATZ · AKTUELL GEMEINTER BESITZER	Kennung von lower pool label 7: EINHEIT ODER EINZELPLATZ; AKTUELL GEMEINTER BESITZER	PASS909_F75_VISIBLE_STATION	ARGUMENT_OR_ADDRESS	OWNER_NAME_FIRST__COMPONENTS_AS_ADDRESS_OR_CLASSIFIER
