component	label_function_de	events	component_occurrences	registers	physical_pages	role_families	largest_role_family	largest_role_share	role_entropy_bits	creative_decision
Y	AKTUELL GEMEINTER BESITZER	87	100	BIOLOGICAL|PHARMA|ZODIAC	f67r2|f68r1|f70v|f75r|f82r|f83r|f88r	CELESTIAL_SECTOR:26|STAR_OR_RAY_STATION:23|ZODIAC_OUTER_FIGURE:17|OUTER_STAR_POSITION:7|LOWER_POOL_STATION_LABEL:6|ZODIAC_INNER_FIGURE:5|BATH_OR_APPARATUS_STATION_LABEL:4|UPPER_INGREDIENT_SLOT:3|MIDDLE_INGREDIENT_SLOT:3|PHASE_OR_CONDITION_SLOT:2|LOWER_INGREDIENT_SLOT:2|CHANNEL_OR_FIGURE_ASSEMBLY_LABEL:1|CENTRE_OR_FACE_SLOT:1	CELESTIAL_SECTOR	0.260	3.004	KEEP_LABEL_CLASSIFIER
O	LOKALEN GANG / KREISLESUNG AUFRUFEN	47	50	BIOLOGICAL|PHARMA|ZODIAC	f67r2|f68r1|f70v|f75r|f88r	STAR_OR_RAY_STATION:20|ZODIAC_OUTER_FIGURE:7|OUTER_STAR_POSITION:5|PHASE_OR_CONDITION_SLOT:5|CELESTIAL_SECTOR:4|ZODIAC_INNER_FIGURE:3|LOWER_INGREDIENT_SLOT:3|LOWER_POOL_STATION_LABEL:1|CENTRE_OR_FACE_SLOT:1|UPPER_INGREDIENT_SLOT:1	STAR_OR_RAY_STATION	0.400	2.707	KEEP_LABEL_CLASSIFIER
OT	NÄCHSTER PLATZ / NÄCHSTER LISTENEINTRAG	46	46	BIOLOGICAL|PHARMA|ZODIAC	f67r2|f68r1|f70v|f81v|f88r	ZODIAC_OUTER_FIGURE:16|ZODIAC_INNER_FIGURE:10|STAR_OR_RAY_STATION:9|OUTER_STAR_POSITION:3|UPPER_INGREDIENT_SLOT:3|MIDDLE_INGREDIENT_SLOT:2|SHARED_POOL_LABEL:1|ZODIAC_CENTRE:1|LOWER_INGREDIENT_SLOT:1	ZODIAC_OUTER_FIGURE	0.348	2.540	KEEP_LABEL_CLASSIFIER
AL	ZIEL- ODER ZUGEWIESENER PLATZ	43	47	BIOLOGICAL|PHARMA|ZODIAC	f67r2|f68r1|f70v|f75r|f81v|f82r|f88r	ZODIAC_OUTER_FIGURE:17|ZODIAC_INNER_FIGURE:13|LOWER_POOL_STATION_LABEL:3|UPPER_INGREDIENT_SLOT:3|BATH_OR_APPARATUS_STATION_LABEL:2|STAR_OR_RAY_STATION:2|OUTER_STAR_POSITION:2|SHARED_POOL_LABEL:1|CELESTIAL_SECTOR:1|ZODIAC_CENTRE:1|MIDDLE_INGREDIENT_SLOT:1|LOWER_INGREDIENT_SLOT:1	ZODIAC_OUTER_FIGURE	0.362	2.723	KEEP_LABEL_CLASSIFIER
OK	PLATZ AKTIVIEREN	36	36	BIOLOGICAL|PHARMA|ZODIAC	f67r2|f68r1|f70v|f75r|f82r|f88r	ZODIAC_OUTER_FIGURE:8|BATH_OR_APPARATUS_STATION_LABEL:7|STAR_OR_RAY_STATION:7|ZODIAC_INNER_FIGURE:4|CELESTIAL_SECTOR:3|OUTER_STAR_POSITION:2|LOWER_POOL_STATION_LABEL:1|PHASE_OR_CONDITION_SLOT:1|CENTRE_OR_FACE_SLOT:1|UPPER_INGREDIENT_SLOT:1|MIDDLE_INGREDIENT_SLOT:1	ZODIAC_OUTER_FIGURE	0.222	3.002	KEEP_LABEL_CLASSIFIER
AR	QUELL- ODER BEZUGSPLATZ	33	34	BIOLOGICAL|ZODIAC	f67r2|f68r1|f70v|f75r|f82r	ZODIAC_INNER_FIGURE:9|ZODIAC_OUTER_FIGURE:8|CELESTIAL_SECTOR:5|OUTER_STAR_POSITION:4|STAR_OR_RAY_STATION:3|BATH_OR_APPARATUS_STATION_LABEL:2|PHASE_OR_CONDITION_SLOT:2|LOWER_POOL_STATION_LABEL:1	ZODIAC_INNER_FIGURE	0.265	2.708	KEEP_LABEL_CLASSIFIER
OL	GLEICHE REIHE FORTSETZEN	31	32	BIOLOGICAL|PHARMA|ZODIAC	f67r2|f68r1|f70v|f75r|f81v|f82r|f83r|f88r	BATH_OR_APPARATUS_STATION_LABEL:7|STAR_OR_RAY_STATION:7|CHANNEL_OR_FIGURE_ASSEMBLY_LABEL:4|ZODIAC_INNER_FIGURE:4|OUTER_STAR_POSITION:2|ZODIAC_OUTER_FIGURE:2|LOWER_POOL_STATION_LABEL:1|SHARED_POOL_LABEL:1|CELESTIAL_SECTOR:1|ZODIAC_CENTRE:1|UPPER_INGREDIENT_SLOT:1|MIDDLE_INGREDIENT_SLOT:1	BATH_OR_APPARATUS_STATION_LABEL	0.219	3.147	KEEP_LABEL_CLASSIFIER
S	KLASSEN- ODER KONTEXTMARKER	31	32	BIOLOGICAL|PHARMA|ZODIAC	f67r2|f68r1|f70v|f75r|f82r|f83r|f88r	CELESTIAL_SECTOR:9|LOWER_POOL_STATION_LABEL:4|CHANNEL_OR_FIGURE_ASSEMBLY_LABEL:4|PHASE_OR_CONDITION_SLOT:4|STAR_OR_RAY_STATION:3|BATH_OR_APPARATUS_STATION_LABEL:2|OUTER_STAR_POSITION:2|ZODIAC_OUTER_FIGURE:1|UPPER_INGREDIENT_SLOT:1|MIDDLE_INGREDIENT_SLOT:1|LOWER_INGREDIENT_SLOT:1	CELESTIAL_SECTOR	0.281	3.085	KEEP_LABEL_CLASSIFIER
D_ADDR	UNTER- ODER TEILADRESSE	23	23	BIOLOGICAL|PHARMA|ZODIAC	f67r2|f68r1|f70v|f75r|f82r|f88r	STAR_OR_RAY_STATION:10|BATH_OR_APPARATUS_STATION_LABEL:3|CELESTIAL_SECTOR:2|OUTER_STAR_POSITION:2|LOWER_POOL_STATION_LABEL:1|PHASE_OR_CONDITION_SLOT:1|ZODIAC_OUTER_FIGURE:1|ZODIAC_INNER_FIGURE:1|UPPER_INGREDIENT_SLOT:1|LOWER_INGREDIENT_SLOT:1	STAR_OR_RAY_STATION	0.435	2.699	KEEP_LABEL_CLASSIFIER
K	WERT ZUORDNEN	23	23	BIOLOGICAL|PHARMA|ZODIAC	f67r2|f68r1|f70v|f81v|f82r|f88r	CELESTIAL_SECTOR:15|STAR_OR_RAY_STATION:2|ZODIAC_OUTER_FIGURE:2|SHARED_POOL_LABEL:1|BATH_OR_APPARATUS_STATION_LABEL:1|ZODIAC_INNER_FIGURE:1|LOWER_INGREDIENT_SLOT:1	CELESTIAL_SECTOR	0.652	1.802	KEEP_LABEL_CLASSIFIER
