subset_id	selected_cards	card_count	observed_or_analytic_cells	remaining_controlled_paraphrases	total_licensed_commands	rejected_commands	newly_licensed_vs_fiftieth	newly_licensed_beyond_25_free_approvals	paraphrases_shortened	utility_score	invented_surface_count
S000	NONE	0	87	17	104	40	25	0	0	75	0
S001	CHK	1	94	15	109	35	30	5	2	92	0
S002	CKHE	1	94	16	110	34	31	6	1	94	0
S003	CHK|CKHE	2	101	14	115	29	36	11	3	111	0
S004	CLOSE	1	93	15	108	36	29	4	2	89	0
S005	CHK|CLOSE	2	101	13	114	30	35	10	4	109	0
S006	CKHE|CLOSE	2	100	14	114	30	35	10	3	108	0
S007	CHK|CKHE|CLOSE	3	108	12	120	24	41	16	5	128	0
S008	E+CLOSE	1	93	16	109	35	30	5	1	91	0
S009	CHK|E+CLOSE	2	101	14	115	29	36	11	3	111	0
S010	CKHE|E+CLOSE	2	101	15	116	28	37	12	2	113	0
S011	CHK|CKHE|E+CLOSE	3	109	13	122	22	43	18	4	133	0
S012	CLOSE|E+CLOSE	2	99	14	113	31	34	9	3	105	0
S013	CHK|CLOSE|E+CLOSE	3	108	12	120	24	41	16	5	128	0
S014	CKHE|CLOSE|E+CLOSE	3	107	13	120	24	41	16	4	127	0
S015	CHK|CKHE|CLOSE|E+CLOSE	4	116	11	127	17	48	23	6	150	0
S016	E+Y	1	91	14	105	39	26	1	3	81	0
S017	CHK|E+Y	2	98	12	110	34	31	6	5	98	0
S018	CKHE|E+Y	2	99	13	112	32	33	8	4	103	0
S019	CHK|CKHE|E+Y	3	106	11	117	27	38	13	6	120	0
S020	CLOSE|E+Y	2	97	12	109	35	30	5	5	95	0
S021	CHK|CLOSE|E+Y	3	105	10	115	29	36	11	7	115	0
S022	CKHE|CLOSE|E+Y	3	105	11	116	28	37	12	6	117	0
S023	CHK|CKHE|CLOSE|E+Y	4	113	9	122	22	43	18	8	137	0
S024	E+CLOSE|E+Y	2	97	13	110	34	31	6	4	97	0
S025	CHK|E+CLOSE|E+Y	3	105	11	116	28	37	12	6	117	0
S026	CKHE|E+CLOSE|E+Y	3	106	12	118	26	39	14	5	122	0
S027	CHK|CKHE|E+CLOSE|E+Y	4	114	10	124	20	45	20	7	142	0
S028	CLOSE|E+CLOSE|E+Y	3	103	11	114	30	35	10	6	111	0
S029	CHK|CLOSE|E+CLOSE|E+Y	4	112	9	121	23	42	17	8	134	0
S030	CKHE|CLOSE|E+CLOSE|E+Y	4	112	10	122	22	43	18	7	136	0
S031	CHK|CKHE|CLOSE|E+CLOSE|E+Y	5	121	8	129	15	50	25	9	159	0
S032	EE+CLOSE	1	93	16	109	35	30	5	1	91	0
S033	CHK|EE+CLOSE	2	100	14	114	30	35	10	3	108	0
S034	CKHE|EE+CLOSE	2	101	15	116	28	37	12	2	113	0
S035	CHK|CKHE|EE+CLOSE	3	108	13	121	23	42	17	4	130	0
S036	CLOSE|EE+CLOSE	2	99	14	113	31	34	9	3	105	0
S037	CHK|CLOSE|EE+CLOSE	3	107	12	119	25	40	15	5	125	0
S038	CKHE|CLOSE|EE+CLOSE	3	107	13	120	24	41	16	4	127	0
S039	CHK|CKHE|CLOSE|EE+CLOSE	4	115	11	126	18	47	22	6	147	0
S040	E+CLOSE|EE+CLOSE	2	99	15	114	30	35	10	2	107	0
S041	CHK|E+CLOSE|EE+CLOSE	3	107	13	120	24	41	16	4	127	0
S042	CKHE|E+CLOSE|EE+CLOSE	3	108	14	122	22	43	18	3	132	0
S043	CHK|CKHE|E+CLOSE|EE+CLOSE	4	116	12	128	16	49	24	5	152	0
S044	CLOSE|E+CLOSE|EE+CLOSE	3	105	13	118	26	39	14	4	121	0
S045	CHK|CLOSE|E+CLOSE|EE+CLOSE	4	114	11	125	19	46	21	6	144	0
S046	CKHE|CLOSE|E+CLOSE|EE+CLOSE	4	114	12	126	18	47	22	5	146	0
S047	CHK|CKHE|CLOSE|E+CLOSE|EE+CLOSE	5	123	10	133	11	54	29	7	169	0
S048	E+Y|EE+CLOSE	2	97	13	110	34	31	6	4	97	0
S049	CHK|E+Y|EE+CLOSE	3	104	11	115	29	36	11	6	114	0
S050	CKHE|E+Y|EE+CLOSE	3	106	12	118	26	39	14	5	122	0
S051	CHK|CKHE|E+Y|EE+CLOSE	4	113	10	123	21	44	19	7	139	0
S052	CLOSE|E+Y|EE+CLOSE	3	103	11	114	30	35	10	6	111	0
S053	CHK|CLOSE|E+Y|EE+CLOSE	4	111	9	120	24	41	16	8	131	0
S054	CKHE|CLOSE|E+Y|EE+CLOSE	4	112	10	122	22	43	18	7	136	0
S055	CHK|CKHE|CLOSE|E+Y|EE+CLOSE	5	120	8	128	16	49	24	9	156	0
S056	E+CLOSE|E+Y|EE+CLOSE	3	103	12	115	29	36	11	5	113	0
S057	CHK|E+CLOSE|E+Y|EE+CLOSE	4	111	10	121	23	42	17	7	133	0
S058	CKHE|E+CLOSE|E+Y|EE+CLOSE	4	113	11	124	20	45	20	6	141	0
S059	CHK|CKHE|E+CLOSE|E+Y|EE+CLOSE	5	121	9	130	14	51	26	8	161	0
S060	CLOSE|E+CLOSE|E+Y|EE+CLOSE	4	109	10	119	25	40	15	7	127	0
S061	CHK|CLOSE|E+CLOSE|E+Y|EE+CLOSE	5	118	8	126	18	47	22	9	150	0
S062	CKHE|CLOSE|E+CLOSE|E+Y|EE+CLOSE	5	119	9	128	16	49	24	8	155	0
S063	CHK|CKHE|CLOSE|E+CLOSE|E+Y|EE+CLOSE	6	128	7	135	9	56	31	10	178	0
S064	SHED	1	93	14	107	37	28	3	3	87	0
S065	CHK|SHED	2	100	12	112	32	33	8	5	104	0
S066	CKHE|SHED	2	100	13	113	31	34	9	4	106	0
S067	CHK|CKHE|SHED	3	107	11	118	26	39	14	6	123	0
S068	CLOSE|SHED	2	100	12	112	32	33	8	5	104	0
S069	CHK|CLOSE|SHED	3	108	10	118	26	39	14	7	124	0
S070	CKHE|CLOSE|SHED	3	107	11	118	26	39	14	6	123	0
S071	CHK|CKHE|CLOSE|SHED	4	115	9	124	20	45	20	8	143	0
