cell_id	target_atom_sequence	intended_reading_de	four_card_branch	output_atom_sequence	output_surface_or_placeholder	surface_status	new_surface_claimed
B01E01	OK+Y	ansetzen am aktuellen Posten	OBSERVED_FUSED_CARD	OK+Y	oky	OBSERVED	NO
B01E02	OK+CLOSE	ansetzen und den Schritt schließen	CONTROLLED_PARAPHRASE	OK+E+CLOSE	qokedy	OBSERVED_COMPONENTS_WITH_DRIFT	NO
B01E03	OK+AIIN	ansetzen mit Sollwert	OBSERVED_FUSED_CARD	OK+AIIN	okaiin	OBSERVED	NO
B01E04	OK+AIN	ansetzen an einer Portion	OBSERVED_FUSED_CARD	OK+AIN	okain	OBSERVED	NO
B01E05	OK+IIN	ansetzen bis zur Stufe	OBSERVED_FUSED_CARD	OK+IIN	okaiiin	OBSERVED	NO
B01E06	OK+AL	ansetzen am Ziel	OBSERVED_FUSED_CARD	OK+AL	okal	OBSERVED	NO
B01E07	OK+AR	ansetzen aus der Quelle	OBSERVED_FUSED_CARD	OK+AR	okar	OBSERVED	NO
B01E08	OK+AIR	ansetzen entlang des Laufs	OBSERVED_FUSED_CARD	OK+AIR	okair	OBSERVED	NO
B01E09	OK+E+Y	ansetzen kurz am aktuellen Posten	OBSERVED_FUSED_CARD	OK+E+Y	okey	OBSERVED	NO
B01E10	OK+EE+Y	ansetzen länger am aktuellen Posten	OBSERVED_FUSED_CARD	OK+EE+Y	okeey	OBSERVED	NO
B01E11	OK+E+CLOSE	ansetzen kurz und dann schließen	OBSERVED_FUSED_CARD	OK+E+CLOSE	qokedy	OBSERVED	NO
B01E12	OK+EE+CLOSE	ansetzen länger und dann schließen	OBSERVED_FUSED_CARD	OK+EE+CLOSE	qokeedy	OBSERVED	NO
B02E01	OL+Y	fortsetzen am aktuellen Posten	OBSERVED_FUSED_CARD	OL+Y	qolchey	OBSERVED	NO
B02E02	OL+CLOSE	fortsetzen und den Schritt schließen	OBSERVED_FUSED_CARD	OL+CLOSE	oldy	OBSERVED	NO
B02E03	OL+AIIN	fortsetzen mit Sollwert	ANALYTIC_TWO_CARD_FORM	OL | AIIN	ol aiin	OBSERVED_COMPONENTS	NO
B02E04	OL+AIN	fortsetzen an einer Portion	OBSERVED_FUSED_CARD	OL+AIN	olkain	OBSERVED	NO
B02E05	OL+IIN	fortsetzen bis zur Stufe	ANALYTIC_TWO_CARD_FORM	OL | IIN	ol oiin	OBSERVED_COMPONENTS	NO
B02E06	OL+AL	fortsetzen am Ziel	ANALYTIC_TWO_CARD_FORM	OL | AL	ol al	OBSERVED_COMPONENTS	NO
B02E07	OL+AR	fortsetzen aus der Quelle	OBSERVED_FUSED_CARD	OL+AR	olar	OBSERVED	NO
B02E08	OL+AIR	fortsetzen entlang des Laufs	ANALYTIC_TWO_CARD_FORM	OL | AIR	ol air	OBSERVED_COMPONENTS	NO
B02E09	OL+E+Y	fortsetzen kurz am aktuellen Posten	CONTROLLED_PARAPHRASE	OL | OK+E+Y	ol okey	OBSERVED_COMPONENTS_WITH_DRIFT	NO
B02E10	OL+EE+Y	fortsetzen länger am aktuellen Posten	ANALYTIC_TWO_CARD_FORM	OL | EE+Y	ol oeesy	OBSERVED_COMPONENTS	NO
B02E11	OL+E+CLOSE	fortsetzen kurz und dann schließen	ANALYTIC_TWO_CARD_FORM	OL | E+CLOSE	ol <E+CLOSE_MASTER_CARD>	HYPOTHETICAL_MASTER_CATEGORY	NO
B02E12	OL+EE+CLOSE	fortsetzen länger und dann schließen	ANALYTIC_TWO_CARD_FORM	OL | EE+CLOSE	ol <EE+CLOSE_MASTER_CARD>	HYPOTHETICAL_MASTER_CATEGORY	NO
B03E01	OT+Y	zum folgenden Posten gehen am aktuellen Posten	OBSERVED_FUSED_CARD	OT+Y	otchey	OBSERVED	NO
B03E02	OT+CLOSE	zum folgenden Posten gehen und den Schritt schließen	CONTROLLED_PARAPHRASE	OT+Y | OK+E+CLOSE	otchey qokedy	OBSERVED_COMPONENTS_WITH_DRIFT	NO
B03E03	OT+AIIN	zum folgenden Posten gehen mit Sollwert	OBSERVED_FUSED_CARD	OT+AIIN	otaiin	OBSERVED	NO
B03E04	OT+AIN	zum folgenden Posten gehen an einer Portion	ANALYTIC_TWO_CARD_FORM	OT | AIN	ot ain	OBSERVED_COMPONENTS	NO
