root_id	recognition_form	atomic_meaning_de	content_occurrences	content_pages	material_expansion_de	station_expansion_de	celestial_expansion_de	sample_event_readings_de	revision_status
R-Y	Y	POSTEN	696	f10r|f11r|f13r|f55v|f56r|f75r|f81v|f82r|f83r|f67r2|f68r1|f69v|f70v|f88r	dieser Pflanzen-/Drogenposten	dieser Stationsposten	dieser Himmels-/Ringposten	EINSETZEN · ENTNEHMEN · AUSFÜHREN · BEREIT · POSTEN|AUSFÜHREN · BEREIT · AUSFÜHREN · TEIL · POSTEN|ENTNEHMEN · ANSATZ · ENTNEHMEN · POSTEN|POSTEN · EINSETZEN · ENTNEHMEN|Wurzel|ENTNEHMEN · EINSTELLEN · POSTEN	KEEP
R-OK	OK	SETZEN	165	f11r|f13r|f55v|f56r|f75r|f81v|f82r|f83r|f67r2|f68r1|f69v|f70v|f88r	im Ansatz ansetzen	an der Station ansetzen	Posten aktivieren	POSTEN · EINSTELLEN · ANSETZEN · POSTEN|ANSETZEN · ENTNEHMEN · ANSATZ|ANSETZEN · ENTNEHMEN · ZIELSTELLE|ANSETZEN · ANSATZ · ANSATZ · POSTEN|ANSETZEN · KURZ · AUSFÜHREN · TEIL · POSTEN|ANSETZEN · VOLL · POSTEN	KEEP
R-E	E	KURZ	314	f10r|f55v|f56r|f75r|f81v|f82r|f83r|f67r2|f68r1|f69v|f70v|f88r	kurz einwirken lassen	kurz halten	erster Grad	Wurzel|Wurzelrest|AUSFÜHREN · KURZ · TEIL · PORTION|ANSETZEN · KURZ · AUSFÜHREN · TEIL · POSTEN|BEHANDELN · KURZ · POSTEN|HALTEN · KURZ · ANSETZEN · KURZ · POSTEN	KEEP
R-DY	DY	SCHLUSS	177	f10r|f11r|f13r|f55v|f56r|f75r|f81v|f82r|f83r|f67r2|f68r1|f69v|f70v|f88r	Teilansatz abschließen	Stationszelle schließen	Eintrag schließen	AUSFÜHREN · SCHLUSS|kalt stellen|Den ersten Ansatz weiter auspressen und den Teilgang schließen.|ZIELSTELLE · SCHLUSS|TEIL · AUSFÜHREN · SCHLUSS · RAND|kühlen	KEEP
R-O	O	AUSFÜHREN	321	f10r|f11r|f13r|f55v|f56r|f75r|f81v|f82r|f83r|f67r2|f68r1|f69v|f70v|f88r	den Arbeitsschritt ausführen	Stationshandlung ausführen	eingetragene Operation ausführen	EINSETZEN · ENTNEHMEN · AUSFÜHREN · BEREIT · POSTEN|AUSFÜHREN · BEREIT · AUSFÜHREN · TEIL · POSTEN|EINSETZEN · ENTNEHMEN · AUSFÜHREN · TEIL · FORTSETZEN|ENTNEHMEN · AUSFÜHREN · EINSETZEN · ENTNEHMEN · ZIELSTELLE|ZUGEBEN · AUSFÜHREN · MITTE|BEREIT · AUSFÜHREN · ANSATZ	KEEP
R-OL	OL	FORTSETZEN	278	f10r|f11r|f13r|f55v|f56r|f75r|f81v|f82r|f83r|f67r2|f68r1|f69v|f70v|f88r	denselben Ansatz fortführen	im selben Lauf fortfahren	in derselben Reihe fortfahren	EINSETZEN · ENTNEHMEN · AUSFÜHREN · TEIL · FORTSETZEN|auffangen|FORTSETZEN|anwärmen|pressen|DANACH · FORTSETZEN	KEEP
R-EE	EE	LÄNGER	158	f55v|f56r|f75r|f81v|f82r|f83r|f67r2|f68r1|f69v|f70v|f88r	länger halten oder ziehen lassen	länger halten	zweiter/längerer Grad	ZUGEBEN · ENTNEHMEN · LÄNGER · TEIL · UMSETZEN · POSTEN|POSTEN · EINSTELLEN · LÄNGER · POSTEN|POSTEN · ZUGEBEN · LÄNGER · AUSWÄHLEN · ZUSATZ|ZUGEBEN · LÄNGER · POSTEN · NEBENWEG · VORRAT|BEHANDELN · LÄNGER · POSTEN|FORTSETZEN · ZUGEBEN · LÄNGER · ENTNEHMEN · POSTEN	KEEP
R-OT	OT	DANACH	156	f10r|f11r|f13r|f55v|f56r|f75r|f81v|f82r|f83r|f67r2|f68r1|f69v|f70v|f88r	den nächsten Teilgang nehmen	zur nächsten Station	nächster Platz	auffangen|anwärmen|DANACH · ENTNEHMEN · ANSATZ|DANACH · FORTSETZEN|AUSFÜHREN · DANACH · ANSATZ|DANACH · ENTNEHMEN · AUSFÜHREN · HALTEN · ANSATZ	KEEP
R-AL	AL	ZIEL	182	f10r|f11r|f13r|f55v|f56r|f75r|f81v|f82r|f83r|f67r2|f68r1|f69v|f70v|f88r	in das Zielgefäß oder an die Gebrauchsstelle	zur Ziel-/Aufnahmestelle	Zielplatz	ENTNEHMEN · AUSFÜHREN · EINSETZEN · ENTNEHMEN · ZIELSTELLE|Weinsud|POSTEN · ZIELSTELLE|ANSETZEN · ENTNEHMEN · ZIELSTELLE|ZIELSTELLE · SCHLUSS|ZIELSTELLE	KEEP
R-CH	CH	NEHMEN	212	f10r|f11r|f13r|f55v|f56r|f75r|f81v|f82r|f83r|f67r2|f68r1|f69v|f70v|f88r	vom bezeichneten Pflanzenteil entnehmen	aus Becken oder Vorrat entnehmen	Eintrag entnehmen/wählen	EINSETZEN · ENTNEHMEN · AUSFÜHREN · BEREIT · POSTEN|ENTNEHMEN · ANSATZ · ENTNEHMEN · POSTEN|EINSETZEN · ENTNEHMEN · AUSFÜHREN · TEIL · FORTSETZEN|ENTNEHMEN · AUSFÜHREN · EINSETZEN · ENTNEHMEN · ZIELSTELLE|POSTEN · EINSETZEN · ENTNEHMEN|Wurzel	KEEP
