surface	sal_string_class	reader_exact_occurrences	page_labels	loci	sample_loci	outer_remainder	outer_remainder_reader_exact_occurrences	clean_outer_remainder_recurrent	contains_f88r_target	surface_meaning_assigned_from_sal	sal_core_status	confirmed_component	component_export_credit
chorcholsal	SUFFIX_CORE	1	1	1	f88r.22	chorchol	0	0	1	0	C0_STRING_ECHO_ONLY	0	0
chosals	INTERNAL_STRING	1	1	1	f88r.20	NONE	0	0	0	0	C0_STRING_ECHO_ONLY	0	0
chsaly	INTERNAL_STRING	1	1	1	f103v.42	NONE	0	0	0	0	C0_STRING_ECHO_ONLY	0	0
eeesal	SUFFIX_CORE	1	1	1	f80r.25	eee	0	0	0	0	C0_STRING_ECHO_ONLY	0	0
oesal	SUFFIX_CORE	1	1	1	f105r.8	oe	0	0	0	0	C0_STRING_ECHO_ONLY	0	0
olsaly	INTERNAL_STRING	1	1	1	f83r.24	NONE	0	0	0	0	C0_STRING_ECHO_ONLY	0	0
oolsal	SUFFIX_CORE	1	1	1	f99r.49	ool	0	0	0	0	C0_STRING_ECHO_ONLY	0	0
osal	SUFFIX_CORE	2	2	2	f58r.22|f78r.37	o	33	1	0	0	C0_STRING_ECHO_ONLY	0	0
posalshy	INTERNAL_STRING	1	1	1	f82r.20	NONE	0	0	0	0	C0_STRING_ECHO_ONLY	0	0
sal	STANDALONE	33	26	33	f2r.12|f15r.4|f41r.5|f47v.1|f47v.8|f52v.11|f75r.9|f75r.47|f75v.17|f76r.11|f76r.50|f76r.51|f77r.10|f77r.47|f77v.10|f78v.30|f79r.12|f80r.22|f80r.48|f81v.24|f82r.24|f86v5.11|f87v.12|f89v1.17|f93r.11|f100v.18|f102v2.34|f103r.2|f103v.12|f103v.29|f108v.27|f111r.3|f112r.29	NONE	0	0	0	0	C0_STRING_ECHO_ONLY	0	0
salal	PREFIX_CORE	1	1	1	f58v.9	al	167	1	0	0	C1_FORMAL_LEFT_CORE_ONLY	0	0
salar	PREFIX_CORE	1	1	1	f106v.17	ar	242	1	0	0	C1_FORMAL_LEFT_CORE_ONLY	0	0
saldal	PREFIX_CORE	1	1	1	f87r.11	dal	147	1	0	0	C1_FORMAL_LEFT_CORE_ONLY	0	0
saldam	PREFIX_CORE	1	1	1	f89r1.25	dam	37	1	0	0	C1_FORMAL_LEFT_CORE_ONLY	0	0
saldy	PREFIX_CORE	1	1	1	f75r.52	dy	149	1	0	0	C1_FORMAL_LEFT_CORE_ONLY	0	0
salf	PREFIX_CORE	1	1	1	f66r.7	f	4	1	0	0	C1_FORMAL_LEFT_CORE_ONLY	0	0
salkeedy	PREFIX_CORE	1	1	1	f111r.29	keedy	22	1	0	0	C1_FORMAL_LEFT_CORE_ONLY	0	0
salo	PREFIX_CORE	2	2	2	f99r.5|f116r.23	o	33	1	0	0	C1_FORMAL_LEFT_CORE_ONLY	0	0
salol	PREFIX_CORE	1	1	1	f58r.39	ol	376	1	0	0	C1_FORMAL_LEFT_CORE_ONLY	0	0
salshcthdy	PREFIX_CORE	1	1	1	f81v.15	shcthdy	1	0	0	0	C0_STRING_ECHO_ONLY	0	0
saltar	PREFIX_CORE	1	1	1	f80r.16	tar	33	1	0	0	C1_FORMAL_LEFT_CORE_ONLY	0	0
saly	PREFIX_CORE	2	2	2	f80v.7|f116r.3	y	84	1	0	0	C1_FORMAL_LEFT_CORE_ONLY	0	0
ytasal	SUFFIX_CORE	1	1	1	f95v2.7	yta	0	0	0	0	C0_STRING_ECHO_ONLY	0	0
