occurrence_id	page	physical_folio	locus	section	language	hand	sal_ordinal	line_token_count	line_position	normalized_position	paragraph_start_line	paragraph_end_line	sal_at_true_paragraph_start	sal_at_true_paragraph_end	written_line_eva	l2_surface	l2_reader_exact	l2_axes	l1_surface	l1_reader_exact	l1_axes	r1_surface	r1_reader_exact	r1_axes	r2_surface	r2_reader_exact	r2_axes	fixed_working_default_de	contextual_focus_render_de	syntax_dispatch	role_confidence	identity_confidence	reader_exact_sal	default_is_translation	confirmed_lexeme	confirmed_plaintext	component_export_credit
G785-O001	f2r	f2	f2r.12	H	A	1	11	11	LAST	1.000000	0	0	0	0	okol chy chor cthor yor an chan saiin chety chyky sal	chety	1	COLD|DRY	chyky	1	BEGIN_STAGE|DRY|HOT|VALUE	EDGE	0	EDGE	EDGE	0	EDGE	Droge	Droge	GLOBAL_NOUN	C1_WORKING_ROLE	C0_REPLACEABLE_DISPLAY	1	0	0	0	0
G785-O002	f15r	f15	f15r.4	H	A	1	6	6	LAST	1.000000	0	0	0	0	scheaiin chodaiin chl sol ckhaiin sal	sol	1	MATERIAL	ckhaiin	1	OPEN	EDGE	0	EDGE	EDGE	0	EDGE	Droge	Droge	GLOBAL_NOUN	C1_WORKING_ROLE	C0_REPLACEABLE_DISPLAY	1	0	0	0	0
G785-O003	f41r	f41	f41r.5	H	B	5	2	8	MIDDLE	0.142857	0	1	0	0	qotchy sal yteedy kchdy dchedy keedy dchedy dalain	EDGE	0	EDGE	qotchy	1	BEGIN_STAGE|COLD|DRY|VALUE	yteedy	1	END_STAGE	kchdy	0	BEGIN_STAGE|CLOSE|DRY|END_STAGE|HOT|VALUE	Droge	Droge	GLOBAL_NOUN	C1_WORKING_ROLE	C0_REPLACEABLE_DISPLAY	1	0	0	0	0
G785-O004	f47v	f47	f47v.1	H	A	1	5	6	MIDDLE	0.800000	1	0	0	0	psheot cheor cholsho chopchy sal sary	cholsho	1	OPEN	chopchy	1	OPEN	sary	1	PART	EDGE	0	EDGE	Droge	Droge	GLOBAL_NOUN	C1_WORKING_ROLE	C0_REPLACEABLE_DISPLAY	1	0	0	0	0
G785-O005	f47v	f47	f47v.8	H	A	1	4	4	LAST	1.000000	0	0	0	0	daiin cheotar chodaly sal	cheotar	1	OPEN	chodaly	1	OPEN	EDGE	0	EDGE	EDGE	0	EDGE	Droge	Droge	GLOBAL_NOUN	C1_WORKING_ROLE	C0_REPLACEABLE_DISPLAY	1	0	0	0	0
G785-O006	f52v	f52	f52v.11	H	A	1	5	5	LAST	1.000000	0	0	0	0	daiin shor qodaiin ckhey sal	qodaiin	1	LEVEL_III|VALUE	ckhey	1	MIDDLE_STAGE|PREPARATION|VALUE	EDGE	0	EDGE	EDGE	0	EDGE	Droge	Droge	GLOBAL_NOUN	C1_WORKING_ROLE	C0_REPLACEABLE_DISPLAY	1	0	0	0	0
G785-O007	f75r	f75	f75r.9	B	B	2	9	9	LAST	1.000000	0	0	0	0	qokchdy chcthy lo qokedy qokan checkhy qokar olchedy sal	qokar	1	HOT|MATERIAL|PART	olchedy	1	CLOSE|DRY|END_STAGE|MATERIAL|PREPARATION	EDGE	0	EDGE	EDGE	0	EDGE	Droge	Droge	GLOBAL_NOUN	C1_WORKING_ROLE	C0_REPLACEABLE_DISPLAY	1	0	0	0	0
G785-O008	f75r	f75	f75r.47	B	B	2	1	2	FIRST	0.000000	1	0	1	0	sal okeedy	EDGE	0	EDGE	EDGE	0	EDGE	okeedy	0	CLOSE|END_STAGE|HOT|PREPARATION|VALUE	EDGE	0	EDGE	Droge	Droge	GLOBAL_NOUN	C1_WORKING_ROLE	C0_REPLACEABLE_DISPLAY	1	0	0	0	0
G785-O009	f75v	f75	f75v.17	B	B	2	1	9	FIRST	0.000000	0	1	0	0	sal shed ykain qokain sheckhy ld saiin ckhy lshedy	EDGE	0	EDGE	EDGE	0	EDGE	shed	0	MIDDLE_STAGE|MOIST|PROCESS|VALUE	ykain	0	HOT|LEVEL_II|PROCESS|VALUE	Droge	Droge	GLOBAL_NOUN	C1_WORKING_ROLE	C0_REPLACEABLE_DISPLAY	1	0	0	0	0
G785-O010	f76r	f76	f76r.11	T	B	2	11	12	MIDDLE	0.909091	0	0	0	0	qotedshedy qorain oteedy chedy ol chdy raiiin chekain dain chckhy sal oty	dain	1	AMOUNT|LEVEL_II|VALUE	chckhy	1	BEGIN_STAGE|DRY|PREPARATION|VALUE	oty	1	BEGIN_STAGE|COLD|PREPARATION|VALUE	EDGE	0	EDGE	Droge	Droge	GLOBAL_NOUN	C1_WORKING_ROLE	C0_REPLACEABLE_DISPLAY	1	0	0	0	0
