passage_id	locus	sal_ordinal	focus_span_eva	focus_render_de	full_exploratory_render_de	reason_selected	page	physical_folio	written_line_eva	fixed_sal_default_de	render_status	inherited_non_sal_cards_reopened	default_is_translation	confirmed_lexeme	confirmed_plaintext	component_export_credit
G785-P01	f75r.47	1	sal okeedy	Droge; vollständig erhitzter und abgeschlossener Ansatz	Droge | vollständig erhitzter und abgeschlossener Ansatz	minimaler Zweierbeleg	f75r	f75	sal okeedy	Droge	WORKING_DISPLAY_NOT_PLAINTEXT	0	0	0	0	0
G785-P02	f41r.5	2	qotchy sal yteedy	kalt-trockene Droge; anschließend bis zum Abschluss	kalt-trocken | Droge | bis zum Abschluss | kchdy? | fertiges Trockengut | vollständig erhitzt | fertiges Trockengut | Materialstufe I	medialer Stoffkopf zwischen Zustandsfeldern	f41r	f41	qotchy sal yteedy kchdy dchedy keedy dchedy dalain	Droge	WORKING_DISPLAY_NOT_PLAINTEXT	0	0	0	0	0
G785-P03	f52v.11	5	shor qodaiin ckhey sal	Droge beim nichtblättrigen Pflanzenteil; Stufe III; Kompositum der Mittelstufe	Wert II | nichtblättriger Pflanzenteil | Stufe III | Kompositum der Mittelstufe | Droge	Pflanzenteil und Kompositum	f52v	f52	daiin shor qodaiin ckhey sal	Droge	WORKING_DISPLAY_NOT_PLAINTEXT	0	0	0	0	0
G785-P04	f76r.51	5	keedy sal raiin	vollständig erhitzte Droge; H3-Stufe III	qkor? | feucht abgeschlossen | erneut feucht | vollständig erhitzt | Droge | H3-Stufe III | fertiges Trockenpräparat | Fraktion I | trocken abgeschlossen | Trockenresultat Form I | rorol?	wiederholtes sal-raiin 1	f76r	f76	qkor shedy shey keedy sal raiin opchdy dar chedy qopchedy rorol	Droge	WORKING_DISPLAY_NOT_PLAINTEXT	0	0	0	0	0
G785-P05	f78v.30	1	sal shol	feuchte Droge	feuchte Droge | Skalarstufe II | feucht bis Abschluss | Portion | Form IV | Rohstoff I warm | kalt geführt | heiße Fraktion I | Fraktion I abgeschlossen	wiederholtes sal-shol 1	f78v	f78	sal shol sain sheety or oiiin okal oltal qokar ary	Droge	WORKING_DISPLAY_NOT_PLAINTEXT	0	0	0	0	0
G785-P06	f82r.24	4	sal raiin	Droge; H3-Stufe III	vollständig erhitzt und abgeschlossen | H4-Trockenresultat II | Ansatz bis zur Mittelstufe erhitzt | Droge | H3-Stufe III | vollständig erhitzt | H4-Heizendstufe | vollständig erhitzt | H3-Stufe III | Wertfeldende	wiederholtes sal-raiin 2	f82r	f82	qokeedy lcheedy qokeoy sal raiin qokeey lkeey qokeey raiin ydy	Droge	WORKING_DISPLAY_NOT_PLAINTEXT	0	0	0	0	0
G785-P07	f87v.12	7	cheol sal dain	trockene Droge; Wert II	ytcheoqo? | Trockenansatz-Charge | ckheos? | cheoy? | Gleichteilefeld | trockene Droge | Wert II	trockener Stoff plus Wert	f87v	f87	ytcheoqo chos ckheos cheoy s cheol sal dain	Droge	WORKING_DISPLAY_NOT_PLAINTEXT	0	0	0	0	0
G785-P08	f89v1.17	1	sal shol	feuchte Droge	feuchte Droge | erhitzen | Fraktion I | sholckhy? | dolchey? | dalshdy? | Grundansatz bis zur mittleren Heizstufe | dalchy?	wiederholtes sal-shol 2	f89v1	f89	sal shol ykol daram sholckhy dolchey dalshdy okeol dalchy	Droge	WORKING_DISPLAY_NOT_PLAINTEXT	0	0	0	0	0
G785-P09	f93r.11	7	sheo al sal	Feuchtzubereitung; Material I; Droge	Grundansatz mittlere Heizstufe | mittlere Kühlstufe | Gleichteilefeld | ein Maß Ansatz | Feuchtzubereitung | Material I | Droge	Materialfolge	f93r	f93	okeol oteol s odam sheo al sal	Droge	WORKING_DISPLAY_NOT_PLAINTEXT	0	0	0	0	0
G785-P10	f100v.18	11	qokeol sal	Droge bis zur mittleren Heizstufe erhitzen	tachso? | Gleichteilefeld | Ansatz | trocken | trockenes Teilgut | odaidy? | ckhod? | einweichen | Trockenansatz abschließen | Droge bis zur mittleren Heizstufe erhitzen	line-finaler Patient eines Heizfelds	f100v	f100	tachso s ol cheo cheeor odaidy ckhod sh chod qokeol sal	Droge	WORKING_DISPLAY_NOT_PLAINTEXT	0	0	0	0	0
G785-P11	f102v2.34	8	okey sal	bis zur Mittelstufe erhitzte Droge	sorshey? | okeeor? | feuchtes Kompositum Mittelstufe | qokeos? | heißer Ansatz aus Trockengut | Krautdroge-Portion | bis zur Mittelstufe erhitzte Droge	line-finaler erhitzter Stoff	f102v2	f102	sorshey okeeor sheockhey qokeos okchol ctheor okey sal	Droge	WORKING_DISPLAY_NOT_PLAINTEXT	0	0	0	0	0
G785-P12	f103v.29	6	sal araiin	drei Anteile Droge	olcheeey? | trocken bis Mittelstufe | lkchdy? | Feuchtansatz | trockenes CTH-/Pflanzenmaterial | drei Anteile Droge | vollständig erhitzt	gebundener Mengenrival	f103v	f103	olcheeey chey lkchdy sho chcthy sal araiin qokeey	Droge	WORKING_DISPLAY_NOT_PLAINTEXT	0	0	0	0	0
