diagnostic_id	metric	value	interpretation_de	selects_specific_substance	eva_letter_credit	component_export_credit
G785-D01	LEFT_DIRECT_MOIST	0	no evidence that sal follows a moist-state operator	0	0	0
G785-D02	RIGHT_DIRECT_MOIST	4	nominal head before a moist field remains viable	0	0	0
G785-D03	LEFT_DIRECT_DRY	0	sal is not selected as a dry follower	0	0	0
G785-D04	RIGHT_DIRECT_DRY	0	sal itself is not identified as a dry-state word	0	0	0
G785-D05	SAME_LINE_MOIST	11	moist ecology present	0	0	0
G785-D06	SAME_LINE_DRY	10	dry ecology equally present	0	0	0
G785-D07	GDT759_QUANTITY_PAIRS_TOTAL	96	control capacity	0	0	0
G785-D08	GDT759_QUANTITY_PAIRS_WITH_SAL	0	amount/unit role weakened	0	0	0
G785-D09	EXACT_SAL_BARE_AIN_FAMILY	0	amount/unit role weakened	0	0	0
G785-D10	EXACT_SAL_RAIIN	2	nominal item plus H3 value-stage field	0	0	0
G785-D11	GDT760_DIRECT_AMOUNT_CONTACTS	1	one sal araiin contact supports an item receiving three parts, not a unit	0	0	0
G785-D12	RAW_S_AL_SPLIT_CANDIDATES	5	boundary dissent retained	0	0	0
G785-D13	EXACT_S_AL_SPLIT_CANDIDATES	0	complete sal whole preserved	0	0	0
