frame_id	direction	written_pair_eva	reader_exact_pair_occurrences	page_labels	physical_folios	loci	repeated_frame	working_relation_de	target_default_used_to_select_frame	confirmed_plaintext	component_export_credit
G785-F001	LEFT_TO_SAL	al sal	1	1	1	f93r.11	0	einmaliger Direktkontakt	0	0	0
G785-F002	LEFT_TO_SAL	chckhy sal	1	1	1	f76r.11	0	einmaliger Direktkontakt	0	0	0
G785-F003	LEFT_TO_SAL	chcthy sal	1	1	1	f103v.29	0	einmaliger Direktkontakt	0	0	0
G785-F004	LEFT_TO_SAL	checkhy sal	1	1	1	f77v.10	0	einmaliger Direktkontakt	0	0	0
G785-F005	LEFT_TO_SAL	cheokedy sal	1	1	1	f111r.3	0	einmaliger Direktkontakt	0	0	0
G785-F006	LEFT_TO_SAL	chetey sal	1	1	1	f77r.10	0	einmaliger Direktkontakt	0	0	0
G785-F007	LEFT_TO_SAL	chodaly sal	1	1	1	f47v.8	0	einmaliger Direktkontakt	0	0	0
G785-F008	LEFT_TO_SAL	chokeey sal	1	1	1	f112r.29	0	einmaliger Direktkontakt	0	0	0
G785-F009	LEFT_TO_SAL	chopchy sal	1	1	1	f47v.1	0	einmaliger Direktkontakt	0	0	0
G785-F010	LEFT_TO_SAL	chyky sal	1	1	1	f2r.12	0	einmaliger Direktkontakt	0	0	0
G785-F011	LEFT_TO_SAL	ckhaiin sal	1	1	1	f15r.4	0	einmaliger Direktkontakt	0	0	0
G785-F012	LEFT_TO_SAL	ckhey sal	1	1	1	f52v.11	0	einmaliger Direktkontakt	0	0	0
G785-F013	LEFT_TO_SAL	keedy sal	1	1	1	f76r.51	0	einmaliger Direktkontakt	0	0	0
G785-F014	LEFT_TO_SAL	octhey sal	1	1	1	f86v5.11	0	einmaliger Direktkontakt	0	0	0
G785-F015	LEFT_TO_SAL	okey sal	1	1	1	f102v2.34	0	einmaliger Direktkontakt	0	0	0
G785-F016	LEFT_TO_SAL	olchedy sal	1	1	1	f75r.9	0	einmaliger Direktkontakt	0	0	0
G785-F017	LEFT_TO_SAL	otchy sal	1	1	1	f103r.2	0	einmaliger Direktkontakt	0	0	0
G785-F018	LEFT_TO_SAL	qokeol sal	1	1	1	f100v.18	0	einmaliger Direktkontakt	0	0	0
G785-F019	LEFT_TO_SAL	qotaiin sal	1	1	1	f79r.12	0	einmaliger Direktkontakt	0	0	0
G785-F020	LEFT_TO_SAL	qotchy sal	1	1	1	f41r.5	0	einmaliger Direktkontakt	0	0	0
G785-F021	SAL_TO_RIGHT	sal araiin	1	1	1	f103v.29	0	einmaliger Direktkontakt	0	0	0
G785-F022	SAL_TO_RIGHT	sal dain	1	1	1	f87v.12	0	einmaliger Direktkontakt	0	0	0
G785-F023	SAL_TO_RIGHT	sal dalo	1	1	1	f77r.47	0	einmaliger Direktkontakt	0	0	0
G785-F024	SAL_TO_RIGHT	sal dol	1	1	1	f76r.50	0	einmaliger Direktkontakt	0	0	0
G785-F025	SAL_TO_RIGHT	sal kaiin	1	1	1	f86v5.11	0	einmaliger Direktkontakt	0	0	0
G785-F026	SAL_TO_RIGHT	sal lcheal	1	1	1	f108v.27	0	einmaliger Direktkontakt	0	0	0
G785-F027	SAL_TO_RIGHT	sal lkeey	1	1	1	f103r.2	0	einmaliger Direktkontakt	0	0	0
G785-F028	SAL_TO_RIGHT	sal lokam	1	1	1	f111r.3	0	einmaliger Direktkontakt	0	0	0
G785-F029	SAL_TO_RIGHT	sal okaiin	1	1	1	f112r.29	0	einmaliger Direktkontakt	0	0	0
G785-F030	SAL_TO_RIGHT	sal olkain	1	1	1	f80r.22	0	einmaliger Direktkontakt	0	0	0
G785-F031	SAL_TO_RIGHT	sal oty	1	1	1	f76r.11	0	einmaliger Direktkontakt	0	0	0
G785-F032	SAL_TO_RIGHT	sal raiin	2	2	2	f76r.51|f82r.24	1	Droge mit rechtem H3-Stufe-III-Feld	0	0	0
G785-F033	SAL_TO_RIGHT	sal sary	1	1	1	f47v.1	0	einmaliger Direktkontakt	0	0	0
G785-F034	SAL_TO_RIGHT	sal shedy	1	1	1	f77v.10	0	einmaliger Direktkontakt	0	0	0
G785-F035	SAL_TO_RIGHT	sal shol	2	2	2	f78v.30|f89v1.17	1	Droge mit rechtem Feuchtfeld	0	0	0
G785-F036	SAL_TO_RIGHT	sal shy	1	1	1	f80r.48	0	einmaliger Direktkontakt	0	0	0
G785-F037	SAL_TO_RIGHT	sal teol	1	1	1	f81v.24	0	einmaliger Direktkontakt	0	0	0
G785-F038	SAL_TO_RIGHT	sal yteedy	1	1	1	f41r.5	0	einmaliger Direktkontakt	0	0	0
