root	standalone_exact_occurrences	all_superform_types	all_superform_occurrences	clean_prefix_types	clean_prefix_occurrences	clean_suffix_types	clean_suffix_occurrences	clean_prefix_surfaces	clean_suffix_surfaces	rank_superform_types	rank_superform_occurrences	rank_clean_prefix_types	rank_clean_prefix_occurrences	rank_clean_suffix_types	rank_clean_suffix_occurrences	score_is_probability	semantic_credit	component_export_credit
air	44	114	298	8	11	35	199	airal|airaldy|airod|airody|airol|airols|airoy|airy	alair|chdair|chodair|chotair|dair|kair|lair|oair|odair|okair|orair|otair|oteolair|pair|parair|porair|qoair|qodair|qokair|qokeedair|qokeodair|qolair|qotair|rair|sair|shair|shdair|shekair|tair|tarair|tolair|tshodair|yair|ydair|ykair	3	4	6	7	2	3	0	0	0
cho	45	474	1768	139	1049	19	58	choaiin|choar|chochar|chochor|chochs|chochy|chockhar|chockhey|chockhol|chockhy|chocphol|chocphy|chocthey|chocthody|chocthy|chod|chodaiin|chodain|chodair|chodal|chodaly|chodam|chodar|choddy|chodol|chodoldy|chody|chodykchy|chofchdy|chok|chokaiin|chokain|chokal|chokan|chokar|chokchaiin|chokcheey|chokcheo|chokchey|chokcho|chokchol|chokchor|chokchy|chokedy|chokeedy|chokeeey|chokeeody|chokeey|chokeody|chokeol|chokeor|chokey|chokody|chokol|chokoldy|chokor|chokshor|chokshy|choky|chol|cholaiin|cholal|cholchey|choldaiin|choldar|choldy|cholfchy|cholkaiin|cholkain|cholkal|cholkar|cholkeedy|cholkeeey|cholkeey|cholkshedy|cholky|cholo|cholody|cholol|chololy|cholor|chols|cholsho|choly|chom|chon|choolkeey|choor|chop|chopar|chopchdy|chopchedy|chopchey|chopcho|chopchol|chopol|chor|choraiin|chorain|choraly|chorar|chorchy|choro|chorody|choroiin|chorol|choror|chory|chos|chosaiin|choschy|choshy|chosy|chot|chotaiin|chotain|chotair|chotal|chotam|chotar|chotchdy|chotcheey|chotcheol|chotchey|chotcho|chotchody|chotchol|chotchy|chotedy|choteey|choteol|chotey|chotody|chotol|chotor|chotshol|chotshy|choty|choy	chokcho|chotcho|dcho|fcho|kcho|lcho|okcho|olcho|otcho|pcho|qocho|qokcho|qotcho|scho|shocho|shotcho|tcho|ycho|ykcho	1	1	1	1	4	6	0	0	0
dam	37	35	50	0	0	17	22	NONE	aldam|cheodam|chodam|cthodam|dadam|dalaldam|odam|oldam|oteeodam|rodam|saldam|shedam|sheoldam|shodam|tdam|ykeeodam|ykoldam	9	9	12	12	5	9	0	0	0
kar	42	56	378	6	8	25	326	karaim|karal|karar|karchy|kard|kary	alkar|chalkar|chedykar|chokar|cholkar|chykar|dalkar|dkar|kolkar|lkar|lokar|okar|olkar|opalkar|qokar|rkar|sheekar|shekar|shkar|shokar|sholkar|skar|sokar|sykar|ykar	5	3	8	9	3	1	0	0	0
lol	31	49	80	9	14	11	29	lolain|lolchor|loldy|lolkaiin|lolkair|lolkeol|lolom|lols|loly	cholol|dalol|dolol|okolol|olol|otolol|salol|sheolol|solol|tcholol|tsholol	6	8	4	4	8	8	0	0	0
lor	30	46	86	3	3	12	41	loral|loror|lory	cheolor|cholor|dalor|llor|oklor|okolor|olor|otolor|pcholor|sholor|solor|ylor	7	7	10	10	7	7	0	0	0
ody	26	178	609	2	2	45	177	odyd|odys	airody|alody|arody|chckhody|chcthody|chokody|cholody|chorody|chotody|cthody|dairody|darody|dody|dolody|dorody|kody|lody|oeesody|okairody|okody|orairody|otody|paiinody|pairody|pchdarody|pody|qokeedody|qokody|qolody|qotody|rody|sheeody|sheody|shody|shorody|sody|talody|tchalody|teodarody|tody|tshodody|ykody|ykolody|ytalody|ytarody	2	2	11	11	1	4	0	0	0
sal	33	22	25	11	13	1	2	salal|salar|saldal|saldam|saldy|salf|salkeedy|salo|salol|saltar|saly	osal	10	11	3	5	12	11	0	0	0
sar	45	17	26	9	18	3	3	saraiin|saraiir|sarain|saral|sarar|saro|sarol|sarols|sary	olsar|otolsar|sosar	11	10	5	3	10	10	0	0	0
sor	34	10	18	5	13	2	2	soraiin|sorain|soral|sorols|sorory	ksor|qolsor	12	12	9	6	11	12	0	0	0
tar	33	42	244	8	10	15	204	tarair|taral|taram|tarar|tarodaiin|tarol|taror|taros	chaltar|cheoltar|cheotar|choltar|chotar|etar|oltar|otar|ototar|qotar|saltar|satar|shetar|shtar|ytar	8	5	7	8	6	2	0	0	0
tol	27	57	186	17	19	9	120	tolain|tolair|tolchd|tolchdaiin|tolchedy|tolchory|told|toldal|toldshy|toldy|tolkain|tolkeol|tolkey|tolol|tolor|tolsheol|tolshey	cheotol|chotol|kshotol|olytol|otol|qotol|shotol|shtol|ytol	4	6	2	2	9	5	0	0	0
