case_id	page	locus	surface_clause	segmentation	working_reading_de	prefix_axis_relation	reader_status	residual_policy
G631-C01	f103r	f103r.24	qotain shcthy	sh+cth+y | qotain	feuchtes CTH-Pflanzen-/Drogengut: kalt im qo-Qualitätsrahmen, Grad II	ORTHOGONAL_AXIS	TRIPLE_STABLE_COMPONENTS	Nur die sichtbare Part-Qualitätsklammer wird gelesen; übrige Tokens bleiben OPEN
G631-C02	f106v	f106v.4	chcthy okain	ch+cth+y | okain	trockenes CTH-Pflanzen-/Drogengut: heiß im o-Rahmen, Grad II	ORTHOGONAL_AXIS	TRIPLE_STABLE_COMPONENTS	Nur die sichtbare Part-Qualitätsklammer wird gelesen; übrige Tokens bleiben OPEN
G631-C03	f107v	f107v.15	otain chcthy	ch+cth+y | otain	trockenes CTH-Pflanzen-/Drogengut: kalt im o-Rahmen, Grad II	ORTHOGONAL_AXIS	TRIPLE_STABLE_COMPONENTS	Nur die sichtbare Part-Qualitätsklammer wird gelesen; übrige Tokens bleiben OPEN
G631-C04	f10r	f10r.4	chaiin chcthy	ch+cth+y | chaiin	trockenes Blattgut/Blattdroge: trocken, Grad III	MATCHING_PREFIX_AXIS	TRIPLE_STABLE_COMPONENTS	Nur die sichtbare Part-Qualitätsklammer wird gelesen; übrige Tokens bleiben OPEN
G631-C05	f111r	f111r.53	qokaiin chcthydain	ch+cth+ydain | qokaiin	trockenes cth-Pflanzenteilform (chcthydain): heiß im qo-Qualitätsrahmen, Grad III	ORTHOGONAL_AXIS	TRIPLE_STABLE_COMPONENTS	Nur die sichtbare Part-Qualitätsklammer wird gelesen; übrige Tokens bleiben OPEN
G631-C06	f111v	f111v.8	chcthey okain	ch+cth+ey | okain	trockenes cth-Pflanzenteilform (chcthey): heiß im o-Rahmen, Grad II	ORTHOGONAL_AXIS	TRIPLE_STABLE_COMPONENTS	Nur die sichtbare Part-Qualitätsklammer wird gelesen; übrige Tokens bleiben OPEN
G631-C07	f111v	f111v.20	qotain shcthy	sh+cth+y | qotain	feuchtes CTH-Pflanzen-/Drogengut: kalt im qo-Qualitätsrahmen, Grad II	ORTHOGONAL_AXIS	TRIPLE_STABLE_COMPONENTS	Nur die sichtbare Part-Qualitätsklammer wird gelesen; übrige Tokens bleiben OPEN
G631-C08	f111v	f111v.35	okaiin chcthy	ch+cth+y | okaiin	trockenes CTH-Pflanzen-/Drogengut: heiß im o-Rahmen, Grad III	ORTHOGONAL_AXIS	TRIPLE_STABLE_COMPONENTS	Nur die sichtbare Part-Qualitätsklammer wird gelesen; übrige Tokens bleiben OPEN
G631-C09	f111v	f111v.39	chcthy qokain	ch+cth+y | qokain	trockenes CTH-Pflanzen-/Drogengut: heiß im qo-Qualitätsrahmen, Grad II	ORTHOGONAL_AXIS	TRIPLE_STABLE_COMPONENTS	Nur die sichtbare Part-Qualitätsklammer wird gelesen; übrige Tokens bleiben OPEN
G631-C10	f112r	f112r.13	otaiin chcthy	ch+cth+y | otaiin	trockenes CTH-Pflanzen-/Drogengut: kalt im o-Rahmen, Grad III	ORTHOGONAL_AXIS	TRIPLE_STABLE_COMPONENTS	Nur die sichtbare Part-Qualitätsklammer wird gelesen; übrige Tokens bleiben OPEN
G631-C11	f112v	f112v.39	qotain chcthd	ch+cth+d | qotain	trockenes cth-Pflanzenteilform (chcthd): kalt im qo-Qualitätsrahmen, Grad II	ORTHOGONAL_AXIS	TRIPLE_STABLE_COMPONENTS	Nur die sichtbare Part-Qualitätsklammer wird gelesen; übrige Tokens bleiben OPEN
G631-C12	f113v	f113v.39	qokain chcthy	ch+cth+y | qokain	trockenes CTH-Pflanzen-/Drogengut: heiß im qo-Qualitätsrahmen, Grad II	ORTHOGONAL_AXIS	TRIPLE_STABLE_COMPONENTS	Nur die sichtbare Part-Qualitätsklammer wird gelesen; übrige Tokens bleiben OPEN
G631-C13	f116r	f116r.24	okain chcthy	ch+cth+y | okain	trockenes CTH-Pflanzen-/Drogengut: heiß im o-Rahmen, Grad II	ORTHOGONAL_AXIS	TRIPLE_STABLE_COMPONENTS	Nur die sichtbare Part-Qualitätsklammer wird gelesen; übrige Tokens bleiben OPEN
G631-C14	f116r	f116r.30	qokain chcthy	ch+cth+y | qokain	trockenes CTH-Pflanzen-/Drogengut: heiß im qo-Qualitätsrahmen, Grad II	ORTHOGONAL_AXIS	TRIPLE_STABLE_COMPONENTS	Nur die sichtbare Part-Qualitätsklammer wird gelesen; übrige Tokens bleiben OPEN
G631-C15	f44v	f44v.3	shcthy otol daiin	sh+cth+y | otol daiin	feuchtes Blattgut/Blattdroge: im o-Rahmen: kalt, Grad III	ORTHOGONAL_AXIS	TRIPLE_STABLE_COMPONENTS	Nur die sichtbare Part-Qualitätsklammer wird gelesen; übrige Tokens bleiben OPEN
G631-C16	f44v	f44v.12	chaiin chcthy	ch+cth+y | chaiin	trockenes Blattgut/Blattdroge: trocken, Grad III	MATCHING_PREFIX_AXIS	TRIPLE_STABLE_COMPONENTS	Nur die sichtbare Part-Qualitätsklammer wird gelesen; übrige Tokens bleiben OPEN
G631-C17	f45r	f45r.3	chcthy kchol daiin	ch+cth+y | kchol daiin	trockenes Blattgut/Blattdroge: heiß-trocken, Grad III	MATCHING_PREFIX_AXIS	TRIPLE_STABLE_COMPONENTS	Nur die sichtbare Part-Qualitätsklammer wird gelesen; übrige Tokens bleiben OPEN
G631-C18	f75r	f75r.6	qokain chcthy	ch+cth+y | qokain	trockenes CTH-Pflanzen-/Drogengut: heiß im qo-Qualitätsrahmen, Grad II	ORTHOGONAL_AXIS	TRIPLE_STABLE_COMPONENTS	Nur die sichtbare Part-Qualitätsklammer wird gelesen; übrige Tokens bleiben OPEN
G631-C19	f75r	f75r.33	qokain chcthedy	ch+cth+edy | qokain	trockenes cth-Pflanzenteilform (chcthedy): heiß im qo-Qualitätsrahmen, Grad II	ORTHOGONAL_AXIS	TRIPLE_STABLE_COMPONENTS	Nur die sichtbare Part-Qualitätsklammer wird gelesen; übrige Tokens bleiben OPEN
G631-C20	f77r	f77r.26	qokaiin chcthy	ch+cth+y | qokaiin	trockenes CTH-Pflanzen-/Drogengut: heiß im qo-Qualitätsrahmen, Grad III	ORTHOGONAL_AXIS	TRIPLE_STABLE_COMPONENTS	Nur die sichtbare Part-Qualitätsklammer wird gelesen; übrige Tokens bleiben OPEN
G631-C21	f77v	f77v.31	qokaiin shcthy	sh+cth+y | qokaiin	feuchtes CTH-Pflanzen-/Drogengut: heiß im qo-Qualitätsrahmen, Grad III	ORTHOGONAL_AXIS	TRIPLE_STABLE_COMPONENTS	Nur die sichtbare Part-Qualitätsklammer wird gelesen; übrige Tokens bleiben OPEN
G631-C22	f80r	f80r.14	chcthy qokain	ch+cth+y | qokain	trockenes CTH-Pflanzen-/Drogengut: heiß im qo-Qualitätsrahmen, Grad II	ORTHOGONAL_AXIS	TRIPLE_STABLE_COMPONENTS	Nur die sichtbare Part-Qualitätsklammer wird gelesen; übrige Tokens bleiben OPEN
G631-C23	f80r	f80r.19	chcthy qokain	ch+cth+y | qokain	trockenes CTH-Pflanzen-/Drogengut: heiß im qo-Qualitätsrahmen, Grad II	ORTHOGONAL_AXIS	TRIPLE_STABLE_COMPONENTS	Nur die sichtbare Part-Qualitätsklammer wird gelesen; übrige Tokens bleiben OPEN
G631-C24	f80r	f80r.30	chcthy qokain	ch+cth+y | qokain	trockenes CTH-Pflanzen-/Drogengut: heiß im qo-Qualitätsrahmen, Grad II	ORTHOGONAL_AXIS	TRIPLE_STABLE_COMPONENTS	Nur die sichtbare Part-Qualitätsklammer wird gelesen; übrige Tokens bleiben OPEN
G631-C25	f80r	f80r.40	qotain shcthy	sh+cth+y | qotain	feuchtes CTH-Pflanzen-/Drogengut: kalt im qo-Qualitätsrahmen, Grad II	ORTHOGONAL_AXIS	TRIPLE_STABLE_COMPONENTS	Nur die sichtbare Part-Qualitätsklammer wird gelesen; übrige Tokens bleiben OPEN
G631-C26	f80v	f80v.3	qokaiin chcthy	ch+cth+y | qokaiin	trockenes CTH-Pflanzen-/Drogengut: heiß im qo-Qualitätsrahmen, Grad III	ORTHOGONAL_AXIS	TRIPLE_STABLE_COMPONENTS	Nur die sichtbare Part-Qualitätsklammer wird gelesen; übrige Tokens bleiben OPEN
G631-C27	f80v	f80v.3	chcthy otaiin	ch+cth+y | otaiin	trockenes CTH-Pflanzen-/Drogengut: kalt im o-Rahmen, Grad III	ORTHOGONAL_AXIS	TRIPLE_STABLE_COMPONENTS	Nur die sichtbare Part-Qualitätsklammer wird gelesen; übrige Tokens bleiben OPEN
G631-C28	f80v	f80v.10	qokaiin shcthy	sh+cth+y | qokaiin	feuchtes CTH-Pflanzen-/Drogengut: heiß im qo-Qualitätsrahmen, Grad III	ORTHOGONAL_AXIS	TRIPLE_STABLE_COMPONENTS	Nur die sichtbare Part-Qualitätsklammer wird gelesen; übrige Tokens bleiben OPEN
G631-C29	f81r	f81r.7	okain chcthy	ch+cth+y | okain	trockenes CTH-Pflanzen-/Drogengut: heiß im o-Rahmen, Grad II	ORTHOGONAL_AXIS	TRIPLE_STABLE_COMPONENTS	Nur die sichtbare Part-Qualitätsklammer wird gelesen; übrige Tokens bleiben OPEN
G631-C30	f83r	f83r.14	qokaiin shcthy	sh+cth+y | qokaiin	feuchtes CTH-Pflanzen-/Drogengut: heiß im qo-Qualitätsrahmen, Grad III	ORTHOGONAL_AXIS	TRIPLE_STABLE_COMPONENTS	Nur die sichtbare Part-Qualitätsklammer wird gelesen; übrige Tokens bleiben OPEN
G631-C31	f83v	f83v.3	qotain chcthy	ch+cth+y | qotain	trockenes CTH-Pflanzen-/Drogengut: kalt im qo-Qualitätsrahmen, Grad II	ORTHOGONAL_AXIS	TRIPLE_STABLE_COMPONENTS	Nur die sichtbare Part-Qualitätsklammer wird gelesen; übrige Tokens bleiben OPEN
