occurrence_id	page	locus	token_index	surface	prefix	remainder	bare_counterpart_surface	zl3b_mode	it2a_mode	rf1b_mode	triple_exact_token_stable	triple_boundary_normalized	any_split_prefix_reader	surface_line
G631-O0009	f103r	f103r.6	8	shcthy	SH	y	cthy	FUSED	FUSED	FUSED	1	1	0	ocheey dain shek okeedy okey shedy qokealdy shcthy qotedy qoto ota san am
G631-O0010	f103r	f103r.14	12	chcthy	CH	y	cthy	FUSED	FUSED	FUSED	1	1	0	okain shekain chedy qokeechy qoky shey lol s aiin chey eekain chcthy qoky
G631-O0011	f103r	f103r.22	8	chcthy	CH	y	cthy	FUSED	FUSED	FUSED	1	1	0	dalshy okain shckhody shdal qokeedy shedy qotar chcthy chep ar otar opchy
G631-O0012	f103r	f103r.24	8	shcthy	SH	y	cthy	FUSED	FUSED	FUSED	1	1	0	tchoky okeal shedy qokal oty opchedy qotain shcthy otey dain oteey oky
G631-O0013	f103r	f103r.32	7	shcthy	SH	y	cthy	FUSED	FUSED	FUSED	1	1	0	okeey shedy qokedy qokal shety otedy shcthy oraiin
G631-O0014	f103r	f103r.38	3	shcthy	SH	y	cthy	FUSED	FUSED	ABSENT_OR_DIFFERENT	0	0	0	otechedy qokain shcthy chckhy lokeedy checkhy lokain shedy okeey
G631-O0015	f103v	f103v.3	6	chcthy	CH	y	cthy	FUSED	FUSED	ABSENT_OR_DIFFERENT	0	0	0	qok or chedy qokey dar chcthy char qoty shdy okeedy qokeey qokain
G631-O0016	f103v	f103v.29	5	chcthy	CH	y	cthy	FUSED	FUSED	FUSED	1	1	0	olcheeey chey lkchdy sho chcthy sal araiin qokeey
G631-O0017	f104r	f104r.2	13	chcthedy	CH	edy	cthedy	FUSED	FUSED	FUSED	1	1	0	o ar aiin yteeody cheedaiin cheodar s aiin chey tair os aiin chcthedy teedaram
G631-O0019	f104r	f104r.40	9	chcthy	CH	y	cthy	FUSED	FUSED	FUSED	1	1	0	olkeeos olkaiin oair qcthy oiinol al ly oeear chcthy olched qotaiiin
G631-O0020	f104v	f104v.25	6	chcthy	CH	y	cthy	FUSED	ABSENT_OR_DIFFERENT	ABSENT_OR_DIFFERENT	0	0	0	dsheey qoykeey lchedy qokedaiin ar chcthy daiin cheey sair ol aiin chedy
G631-O0022	f106v	f106v.4	4	chcthy	CH	y	cthy	FUSED	FUSED	FUSED	1	1	0	ycheoto lsheo aiin chcthy okain chdal chdam charam
G631-O0023	f106v	f106v.34	5	shcthy	SH	y	cthy	FUSED	FUSED	FUSED	1	1	0	pchodaiin kcheeor al ky shcthy otos ar odal pcheody qotaiin otor alodam
G631-O0024	f106v	f106v.43	12	chcthy	CH	y	cthy	FUSED	FUSED	FUSED	1	1	0	chedy okeey qokeedy okeey sheey qokaiin al al kalos chedy dkaiin chcthy
G631-O0027	f107v	f107v.15	8	chcthy	CH	y	cthy	FUSED	FUSED	FUSED	1	1	0	solain qokal okeey lkaiin okain chkal otain chcthy tarairy
G631-O0028	f107v	f107v.35	4	chcthy	CH	y	cthy	FUSED	FUSED	FUSED	1	1	0	polchedy olkeey lkey chcthy lkar shedy qokaiin chedy qokeedy lol
G631-O0033	f10r	f10r.4	3	chcthy	CH	y	cthy	FUSED	FUSED	FUSED	1	1	0	sor chaiin chcthy ctho ckhy or aiin chtchor doiir ody
G631-O0042	f10v	f10v.2	4	chcthor	CH	or	cthor	FUSED	FUSED	FUSED	1	1	0	dain daiin ckhy chcthor choiin qot chodaiin cthy daiin
G631-O0044	f10v	f10v.6	3	shcthy	SH	y	cthy	FUSED	FUSED	FUSED	1	1	0	shoiin chor shcthy qoty qotoiin qokol chor aiin
G631-O0045	f111r	f111r.2	10	chcthy	CH	y	cthy	FUSED	FUSED	FUSED	1	1	0	daiin sheeky okeey okeey qaal shedy okeey oteey shedy chcthy lcheol oteeam
G631-O0047	f111r	f111r.38	6	chcthedy	CH	edy	cthedy	FUSED	FUSED	FUSED	1	1	0	dched daiin al okeey kechedy chcthedy chedain otedy qokeedy key l ltain
G631-O0048	f111r	f111r.53	9	chcthydain	CH	ydain	cthydain	FUSED	OTHER_BOUNDARY	OTHER_BOUNDARY	0	1	0	yshe aiin okshdy shkeey kain chaiin alolshey qokaiin chcthydain
G631-O0049	f111v	f111v.3	9	chcthar	CH	ar	cthar	FUSED	FUSED	FUSED	1	1	0	dain chedy shedal otedy oteey chedy qokeey dain chcthar otar qotain otaim
G631-O0050	f111v	f111v.8	5	chcthey	CH	ey	cthey	FUSED	FUSED	FUSED	1	1	0	sho otchey cheol kechy chcthey okain ol l keey qokain checkhy chedar am
G631-O0051	f111v	f111v.10	12	shcthy	SH	y	cthy	FUSED	FUSED	FUSED	1	1	0	soiin shed qoksheo lor cheo lol aiin shey qokain chear qoteol shcthy ldy
G631-O0052	f111v	f111v.19	8	shcthey	SH	ey	cthey	FUSED	FUSED	FUSED	1	1	0	qokaiin cheal tain qokain shey qokain char shcthey qoky chy qokaiin
G631-O0053	f111v	f111v.20	8	shcthy	SH	y	cthy	FUSED	FUSED	FUSED	1	1	0	shain qokal shar qoteal qotain chedy qotain shcthy qokshedy qotain ar
