neighbor_id	occurrence_id	page	locus	part_surface	part_prefix	part_remainder	quality_surface	quality_source	quality_axes	order	prefix_axis_relation	both_triple_stable	working_part_de	working_quality_de	surface_line
G631-N001	G631-O0053	f111v	f111v.20	shcthy	SH	y	qokshedy	GDT625_TERMINAL_QUALITY	HOT|MOIST	PART_BEFORE_QUALITY	MATCHING_PREFIX_AXIS	1	feuchtes CTH-Pflanzen-/Drogengut	heiß-feucht	shain qokal shar qoteal qotain chedy qotain shcthy qokshedy qotain ar
G631-N002	G631-O0062	f113r	f113r.32	chcthal	CH	al	okshedy	GDT625_TERMINAL_QUALITY	HOT|MOIST	PART_BEFORE_QUALITY	OPPOSITE_PREFIX_AXIS	0	trockenes cth-Pflanzenteilform (chcthal)	heiß-feucht	shodaiin shkaiin chcthal okshedy otal okaiin cphoal otain okaiin chedy qotal
G631-N003	G631-O0078	f115v	f115v.25	chcthy	CH	y	tchedy	GDT625_TERMINAL_QUALITY	COLD|DRY	PART_BEFORE_QUALITY	MATCHING_PREFIX_AXIS	1	trockenes CTH-Pflanzen-/Drogengut	kalt-trocken	ykees aiin olkeeody qos ain cheodain chcthy tchedy qokeedy lkeedas
G631-N004	G631-O0079	f115v	f115v.33	chcthy	CH	y	qotchy	GDT625_TERMINAL_QUALITY	COLD|DRY	QUALITY_BEFORE_PART	MATCHING_PREFIX_AXIS	1	trockenes CTH-Pflanzen-/Drogengut	kalt-trocken	ychedal qotchy chcthy chdal lchedy
G631-N005	G631-O0121	f16r	f16r.12	shcthy	SH	y	kchy	GDT625_TERMINAL_QUALITY	DRY|HOT	QUALITY_BEFORE_PART	OPPOSITE_PREFIX_AXIS	0	feuchtes Blattgut/Blattdroge	heiß-trocken	dy cho kchy shcthy shtshy sho tchokyd
G631-N006	G631-O0121	f16r	f16r.12	shcthy	SH	y	shtshy	GDT625_TERMINAL_QUALITY	COLD|MOIST	PART_BEFORE_QUALITY	MATCHING_PREFIX_AXIS	1	feuchtes Blattgut/Blattdroge	kalt-feucht	dy cho kchy shcthy shtshy sho tchokyd
G631-N007	G631-O0144	f18r	f18r.9	chcthal	CH	al	chol	GDT628_BARE_OL_QUALITY	DRY	QUALITY_BEFORE_PART	MATCHING_PREFIX_AXIS	1	trockenes cth-Pflanzenteilform (chcthal)	trockene Zustands-/Materialform; flüssig meist trocken	chol chcthal okshal chykald
G631-N008	G631-O0153	f19v	f19v.4	chcthy	CH	y	qotol	GDT628_BARE_OL_QUALITY	COLD	PART_BEFORE_QUALITY	ORTHOGONAL_AXIS	1	trockenes Blattgut/Blattdroge	kalte Zustands-/Materialform; flüssig meist kalt	ytch chcthy qotol daiin daiin
G631-N009	G631-O0160	f20v	f20v.3	chcthy	CH	y	shol	GDT628_BARE_OL_QUALITY	MOIST	QUALITY_BEFORE_PART	OPPOSITE_PREFIX_AXIS	0	trockenes Blattgut/Blattdroge	feuchte Zustands-/Materialform; flüssig meist feucht	okchy sho kchol shol chcthy qoty chy tolshy qotchy
G631-N010	G631-O0171	f21r	f21r.11	chcthy	CH	y	tchol	GDT628_BARE_OL_QUALITY	COLD|DRY	QUALITY_BEFORE_PART	MATCHING_PREFIX_AXIS	1	trockenes Blattgut/Blattdroge	kalt-trockene Zustands-/Materialform; flüssig meist kalt-trocken	shol chol shol tchol chcthy otyky shey yteol shody
