pair_id	remainder	prefix	bare_surface	prefixed_surface	bare_occurrences	prefixed_occurrences	bare_pages	prefixed_pages	bare_triple_exact	prefixed_triple_exact	working_contrast_de	pair_status
G631-M001	y	CH	cthy	chcthy	92	75	50	53	85	69	unmarkierte cth-Pflanzenteilform ↔ trockene cth-Pflanzenteilform	TYPE_LEVEL_COMPOSITIONAL_PAIR
G631-M002	dy	CH	cthdy	chcthdy	7	7	7	7	5	4	unmarkierte cth-Pflanzenteilform ↔ trockene cth-Pflanzenteilform	TYPE_LEVEL_COMPOSITIONAL_PAIR
G631-M003	ey	CH	cthey	chcthey	38	7	33	7	32	6	unmarkierte cth-Pflanzenteilform ↔ trockene cth-Pflanzenteilform	TYPE_LEVEL_COMPOSITIONAL_PAIR
G631-M004	edy	CH	cthedy	chcthedy	11	6	9	6	8	5	unmarkierte cth-Pflanzenteilform ↔ trockene cth-Pflanzenteilform	TYPE_LEVEL_COMPOSITIONAL_PAIR
G631-M005	o	CH	ctho	chctho	18	3	18	3	8	3	unmarkierte cth-Pflanzenteilform ↔ trockene cth-Pflanzenteilform	TYPE_LEVEL_COMPOSITIONAL_PAIR
G631-M006	ody	CH	cthody	chcthody	13	3	11	3	12	3	unmarkierte cth-Pflanzenteilform ↔ trockene cth-Pflanzenteilform	TYPE_LEVEL_COMPOSITIONAL_PAIR
G631-M007	BARE	CH	cth	chcth	4	2	4	2	2	2	unmarkierte cth-Pflanzenteilform ↔ trockene cth-Pflanzenteilform	TYPE_LEVEL_COMPOSITIONAL_PAIR
G631-M008	al	CH	cthal	chcthal	7	2	5	2	5	2	unmarkierte cth-Pflanzenteilform ↔ trockene cth-Pflanzenteilform	TYPE_LEVEL_COMPOSITIONAL_PAIR
G631-M009	am	CH	ctham	chctham	1	2	1	2	1	1	unmarkierte cth-Pflanzenteilform ↔ trockene cth-Pflanzenteilform	TYPE_LEVEL_COMPOSITIONAL_PAIR
G631-M010	aiin	CH	cthaiin	chcthaiin	11	1	10	1	11	1	unmarkierte cth-Pflanzenteilform ↔ trockene cth-Pflanzenteilform	TYPE_LEVEL_COMPOSITIONAL_PAIR
G631-M011	ain	CH	cthain	chcthain	4	1	3	1	4	1	unmarkierte cth-Pflanzenteilform ↔ trockene cth-Pflanzenteilform	TYPE_LEVEL_COMPOSITIONAL_PAIR
G631-M012	ar	CH	cthar	chcthar	14	1	12	1	13	1	unmarkierte cth-Pflanzenteilform ↔ trockene cth-Pflanzenteilform	TYPE_LEVEL_COMPOSITIONAL_PAIR
G631-M013	d	CH	cthd	chcthd	1	1	1	1	1	1	unmarkierte cth-Pflanzenteilform ↔ trockene cth-Pflanzenteilform	TYPE_LEVEL_COMPOSITIONAL_PAIR
G631-M014	od	CH	cthod	chcthod	3	1	3	1	2	1	unmarkierte cth-Pflanzenteilform ↔ trockene cth-Pflanzenteilform	TYPE_LEVEL_COMPOSITIONAL_PAIR
G631-M015	ol	CH	cthol	chcthol	51	1	34	1	50	0	unmarkierte cth-Pflanzenteilform ↔ trockene cth-Pflanzenteilform	TYPE_LEVEL_COMPOSITIONAL_PAIR
G631-M016	or	CH	cthor	chcthor	43	1	33	1	39	1	unmarkierte cth-Pflanzenteilform ↔ trockene cth-Pflanzenteilform	TYPE_LEVEL_COMPOSITIONAL_PAIR
G631-M017	ory	CH	cthory	chcthory	2	1	2	1	2	0	unmarkierte cth-Pflanzenteilform ↔ trockene cth-Pflanzenteilform	TYPE_LEVEL_COMPOSITIONAL_PAIR
G631-M018	y	SH	cthy	shcthy	92	29	50	17	85	26	unmarkierte cth-Pflanzenteilform ↔ feuchte cth-Pflanzenteilform	TYPE_LEVEL_COMPOSITIONAL_PAIR
G631-M019	ey	SH	cthey	shcthey	38	4	33	4	32	4	unmarkierte cth-Pflanzenteilform ↔ feuchte cth-Pflanzenteilform	TYPE_LEVEL_COMPOSITIONAL_PAIR
G631-M020	al	SH	cthal	shcthal	7	1	5	1	5	1	unmarkierte cth-Pflanzenteilform ↔ feuchte cth-Pflanzenteilform	TYPE_LEVEL_COMPOSITIONAL_PAIR
G631-M021	dy	SH	cthdy	shcthdy	7	1	7	1	5	1	unmarkierte cth-Pflanzenteilform ↔ feuchte cth-Pflanzenteilform	TYPE_LEVEL_COMPOSITIONAL_PAIR
G631-M022	edy	SH	cthedy	shcthedy	11	1	9	1	8	1	unmarkierte cth-Pflanzenteilform ↔ feuchte cth-Pflanzenteilform	TYPE_LEVEL_COMPOSITIONAL_PAIR
