slot_id	page	locus	surface	prefix	frame	target_triple_exact	working_category_de	surface_line
G631-S01	f15v	f15v.11	cthy	BARE	daiin __ <LINE_END>	1	cth-Pflanzen-/Drogengut im gleichen terminalen Partslot	sol oiin cheor chol daiin cthy
G631-S02	f22v	f22v.12	cthy	BARE	daiin __ <LINE_END>	1	cth-Pflanzen-/Drogengut im gleichen terminalen Partslot	ychky daiin cthy
G631-S03	f29r	f29r.8	cthy	BARE	daiin __ <LINE_END>	1	cth-Pflanzen-/Drogengut im gleichen terminalen Partslot	shor chor shosheky shy qoty kody daiin cthy
G631-S04	f2r	f2r.13	chcthy	CH	daiin __ <LINE_END>	1	cth-Pflanzen-/Drogengut im gleichen terminalen Partslot	sho ykeey chey daiin chcthy
G631-S05	f32r	f32r.13	cthy	BARE	daiin __ <LINE_END>	1	cth-Pflanzen-/Drogengut im gleichen terminalen Partslot	otcho rol dain daiin cthy
G631-S06	f3r	f3r.3	cthy	BARE	daiin __ <LINE_END>	1	cth-Pflanzen-/Drogengut im gleichen terminalen Partslot	ochor qocheor chol daiin cthy
G631-S07	f49r	f49r.12	chcthy	CH	daiin __ <LINE_END>	1	cth-Pflanzen-/Drogengut im gleichen terminalen Partslot	podaiin cheo kcho daiin chcthy
G631-S08	f51v	f51v.2	cthy	BARE	daiin __ <LINE_END>	1	cth-Pflanzen-/Drogengut im gleichen terminalen Partslot	dshody ckhody qokol dykaiin chy qokey daiin cthy
G631-S09	f81v	f81v.4	chcthy	CH	daiin __ <LINE_END>	0	cth-Pflanzen-/Drogengut im gleichen terminalen Partslot	qokaiin okain cheeky dy ol kaiin dain dy daiin chcthy
G631-S10	f93r	f93r.21	shcthy	SH	daiin __ <LINE_END>	1	cth-Pflanzen-/Drogengut im gleichen terminalen Partslot	dol shol daiin shcthy
