occurrence_id	page	locus	token_index	surface	prefix	prefix_surface	cth_root	remainder	bare_counterpart_surface	section	hand	triple_exact_token_stable	triple_boundary_normalized	in_inherited_cth_surface_deck	working_composition_de	surface_line
G631-O0001	f100r	f100r.13	2	cthey	BARE	NONE	cth	ey	cthey	P	1	1	1	1	unmarkierte cth-Pflanzenteilform	dsheor cthey qokeey oteey ykeeodain rorarydaiin daiin deeomchol
G631-O0002	f100r	f100r.25	5	ctheol	BARE	NONE	cth	eol	ctheol	P	1	1	1	1	unmarkierte cth-Pflanzenteilform	sheor qkeeody chol daiin ctheol olcheol cheky cheol cheockhy okeol
G631-O0003	f100v	f100v.13	2	ctharal	BARE	NONE	cth	aral	ctharal	P	1	0	0	1	unmarkierte cth-Pflanzenteilform	chos ctharal
G631-O0004	f102r1	f102r1.4	6	ctheoly	BARE	NONE	cth	eoly	ctheoly	P	1	1	1	1	unmarkierte cth-Pflanzenteilform	dsheody okeeoy kod chkeeody daraiiin ctheoly qokcheololain
G631-O0005	f102r1	f102r1.10	9	cthedy	BARE	NONE	cth	edy	cthedy	P	1	1	1	1	unmarkierte cth-Pflanzenteilform	ycheol sholdy chol chol ykeeol dol doleodaiin dal cthedy
G631-O0006	f102v1	f102v1.8	4	ctheol	BARE	NONE	cth	eol	ctheol	P	1	0	0	1	unmarkierte cth-Pflanzenteilform	dairn ol chey ctheol qokeor os aiin cheor qokey choky
G631-O0007	f102v2	f102v2.34	6	ctheor	BARE	NONE	cth	eor	ctheor	P	1	0	0	1	unmarkierte cth-Pflanzenteilform	sorshey okeeor sheockhey qokeos okchol ctheor okey sal
G631-O0008	f102v2	f102v2.37	6	cthey	BARE	NONE	cth	ey	cthey	P	1	1	1	1	unmarkierte cth-Pflanzenteilform	tchor ar chey kor or cthey qoeeey qokeey okeoroly sar
G631-O0009	f103r	f103r.6	8	shcthy	SH	sh	cth	y	cthy	S	3	1	1	1	feuchte cth-Pflanzenteilform	ocheey dain shek okeedy okey shedy qokealdy shcthy qotedy qoto ota san am
G631-O0010	f103r	f103r.14	12	chcthy	CH	ch	cth	y	cthy	S	3	1	1	1	trockene cth-Pflanzenteilform	okain shekain chedy qokeechy qoky shey lol s aiin chey eekain chcthy qoky
G631-O0011	f103r	f103r.22	8	chcthy	CH	ch	cth	y	cthy	S	3	1	1	1	trockene cth-Pflanzenteilform	dalshy okain shckhody shdal qokeedy shedy qotar chcthy chep ar otar opchy
G631-O0012	f103r	f103r.24	8	shcthy	SH	sh	cth	y	cthy	S	3	1	1	1	feuchte cth-Pflanzenteilform	tchoky okeal shedy qokal oty opchedy qotain shcthy otey dain oteey oky
G631-O0013	f103r	f103r.32	7	shcthy	SH	sh	cth	y	cthy	S	3	1	1	1	feuchte cth-Pflanzenteilform	okeey shedy qokedy qokal shety otedy shcthy oraiin
G631-O0014	f103r	f103r.38	3	shcthy	SH	sh	cth	y	cthy	S	3	0	0	1	feuchte cth-Pflanzenteilform	otechedy qokain shcthy chckhy lokeedy checkhy lokain shedy okeey
G631-O0015	f103v	f103v.3	6	chcthy	CH	ch	cth	y	cthy	S	3	0	0	1	trockene cth-Pflanzenteilform	qok or chedy qokey dar chcthy char qoty shdy okeedy qokeey qokain
G631-O0016	f103v	f103v.29	5	chcthy	CH	ch	cth	y	cthy	S	3	1	1	1	trockene cth-Pflanzenteilform	olcheeey chey lkchdy sho chcthy sal araiin qokeey
