prefix	section	occurrences	pages	types	triple_exact_occurrences	hands	example_surfaces
BARE	B	13	10	7	9	2	cthedy|cthey|cthdy|cther|cthor
BARE	H	347	89	63	302	1|2|5	cthoor|ctho|cthy|cthaiin|cth|cthor|cthyd
BARE	P	22	10	12	18	1	cthey|ctheol|ctharal|ctheoly|cthedy|ctheor
BARE	S	22	12	13	14	3	cthedy|cthey|cthdy|ctheo
BARE	T	4	4	3	4	2|5	cthdy|cthar|cthy
CH	B	25	14	4	20	2	chcthy|chcthedy|chcthey
CH	C	2	2	1	2	2	chcthy
CH	H	43	33	14	37	1|2|3	chcthy|chcthor|chcthody|chcthal
CH	P	1	1	1	0	1	chcthol
CH	S	39	19	11	36	3|@	chcthy|chcthedy
CH	T	8	5	5	7	2|5	chctho|chcthedy|chcthy|chcthdy|chcthody
SH	B	11	6	3	11	2	shcthedy|shcthey|shcthy
SH	H	9	9	3	9	1|2|3	shcthy|shcthey|shcthal
SH	S	10	4	2	9	3	shcthy|shcthey
SH	T	6	3	2	4	2|5	shcthy|shcthdy
