remainder	bare_surface	bare_occurrences	bare_pages	bare_triple_exact	ch_surface	ch_occurrences	ch_pages	ch_triple_exact	sh_surface	sh_occurrences	sh_pages	sh_triple_exact	k_surface	k_occurrences	k_pages	k_triple_exact	t_surface	t_occurrences	t_pages	t_triple_exact	occupied_prefixes	prefixed_modes	total_occurrences
y	cthy	92	50	85	chcthy	75	53	69	shcthy	29	17	26	kcthy	0	0	0	tcthy	0	0	0	BARE|CH|SH	2	196
ol	cthol	51	34	50	chcthol	1	1	0	shcthol	0	0	0	kcthol	0	0	0	tcthol	0	0	0	BARE|CH	1	52
ey	cthey	38	33	32	chcthey	7	7	6	shcthey	4	4	4	kcthey	0	0	0	tcthey	0	0	0	BARE|CH|SH	2	49
or	cthor	43	33	39	chcthor	1	1	1	shcthor	0	0	0	kcthor	0	0	0	tcthor	0	0	0	BARE|CH	1	44
o	ctho	18	18	8	chctho	3	3	3	shctho	0	0	0	kctho	0	0	0	tctho	0	0	0	BARE|CH	1	21
edy	cthedy	11	9	8	chcthedy	6	6	5	shcthedy	1	1	1	kcthedy	0	0	0	tcthedy	0	0	0	BARE|CH|SH	2	18
ody	cthody	13	11	12	chcthody	3	3	3	shcthody	0	0	0	kcthody	0	0	0	tcthody	0	0	0	BARE|CH	1	16
ar	cthar	14	12	13	chcthar	1	1	1	shcthar	0	0	0	kcthar	0	0	0	tcthar	0	0	0	BARE|CH	1	15
dy	cthdy	7	7	5	chcthdy	7	7	4	shcthdy	1	1	1	kcthdy	0	0	0	tcthdy	0	0	0	BARE|CH|SH	2	15
aiin	cthaiin	11	10	11	chcthaiin	1	1	1	shcthaiin	0	0	0	kcthaiin	0	0	0	tcthaiin	0	0	0	BARE|CH	1	12
al	cthal	7	5	5	chcthal	2	2	2	shcthal	1	1	1	kcthal	0	0	0	tcthal	0	0	0	BARE|CH|SH	2	10
eey	ctheey	10	9	9	chctheey	0	0	0	shctheey	0	0	0	kctheey	0	0	0	tctheey	0	0	0	BARE	0	10
eol	ctheol	8	8	7	chctheol	0	0	0	shctheol	0	0	0	kctheol	0	0	0	tctheol	0	0	0	BARE	0	8
BARE	cth	4	4	2	chcth	2	2	2	shcth	0	0	0	kcth	0	0	0	tcth	0	0	0	BARE|CH	1	6
ain	cthain	4	3	4	chcthain	1	1	1	shcthain	0	0	0	kcthain	0	0	0	tcthain	0	0	0	BARE|CH	1	5
om	cthom	5	5	5	chcthom	0	0	0	shcthom	0	0	0	kcthom	0	0	0	tcthom	0	0	0	BARE	0	5
eody	ctheody	4	4	4	chctheody	0	0	0	shctheody	0	0	0	kctheody	0	0	0	tctheody	0	0	0	BARE	0	4
eor	ctheor	4	4	3	chctheor	0	0	0	shctheor	0	0	0	kctheor	0	0	0	tctheor	0	0	0	BARE	0	4
od	cthod	3	3	2	chcthod	1	1	1	shcthod	0	0	0	kcthod	0	0	0	tcthod	0	0	0	BARE|CH	1	4
