mode	record	action_source	execution_at	word	target	axis	value	before	after	status	row_status
CARRY	f29v	f29v.1:6	f29v.1:7	shytchy	B1	moisture	WET	moisture=UNKNOWN;temperature=UNKNOWN;texture=UNKNOWN	moisture=WET;temperature=UNKNOWN;texture=UNKNOWN	BOUND_TARGET_MISSING_LIQUID	recorded
CARRY	f29v	f29v.3:6	f29v.3:6	qotchy	B1	texture	GROUND	moisture=WET;temperature=UNKNOWN;texture=UNKNOWN	moisture=WET;temperature=UNKNOWN;texture=GROUND	BOUND	recorded
CARRY	f29v	f29v.4:2	f29v.4:3	otshy	A1	temperature	COLD	moisture=UNKNOWN;temperature=UNKNOWN;texture=UNKNOWN	moisture=UNKNOWN;temperature=COLD;texture=UNKNOWN	BOUND	recorded
CARRY	f29v	f29v.4:7	f29v.4:7	shot	B1	temperature	HOT	moisture=WET;temperature=COLD;texture=GROUND	moisture=WET;temperature=HOT;texture=GROUND	BOUND	recorded
CARRY	f32v	f32v.7:2	f32v.7:2	cphos	NA	texture	GROUND	NA	NA	MISSING_TARGET	recorded
CARRY	f32v	f32v.9:1	f32v.9:1	qotchy	NA	texture	GROUND	NA	NA	MISSING_TARGET	recorded
CARRY	f32v	f32v.10:6	f32v.10:6	cpho	C1	texture	GROUND	moisture=DRY;temperature=UNKNOWN;texture=UNKNOWN	moisture=DRY;temperature=UNKNOWN;texture=GROUND	BOUND	recorded
NEW	f29v	f29v.1:6	f29v.1:7	shytchy	B1	moisture	WET	moisture=UNKNOWN;temperature=UNKNOWN;texture=UNKNOWN	moisture=WET;temperature=UNKNOWN;texture=UNKNOWN	BOUND_TARGET_MISSING_LIQUID	recorded
NEW	f29v	f29v.3:6	f29v.3:6	qotchy	B1	texture	GROUND	moisture=WET;temperature=UNKNOWN;texture=UNKNOWN	moisture=WET;temperature=UNKNOWN;texture=GROUND	BOUND	recorded
NEW	f29v	f29v.4:2	f29v.4:3	otshy	A1	temperature	COLD	moisture=UNKNOWN;temperature=UNKNOWN;texture=UNKNOWN	moisture=UNKNOWN;temperature=COLD;texture=UNKNOWN	BOUND	recorded
NEW	f29v	f29v.4:7	f29v.4:7	shot	B1	temperature	HOT	moisture=WET;temperature=COLD;texture=GROUND	moisture=WET;temperature=HOT;texture=GROUND	BOUND	recorded
NEW	f32v	f32v.7:2	f32v.7:2	cphos	NA	texture	GROUND	NA	NA	MISSING_TARGET	recorded
NEW	f32v	f32v.9:1	f32v.9:1	qotchy	NA	texture	GROUND	NA	NA	MISSING_TARGET	recorded
NEW	f32v	f32v.10:6	f32v.10:6	cpho	C1	texture	GROUND	moisture=DRY;temperature=UNKNOWN;texture=UNKNOWN	moisture=DRY;temperature=UNKNOWN;texture=GROUND	BOUND	recorded
