node_order	material_node	working_object_de	branch
1	OWNER_PLANT	abgebildete Pflanze	ROOT
2	MAIN_FLOWER_LEAF_BATCH	Blüten- und Blattcharge	MAIN
3	WINE_DECOCTION_MAIN	Weinsud	MAIN
4	WRUNG_DECOCTION_MAIN	ausgewrungener Sud	MAIN
5	RESTED_DECOCTION_MAIN	abgestandener Sud	MAIN
6	RESTRAINED_DECOCTION_MAIN	nachgeseihter Sud	MAIN
7	CLEAR_EXTRACT_MAIN	Klarauszug	MAIN
8	COOLED_CLEAR_EXTRACT_MAIN	gekühlter Klarauszug	MAIN
9	RESERVED_FLOWER_PORTION	zurückbehaltene frische Blüten	RESERVED_SECOND_USE
10	DRINK_PREPARATION_2	zweiter Trank	RESERVED_SECOND_USE
11	MEASURED_DRINK_2	abgemessener zweiter Trank	RESERVED_SECOND_USE
12	READY_SECOND_PREPARATION	fertige zweite Zubereitung	RESERVED_SECOND_USE
