from_node	to_node	relation
OWNER_PLANT	MAIN_FLOWER_LEAF_BATCH	SELECT_MAIN
MAIN_FLOWER_LEAF_BATCH	WINE_DECOCTION_MAIN	BOIL
WINE_DECOCTION_MAIN	WRUNG_DECOCTION_MAIN	WRING
WRUNG_DECOCTION_MAIN	RESTED_DECOCTION_MAIN	STAND
RESTED_DECOCTION_MAIN	RESTRAINED_DECOCTION_MAIN	RESTRAIN
RESTRAINED_DECOCTION_MAIN	CLEAR_EXTRACT_MAIN	CLEAR
CLEAR_EXTRACT_MAIN	COOLED_CLEAR_EXTRACT_MAIN	COOL
OWNER_PLANT	RESERVED_FLOWER_PORTION	RESERVE_BRANCH
RESERVED_FLOWER_PORTION	DRINK_PREPARATION_2	PREPARE_DRINK
DRINK_PREPARATION_2	MEASURED_DRINK_2	MEASURE
MEASURED_DRINK_2	READY_SECOND_PREPARATION	ADD_RESERVED_FLOWERS_AND_READY
