order	event_id	statement_id	surface	joint_tuple_id	active_before	operation	active_after	working_reading_de	branch	owner
1	E039	H3-S001	tshol	953ad19b79517fc8a211	OWNER_PLANT	SELECT_MAIN_MATERIAL	MAIN_FLOWER_LEAF_BATCH	Blüten und junge Blätter nehmen	MAIN	H3_PICTURED_PLANT
2	E040	H3-S001	schoal	428a5e3662aa57b4b256	MAIN_FLOWER_LEAF_BATCH	BOIL_IN_MEDIUM	WINE_DECOCTION_MAIN	Hauptmaterial als Weinsud bereiten	MAIN	H3_PICTURED_PLANT
3	E041	H3-S001	cfhy	bdad9f9ea8b80f141496	WINE_DECOCTION_MAIN	WRING	WRUNG_DECOCTION_MAIN	Sud durch Tuch auswringen	MAIN	H3_PICTURED_PLANT
4	E042	H3-S001	shfydaiin	a8af08e69edab8e54f15	WRUNG_DECOCTION_MAIN	STAND	RESTED_DECOCTION_MAIN	vorgeschriebene Stehzeit einhalten	MAIN	H3_PICTURED_PLANT
5	E043	H3-S001	cphy	deb377381ceaf55ea310	RESTED_DECOCTION_MAIN	RESTRAIN	RESTRAINED_DECOCTION_MAIN	danach nochmals seihen	MAIN	H3_PICTURED_PLANT
6	E044	H3-S001	shey	b5df9126607030b95175	RESTRAINED_DECOCTION_MAIN	SELECT_CLEAR_EXTRACT	CLEAR_EXTRACT_MAIN	Klarauszug gewinnen	MAIN	H3_PICTURED_PLANT
7	E045	H3-S001	tchody	2e2027b1951d79911e24	CLEAR_EXTRACT_MAIN	COOL_CLOSE	COOLED_CLEAR_EXTRACT_MAIN	Klarauszug abkühlen und Hauptgang schließen	MAIN	H3_PICTURED_PLANT
8	E046	H3-S002	shoyty	577c03a928d674d420d7	OWNER_PLANT	RESERVE_BRANCH	RESERVED_FLOWER_PORTION	einen frischen Blütenanteil für den zweiten Gebrauch zurückhalten	RESERVED_SECOND_USE	H3_PICTURED_PLANT
9	E047	H3-S003	dchol	d665560c8ff80799a82c	RESERVED_FLOWER_PORTION	OPEN_CONTINUATION	SECOND_USE_FRAME	zweiten Gebrauch als Fortsetzungsposten eröffnen	RESERVED_SECOND_USE	H3_PICTURED_PLANT
10	E048	H3-S003	chy	b921a237be883a820352	SECOND_USE_FRAME	RESUME_CURRENT	RESERVED_FLOWER_PORTION_ACTIVE	diesen zurückbehaltenen Posten aktiv halten	RESERVED_SECOND_USE	H3_PICTURED_PLANT
11	E049	H3-S003	kchy	b2812c8283c3a62438bd	RESERVED_FLOWER_PORTION_ACTIVE	PREPARE_DRINK	DRINK_PREPARATION_2	daraus einen Trank bereiten	RESERVED_SECOND_USE	H3_PICTURED_PLANT
12	E050	H3-S003	dy	b921a237be883a820352	DRINK_PREPARATION_2	RESUME_CURRENT	DRINK_PREPARATION_2	diesen Trank weiterführen	RESERVED_SECOND_USE	H3_PICTURED_PLANT
13	E051	H3-S003	daiin	2f1c5e56e8f0ff459065	DRINK_PREPARATION_2	BIND_MEASURE	MEASURED_DRINK_2	Sollmaß für den zweiten Trank setzen	RESERVED_SECOND_USE	H3_PICTURED_PLANT
14	E052	H3-S004	qotchy	a48efd6c4491a046ba78	MEASURED_DRINK_2	RECALL_RESERVED_FLOWERS	MEASURED_DRINK_WITH_RESERVED_FLOWERS	die zurückbehaltenen Blüten in den zweiten Gebrauch nehmen	RESERVED_SECOND_USE	H3_PICTURED_PLANT
15	E053	H3-S004	okchol	322281bd391aa621f568	MEASURED_DRINK_WITH_RESERVED_FLOWERS	ACTIVATE_CONTINUATION	ACTIVE_SECOND_PREPARATION	Fortsetzung in Arbeit setzen	RESERVED_SECOND_USE	H3_PICTURED_PLANT
16	E054	H3-S004	cthy	e0b630cb1b5df5e7105b	ACTIVE_SECOND_PREPARATION	CHECK_READY	READY_SECOND_PREPARATION	zweite Zubereitung bereitstellen	RESERVED_SECOND_USE	H3_PICTURED_PLANT
17	E055	H3-S004	dy	b921a237be883a820352	READY_SECOND_PREPARATION	RESUME_FINAL_ITEM	READY_SECOND_PREPARATION	dieser fertige Posten	RESERVED_SECOND_USE	H3_PICTURED_PLANT
