clause_id	physical_page	register	start_event	end_event	events	learned_card_events	composed_events	spoken_units	end_reason	hybrid_card_translation_de	event_ids
P915-C001	f10r	HERBAL	P912-E0001	P912-E0039	39	14	25	38	LICENSED_DY_CLOSE	gebildete Karte: Material einsetzen, bezeichneten Anteil entnehmen, Arbeitsgang ausführen, bis bereit führen, dieser Arbeitsgegenstand; dann gebildete Karte: Arbeitsgegenstand halten, Ansatz oder Zubereitung; dann gebildete Karte: Arbeitsgang ausführen, bis bereit führen, Arbeitsgang ausführen, bezeichneter Teil, dieser Arbeitsgegenstand; dann gebildete Karte: bezeichneten Anteil entnehmen, Ansatz oder Zubereitung, bezeichneten Anteil entnehmen, dieser Arbeitsgegenstand; dann gebildete Karte: Material einsetzen, bezeichneten Anteil entnehmen, Arbeitsgang ausführen, bezeichneter Teil, im selben Arbeitsgang fortfahren; dann gebildete Karte: bezeichneten Anteil entnehmen, Arbeitsgang ausführen, Material einsetzen, bezeichneten Anteil entnehmen, Ziel- oder Anschlussstelle; dann gebildete Karte: dieser Arbeitsgegenstand, Material einsetzen, bezeichneten Anteil entnehmen; dann gebildete Karte: Material zugeben, Arbeitsgang ausführen, im Mittelgang ausführen; dann gebildete Karte: bezeichneten Anteil entnehmen, kurz oder direkt, dieser Arbeitsgegenstand; dann gebildete Karte: bis bereit führen, Arbeitsgang ausführen, Ansatz oder Zubereitung; dann Merkformel: aus der quelle; dann gebildete Karte: bezeichneten Anteil entnehmen, Arbeitsgang einstellen, dieser Arbeitsgegenstand; dann gebildete Karte: dazu oder außerdem; dann gebildete Karte: bezeichneten Anteil entnehmen, Flüssigkeits- oder Stationslauf; dann gebildete Karte: danach oder nächster Posten, dieser Arbeitsgegenstand, Arbeitsgang einstellen, bezeichneten Anteil entnehmen, im selben Arbeitsgang fortfahren; dann Merkformel: diesen posten ansetzen; dann Merkformel: nach sollmaß; dann gebildete Karte: kurz oder direkt, Arbeitsgang einstellen, dieser Arbeitsgegenstand; dann Merkformel: der naechste ansatz; dann Merkformel: arbeitsgang ausführen; dann gebildete Karte: Arbeitsgang einstellen, dieser Arbeitsgegenstand; dann Merkformel: nach sollmaß; dann gebildete Karte: bezeichneten Anteil entnehmen, Arbeitsgang ausführen, bis bereit führen, dieser Arbeitsgegenstand; dann Merkformel: danach dieser posten; dann Merkformel: damit weiter; dann Merkformel: der ansatz; dann gebildete Karte: dieser Arbeitsgegenstand, Arbeitsgang einstellen, dieser Arbeitsgegenstand; dann Merkformel: dieser posten (2×); dann gebildete Karte: Arbeitsvariante auswählen, Ansatz oder Zubereitung; dann gebildete Karte: bezeichneten Anteil entnehmen, Sollmaß; dann gebildete Karte: bezeichneten Anteil entnehmen, bis bereit führen, dieser Arbeitsgegenstand; dann gebildete Karte: bis bereit führen, Arbeitsgang ausführen; dann Merkformel: durch den durchlass führen; dann Merkformel: der ansatz; dann Merkformel: nach sollmaß; dann gebildete Karte: bezeichneten Anteil entnehmen, Arbeitsgang einstellen, bezeichneten Anteil entnehmen, Ansatz oder Zubereitung; dann gebildete Karte: bezeichneter Teil, Arbeitsgang ausführen, Arbeitsstufe, Zustand kennzeichnen; dann gebildete Karte: Arbeitsgang ausführen, Arbeitsschritt schließen. Arbeitszug beendet.	P912-E0001|P912-E0002|P912-E0003|P912-E0004|P912-E0005|P912-E0006|P912-E0007|P912-E0008|P912-E0009|P912-E0010|P912-E0011|P912-E0012|P912-E0013|P912-E0014|P912-E0015|P912-E0016|P912-E0017|P912-E0018|P912-E0019|P912-E0020|P912-E0021|P912-E0022|P912-E0023|P912-E0024|P912-E0025|P912-E0026|P912-E0027|P912-E0028|P912-E0029|P912-E0030|P912-E0031|P912-E0032|P912-E0033|P912-E0034|P912-E0035|P912-E0036|P912-E0037|P912-E0038|P912-E0039
P915-C002	f10r	HERBAL	P912-E0040	P912-E0092	53	27	26	52	PAGE_END_OPEN	Merkformel: diesen posten ansetzen; dann gebildete Karte: danach oder nächster Posten, bezeichneten Anteil entnehmen, im selben Arbeitsgang fortfahren; dann Merkformel: damit weiter; dann Merkformel: bis bereit führen; dann gebildete Karte: dieser Arbeitsgegenstand, Auszug, Zustand kennzeichnen; dann Merkformel: bis bereit führen; dann Merkformel: vom ansatz entnehmen; dann gebildete Karte: bis bereit führen, Sollmaß; dann gebildete Karte: neuen Kartenblock beginnen, Arbeitsgang ausführen, bis bereit führen, im selben Arbeitsgang fortfahren, dieser Arbeitsgegenstand; dann Merkformel: dieser posten (2×); dann gebildete Karte: Arbeitsgang einstellen, Sollmaß; dann Merkformel: dieser posten; dann gebildete Karte: bezeichneter Teil, dieser Arbeitsgegenstand; dann gebildete Karte: Arbeitsgang ansetzen, im selben Arbeitsgang fortfahren; dann Merkformel: dieser posten; dann gebildete Karte: Material zugeben, bezeichneten Anteil entnehmen, Sollmaß; dann gebildete Karte: dieser Arbeitsgegenstand, Arbeitsgang einstellen, dieser Arbeitsgegenstand; dann Merkformel: nach sollmaß; dann gebildete Karte: bis bereit führen; dann Merkformel: eine portion; dann gebildete Karte: bezeichneter Teil, Flüssigkeits- oder Stationslauf; dann Merkformel: an der innenstelle; dann gebildete Karte: danach oder nächster Posten, bezeichneten Anteil entnehmen, Ansatz oder Zubereitung; dann Merkformel: vom ansatz entnehmen; dann gebildete Karte: danach oder nächster Posten, im selben Arbeitsgang fortfahren; dann Merkformel: damit weiter; dann gebildete Karte: im selben Arbeitsgang fortfahren, Ansatz oder Zubereitung; dann Merkformel: damit weiter; dann Merkformel: nach sollmaß; dann Merkformel: aus dem bezeichneten teil; dann gebildete Karte: Arbeitsgang ausführen, dieser Arbeitsgegenstand, Material zugeben, bezeichneten Anteil entnehmen, Ansatz oder Zubereitung; dann gebildete Karte: Arbeitsgegenstand halten, Ansatz oder Zubereitung; dann Merkformel: vom ansatz entnehmen; dann Merkformel: dieser posten; dann gebildete Karte: Material zugeben, lokale Arbeitsstelle, auf der Unterstufe, Arbeitsstufe; dann Merkformel: dieser posten; dann gebildete Karte: bezeichneten Anteil entnehmen, Arbeitsgang ausführen, bezeichneter Teil, Sollmaß; dann gebildete Karte: Arbeitsgang ausführen, danach oder nächster Posten, Ansatz oder Zubereitung; dann Merkformel: der naechste ansatz; dann gebildete Karte: trennen, dieser Arbeitsgegenstand; dann gebildete Karte: bis bereit führen, Ansatz oder Zubereitung; dann gebildete Karte: Arbeitsgang ausführen, Arbeitsvariante auswählen, Portion; dann gebildete Karte: dieser Arbeitsgegenstand, Arbeitsgang einstellen, Arbeitsgang ausführen, Arbeitsstufe; dann gebildete Karte: danach oder nächster Posten, bezeichneten Anteil entnehmen, Arbeitsgang ausführen, Arbeitsgegenstand halten, Ansatz oder Zubereitung; dann Merkformel: danach dieser posten; dann Merkformel: der naechste ansatz; dann gebildete Karte: bis bereit führen, dieser Arbeitsgegenstand, bezeichneter Teil; dann Merkformel: danach aus der quelle; dann gebildete Karte: Arbeitsgang ausführen, bezeichneter Teil, Sollmaß; dann Merkformel: nach sollmaß; dann Merkformel: danach dieser posten; dann Merkformel: der naechste ansatz. Zur Fortsetzung offen.	P912-E0040|P912-E0041|P912-E0042|P912-E0043|P912-E0044|P912-E0045|P912-E0046|P912-E0047|P912-E0048|P912-E0049|P912-E0050|P912-E0051|P912-E0052|P912-E0053|P912-E0054|P912-E0055|P912-E0056|P912-E0057|P912-E0058|P912-E0059|P912-E0060|P912-E0061|P912-E0062|P912-E0063|P912-E0064|P912-E0065|P912-E0066|P912-E0067|P912-E0068|P912-E0069|P912-E0070|P912-E0071|P912-E0072|P912-E0073|P912-E0074|P912-E0075|P912-E0076|P912-E0077|P912-E0078|P912-E0079|P912-E0080|P912-E0081|P912-E0082|P912-E0083|P912-E0084|P912-E0085|P912-E0086|P912-E0087|P912-E0088|P912-E0089|P912-E0090|P912-E0091|P912-E0092
P915-C003	f11r	HERBAL	P912-E0093	P912-E0099	7	1	6	7	LICENSED_DY_CLOSE	gebildete Karte: Arbeitsgang einstellen, Arbeitsgegenstand halten, im selben Arbeitsgang fortfahren; dann gebildete Karte: Arbeitsgegenstand halten, Arbeitsgang ausführen, Ziel- oder Anschlussstelle; dann gebildete Karte: trennen, dieser Arbeitsgegenstand; dann gebildete Karte: Arbeitsgegenstand halten, dieser Arbeitsgegenstand, Sollmaß; dann gebildete Karte: umleiten, dieser Arbeitsgegenstand; dann Merkformel: kurz halten; dann gebildete Karte: Arbeitsgang einstellen, bezeichneten Anteil entnehmen, Arbeitsgang ausführen, Arbeitsschritt schließen. Arbeitszug beendet.	P912-E0093|P912-E0094|P912-E0095|P912-E0096|P912-E0097|P912-E0098|P912-E0099
P915-C004	f11r	HERBAL	P912-E0100	P912-E0151	52	26	26	51	PAGE_END_OPEN	gebildete Karte: Arbeitsgegenstand halten, Arbeitsgang ausführen, dieser Arbeitsgegenstand, Arbeitsgang einstellen, dieser Arbeitsgegenstand; dann gebildete Karte: Arbeitsvariante auswählen, Arbeitsgang ausführen, bis bereit führen, Arbeitsgang ausführen, bezeichneter Teil, dieser Arbeitsgegenstand; dann gebildete Karte: neuen Kartenblock beginnen, Arbeitsgang ausführen, bezeichneter Teil, Ansatz oder Zubereitung; dann Merkformel: dieser posten; dann gebildete Karte: Material zugeben, Arbeitsgegenstand halten, dieser Arbeitsgegenstand; dann Merkformel: nach sollmaß; dann gebildete Karte: dieser Arbeitsgegenstand, Arbeitsgang einstellen, dieser Arbeitsgegenstand; dann gebildete Karte: dieser Arbeitsgegenstand, Arbeitsgang einstellen, Arbeitsgang ansetzen, dieser Arbeitsgegenstand; dann gebildete Karte: Material zugeben, im selben Arbeitsgang fortfahren; dann Merkformel: nach sollmaß; dann Merkformel: danach dieser posten; dann Merkformel: damit weiter; dann Merkformel: bis bereit führen; dann gebildete Karte: bezeichneter Teil, Ansatz oder Zubereitung; dann gebildete Karte: dieser Arbeitsgegenstand, Material zugeben, dieser Arbeitsgegenstand, bezeichneten Anteil entnehmen, dieser Arbeitsgegenstand; dann gebildete Karte: bezeichneten Anteil entnehmen, danach oder nächster Posten, dieser Arbeitsgegenstand; dann Merkformel: eine portion; dann gebildete Karte: bezeichneten Anteil entnehmen, Sollmaß; dann Merkformel: nach sollmaß; dann gebildete Karte: bezeichneter Teil, Arbeitsgang ausführen, bezeichneter Teil; dann gebildete Karte: bezeichneter Teil, im selben Arbeitsgang fortfahren; dann Merkformel: dieser posten; dann gebildete Karte: Material zugeben, dieser Arbeitsgegenstand; dann Merkformel: dieser posten; dann Merkformel: nach sollmaß; dann gebildete Karte: Arbeitsgang einstellen, im selben Arbeitsgang fortfahren; dann gebildete Karte: Arbeitsgegenstand halten, Ansatz oder Zubereitung (2×); dann gebildete Karte: bezeichneter Teil, Material zugeben, dieser Arbeitsgegenstand; dann Merkformel: dieser posten; dann Merkformel: nach sollmaß; dann Merkformel: bis bereit führen; dann Merkformel: der bezeichnete teil; dann Merkformel: dieser posten; dann gebildete Karte: bezeichneten Anteil entnehmen, Arbeitsgang ausführen, bezeichneter Teil, entlang des Arbeitswegs führen; dann Merkformel: nach sollmaß; dann gebildete Karte: Arbeitsgang ausführen, bezeichneter Teil, entlang des Arbeitswegs führen; dann Merkformel: der bezeichnete teil; dann Merkformel: variante wählen; dann Merkformel: dieser posten; dann gebildete Karte: danach oder nächster Posten, im selben Arbeitsgang fortfahren; dann gebildete Karte: bezeichneten Anteil entnehmen, Sollmaß; dann gebildete Karte: dieser Arbeitsgegenstand, Material zugeben, bezeichneten Anteil entnehmen, Ansatz oder Zubereitung; dann gebildete Karte: bezeichneter Teil, Flüssigkeits- oder Stationslauf; dann gebildete Karte: bezeichneten Anteil entnehmen, Arbeitsgang ausführen, bezeichneter Teil, dieser Arbeitsgegenstand; dann Merkformel: bis bereit führen; dann Merkformel: variante wählen; dann Merkformel: nach sollmaß; dann Merkformel: danach dieser posten; dann gebildete Karte: Arbeitsgang ansetzen, im selben Arbeitsgang fortfahren; dann Merkformel: bis bereit führen; dann Merkformel: dieser posten. Zur Fortsetzung offen.	P912-E0100|P912-E0101|P912-E0102|P912-E0103|P912-E0104|P912-E0105|P912-E0106|P912-E0107|P912-E0108|P912-E0109|P912-E0110|P912-E0111|P912-E0112|P912-E0113|P912-E0114|P912-E0115|P912-E0116|P912-E0117|P912-E0118|P912-E0119|P912-E0120|P912-E0121|P912-E0122|P912-E0123|P912-E0124|P912-E0125|P912-E0126|P912-E0127|P912-E0128|P912-E0129|P912-E0130|P912-E0131|P912-E0132|P912-E0133|P912-E0134|P912-E0135|P912-E0136|P912-E0137|P912-E0138|P912-E0139|P912-E0140|P912-E0141|P912-E0142|P912-E0143|P912-E0144|P912-E0145|P912-E0146|P912-E0147|P912-E0148|P912-E0149|P912-E0150|P912-E0151
P915-C005	f13r	HERBAL	P912-E0152	P912-E0193	42	14	28	42	LICENSED_DY_CLOSE	gebildete Karte: Arbeitsgang einstellen, Ansatz oder Zubereitung, Arbeitsgegenstand halten, Ansatz oder Zubereitung; dann gebildete Karte: Arbeitsgang ausführen, Material einsetzen, dieser Arbeitsgegenstand; dann Merkformel: weiter halten; dann Merkformel: dieser posten; dann gebildete Karte: Arbeitsgang ausführen, Material einsetzen, dieser Arbeitsgegenstand; dann Merkformel: weiter halten; dann gebildete Karte: Arbeitsgang ausführen, Material einsetzen, bezeichneten Anteil entnehmen, Ansatz oder Zubereitung; dann gebildete Karte: bezeichneter Teil, dieser Arbeitsgegenstand, Material einsetzen, dieser Arbeitsgegenstand; dann gebildete Karte: bezeichneter Teil, bezeichneten Anteil entnehmen, einmal ausführen; dann gebildete Karte: bezeichneter Teil, im selben Arbeitsgang fortfahren; dann Merkformel: damit weiter; dann gebildete Karte: bezeichneter Teil, im selben Arbeitsgang fortfahren; dann gebildete Karte: Arbeitsgegenstand halten, Material zugeben, dieser Arbeitsgegenstand; dann gebildete Karte: dieser Arbeitsgegenstand, Ziel- oder Anschlussstelle; dann Merkformel: dieser posten; dann gebildete Karte: dieser Arbeitsgegenstand, Material zugeben, dieser Arbeitsgegenstand; dann Merkformel: danach dieser posten; dann Merkformel: nach sollmaß; dann Merkformel: variante wählen; dann Merkformel: dieser posten; dann Merkformel: variante wählen; dann Merkformel: dieser posten; dann gebildete Karte: bezeichneter Teil, bezeichneten Anteil entnehmen, Ansatz oder Zubereitung; dann gebildete Karte: Arbeitsgegenstand halten, Sollmaß; dann gebildete Karte: Arbeitsgang ausführen, vollständig, Arbeitsvariante auswählen; dann gebildete Karte: dieser Arbeitsgegenstand, Material zugeben, Ansatz oder Zubereitung; dann Merkformel: vom ansatz entnehmen; dann gebildete Karte: dieser Arbeitsgegenstand, Arbeitsgang einstellen, dieser Arbeitsgegenstand; dann gebildete Karte: dieser Arbeitsgegenstand, Material zugeben, dieser Arbeitsgegenstand; dann gebildete Karte: Material zugeben, dieser Arbeitsgegenstand; dann Merkformel: aus dem bezeichneten teil; dann gebildete Karte: Arbeitsgang ausführen, bezeichneter Teil, dieser Arbeitsgegenstand; dann gebildete Karte: dieser Arbeitsgegenstand, Arbeitsgang einstellen, dieser Arbeitsgegenstand; dann gebildete Karte: danach oder nächster Posten, bezeichneten Anteil entnehmen, Ansatz oder Zubereitung; dann gebildete Karte: Arbeitsgegenstand halten, Ansatz oder Zubereitung, Arbeitsgang ausführen, bezeichneter Teil, Arbeitsgang ausführen; dann Merkformel: dieser posten; dann gebildete Karte: Arbeitsgang einstellen, dieser Arbeitsgegenstand; dann gebildete Karte: Material zugeben, im selben Arbeitsgang fortfahren; dann gebildete Karte: bezeichneter Teil, Material einsetzen, dieser Arbeitsgegenstand; dann gebildete Karte: Arbeitsgang ausführen, Material einsetzen, dieser Arbeitsgegenstand; dann gebildete Karte: danach oder nächster Posten, bezeichneten Anteil entnehmen, im selben Arbeitsgang fortfahren; dann gebildete Karte: trennen, im selben Arbeitsgang fortfahren, Arbeitsschritt schließen. Arbeitszug beendet.	P912-E0152|P912-E0153|P912-E0154|P912-E0155|P912-E0156|P912-E0157|P912-E0158|P912-E0159|P912-E0160|P912-E0161|P912-E0162|P912-E0163|P912-E0164|P912-E0165|P912-E0166|P912-E0167|P912-E0168|P912-E0169|P912-E0170|P912-E0171|P912-E0172|P912-E0173|P912-E0174|P912-E0175|P912-E0176|P912-E0177|P912-E0178|P912-E0179|P912-E0180|P912-E0181|P912-E0182|P912-E0183|P912-E0184|P912-E0185|P912-E0186|P912-E0187|P912-E0188|P912-E0189|P912-E0190|P912-E0191|P912-E0192|P912-E0193
P915-C006	f13r	HERBAL	P912-E0194	P912-E0209	16	9	7	16	LICENSED_DY_CLOSE	gebildete Karte: Arbeitsgang einstellen, bezeichneten Anteil entnehmen, Ansatz oder Zubereitung; dann gebildete Karte: bezeichneter Teil, Ansatz oder Zubereitung; dann Merkformel: nach sollmaß; dann gebildete Karte: danach oder nächster Posten, bezeichneten Anteil entnehmen, im selben Arbeitsgang fortfahren; dann Merkformel: diesen posten ansetzen; dann gebildete Karte: Arbeitsgang ansetzen, bezeichneten Anteil entnehmen, Ansatz oder Zubereitung; dann gebildete Karte: Arbeitsgang ausführen, Arbeitsstufe; dann Merkformel: durch den durchlass führen; dann Merkformel: der bezeichnete teil; dann gebildete Karte: bezeichneter Teil, dieser Arbeitsgegenstand; dann Merkformel: diesen posten ansetzen; dann Merkformel: damit weiter; dann Merkformel: dieser posten; dann gebildete Karte: Arbeitsgang ausführen, dieser Arbeitsgegenstand; dann Merkformel: der bezeichnete teil; dann Merkformel: damit fortfahren; ende. Arbeitszug beendet.	P912-E0194|P912-E0195|P912-E0196|P912-E0197|P912-E0198|P912-E0199|P912-E0200|P912-E0201|P912-E0202|P912-E0203|P912-E0204|P912-E0205|P912-E0206|P912-E0207|P912-E0208|P912-E0209
P915-C007	f13r	HERBAL	P912-E0210	P912-E0219	10	5	5	10	LICENSED_DY_CLOSE	gebildete Karte: Arbeitsgang ansetzen, bezeichneten Anteil entnehmen, Ansatz oder Zubereitung; dann gebildete Karte: bezeichneter Teil, Arbeitsgang ausführen, Sollmaß; dann gebildete Karte: Teil des sichtbaren Gegenstands, dieser Arbeitsgegenstand; dann Merkformel: diesen posten ansetzen; dann gebildete Karte: Arbeitsgang einstellen, Ansatz oder Zubereitung, dieser Arbeitsgegenstand; dann gebildete Karte: Material zugeben; dann Merkformel: variante wählen; dann Merkformel: diesen posten ansetzen; dann Merkformel: nach sollmaß; dann Merkformel: damit fortfahren; ende. Arbeitszug beendet.	P912-E0210|P912-E0211|P912-E0212|P912-E0213|P912-E0214|P912-E0215|P912-E0216|P912-E0217|P912-E0218|P912-E0219
P915-C008	f13r	HERBAL	P912-E0220	P912-E0225	6	2	4	6	LICENSED_DY_CLOSE	Merkformel: kurz halten; dann Merkformel: damit weiter; dann gebildete Karte: bezeichneter Teil, Arbeitsgang ausführen, Arbeitsstufe; dann gebildete Karte: dieser Arbeitsgegenstand, Material zugeben, im selben Arbeitsgang fortfahren, dieser Arbeitsgegenstand; dann gebildete Karte: Arbeitsgang ansetzen, bezeichneten Anteil entnehmen, Ziel- oder Anschlussstelle; dann gebildete Karte: Ziel- oder Anschlussstelle, Arbeitsschritt schließen. Arbeitszug beendet.	P912-E0220|P912-E0221|P912-E0222|P912-E0223|P912-E0224|P912-E0225
P915-C009	f13r	HERBAL	P912-E0226	P912-E0228	3	0	3	3	PAGE_END_OPEN	gebildete Karte: Arbeitsvariante auswählen, danach oder nächster Posten, dieser Arbeitsgegenstand; dann gebildete Karte: Material zugeben, dieser Arbeitsgegenstand; dann gebildete Karte: Arbeitsgang ansetzen, Ansatz oder Zubereitung, Ansatz oder Zubereitung, dieser Arbeitsgegenstand. Zur Fortsetzung offen.	P912-E0226|P912-E0227|P912-E0228
P915-C010	f55v	HERBAL	P912-E0229	P912-E0236	8	2	6	8	LICENSED_DY_CLOSE	gebildete Karte: Material zugeben, bezeichneten Anteil entnehmen, länger oder gehalten, bezeichneter Teil, Arbeitsgut umsetzen, dieser Arbeitsgegenstand; dann gebildete Karte: Arbeitsgang ausführen, kurz oder direkt, bezeichneter Teil, Portion; dann Merkformel: durch den durchlass führen; dann gebildete Karte: danach oder nächster Posten, im selben Arbeitsgang fortfahren, bezeichneter Teil, Sollmaß; dann gebildete Karte: bezeichneter Teil, Arbeitsgang ausführen, Arbeitsschritt schließen, am Rand abschließen; dann gebildete Karte: Arbeitsgang ausführen, vollständig, bezeichneter Teil; dann gebildete Karte: dieser Arbeitsgegenstand, Arbeitsgang einstellen, länger oder gehalten, dieser Arbeitsgegenstand; dann Merkformel: länger ansetzen; ende. Arbeitszug beendet.	P912-E0229|P912-E0230|P912-E0231|P912-E0232|P912-E0233|P912-E0234|P912-E0235|P912-E0236
