card_no	event_id	statement_id	record	page	owner_code	left_surface	surface	right_surface	back_value_de	procedure_tokens	three_card_context
PROC003	E003	H1-S001	H1	f10r	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	cthoor	char	chty	von dort	SOURCE_DRAW	cthoor [char] chty
PROC005	E005	H1-S001	H1	f10r	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	chty	os	chair	Arbeitsfach	TARGET_HANDOFF	chty [os] chair
PROC009	E009	H1-S001	H1	f10r	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	oky	daiin	etyd	Maß	METER_CHECK	oky [daiin] etyd
PROC013	E013	H1-S002	H1	f10r	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	qotchol	chol	cthy	fortsetzen	CONTINUE_USE	qotchol [chol] cthy
PROC016	E017	H2-S001	H2	f10r	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	cthy	chor	cthaiin	Ansatz	ACTIVATE_CHARGE	cthy [chor] cthaiin
PROC019	E020	H2-S001	H2	f10r	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	qoctholy	dy	chy	dies	MOVE_PASS	qoctholy [dy] chy
PROC019	E021	H2-S001	H2	f10r	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	dy	chy	taiin	dies	CONTINUE_USE	dy [chy] taiin
PROC009	E022	H2-S001	H2	f10r	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	chy	taiin	shy	Maß	METER_CHECK	chy [taiin] shy
PROC019	E023	H2-S001	H2	f10r	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	taiin	shy	END	dies	TARGET_HANDOFF	taiin [shy] END
PROC016	E025	H2-S002	H2	f10r	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	qotchor	chor	otol	Ansatz	ACTIVATE_CHARGE	qotchor [chor] otol
