component_id	value_de	host_card_types	host_events	example_host_card	example_surface	example_parse	teaching_need
AIR	ARGUMENT: Lauf	5	5	PROC006	chair	CH+AIR	EMBEDDED_COMPONENT_STRIP_REQUIRED
CH	OPERATION: abziehen	14	15	PROC001	dchey	CH+E+Y	EMBEDDED_COMPONENT_STRIP_REQUIRED
CHD	OPERATION: umsetzen	22	48	PROC042	chdy|chedy	CHD+Y	EMBEDDED_COMPONENT_STRIP_REQUIRED
CHK	OPERATION: waermen	4	7	PROC046	cheeky	CHK+EE+Y	EMBEDDED_COMPONENT_STRIP_REQUIRED
CKH	OPERATION: Durchlass	9	14	PROC057	cheeckhody	CH+EE+CKH+O+DY	EMBEDDED_COMPONENT_STRIP_REQUIRED
CTH	STATE: bereit	8	15	PROC002	cthoor	CTH+O+OR	EMBEDDED_COMPONENT_STRIP_REQUIRED
DY	ENDPOINT: Schluss	36	88	PROC032	tchody	T+CH+O+DY	EMBEDDED_COMPONENT_STRIP_REQUIRED
E	GRADE: kurz	33	48	PROC001	dchey	CH+E+Y	EMBEDDED_COMPONENT_STRIP_REQUIRED
EE	GRADE: laenger	16	36	PROC046	cheeky	CHK+EE+Y	EMBEDDED_COMPONENT_STRIP_REQUIRED
EEE	GRADE: vollstaendig	2	2	PROC119	qokeeedy	OK+EEE+DY	EMBEDDED_COMPONENT_STRIP_REQUIRED
IIN	ARGUMENT: Sollstufe	3	4	PROC024	kaiiin	K+IIN	EMBEDDED_COMPONENT_STRIP_REQUIRED
K	OPERATION: zufuehren	18	21	PROC023	oykchor	O+Y+K+OR	EMBEDDED_COMPONENT_STRIP_REQUIRED
LDDY	ENDPOINT: befestigen und schliessen	1	1	PROC155	qokylddy	OK+Y+LDDY	EMBEDDED_COMPONENT_STRIP_REQUIRED
LSH	OPERATION: Waschgang	2	3	PROC084	lsho	LSH+O	EMBEDDED_COMPONENT_STRIP_REQUIRED
O	FRAME: Arbeitsgang	18	19	PROC002	cthoor	CTH+O+OR	EMBEDDED_COMPONENT_STRIP_REQUIRED
OK	FRAME: ansetzen	23	79	PROC008	choky|oky|qoky	OK+Y	EMBEDDED_COMPONENT_STRIP_REQUIRED
OT	FRAME: danach	16	26	PROC007	otytchol	OT+Y+T+CH+OL	EMBEDDED_COMPONENT_STRIP_REQUIRED
P	OPERATION: hinein	3	3	PROC030	cphy	P+Y	EMBEDDED_COMPONENT_STRIP_REQUIRED
R	OPERATION: abkuehlen	6	6	PROC071	rol	R+OL	EMBEDDED_COMPONENT_STRIP_REQUIRED
SHED	OPERATION: absetzen	3	15	PROC078	cheedy|shedy|tedy	SHED+DY	EMBEDDED_COMPONENT_STRIP_REQUIRED
SOLK	OPERATION: auffangen	5	7	PROC087	qolky	SOLK+Y	EMBEDDED_COMPONENT_STRIP_REQUIRED
T	OPERATION: eintragen	9	10	PROC004	chety|chty	T+Y	EMBEDDED_COMPONENT_STRIP_REQUIRED
