position	locus	source_id	form	value	denotation	clause	anchor_eligible	confirmed
1	f111r.51	ZL3b|f111r.51|G001	polkeeo	WATER	Apparatus water raising F; no numerical volume, level, pressure or flow law.	C01	False	0
2	f111r.51	ZL3b|f111r.51|G002	shey	RAISES	The supplied source raises the separately supplied part. No counterweight or wheel consequence is packed into this word.	C01	False	0
3	f111r.51	ZL3b|f111r.51|G003	cheokeain	FLOAT	The phellos/float of the source apparatus, one persistent part.	C01	False	0
4	f111r.51	ZL3b|f111r.51|G004	chl	SAND_COUNTERWEIGHT	The sand counterpoise, distinct from F, X and W. Composite part description.	C01	False	0
5	f111r.51	ZL3b|f111r.51|G005	kar	DESCENDS	Supplied part moves downward in the current operating episode; amount/speed unspecified.	C01	False	0
6	f111r.51	ZL3b|f111r.51|G006	r	TURNS	The first supplied part makes the second rotate. Neither part nor the whole mechanical chain is encoded here.	C01	False	0
7	f111r.51	ZL3b|f111r.51|G007	aiin	MOTION	Same event-kind/referential constructor at7/24/27; participant and episode separately supplied. Motion of W at7/24 and progression of I at27 are distinct events of this kind, never a number or an unannounced verb.	C01	False	0
8	f111r.51	ZL3b|f111r.51|G008	char	WHEEL	Same physical display wheel at8/23; no fresh later wheel. Zodiac attachment is a declared apparatus assumption.	C01	False	0
9	f111r.51	ZL3b|f111r.51|G009	?ain	AXIS	Same axle turned by C and transmitting to W. Uncertain raw form remains unresolved.	C01	False	0
10	f111r.51	ZL3b|f111r.51|G010	al	THIS	One demonstrative operation at10/15;10 resumes X9 and15 resumes A(s)14. Different supplied antecedents, no per-occurrence word meaning.	C01	False	0
11	f111r.51	ZL3b|f111r.51|G011	lkeedy	TRANSMITS	Supplied part transmits its rotation to the supplied target motion. Both source part and target event/participant required. No calendar-index linkage is encoded.	C01	False	0
12	f111r.51	ZL3b|f111r.51|G012	qokal	ZODIAC	Same zodiac circle/display at12/38. No named constellation list, twelve-sign count or image match.	C02	False	0
13	f111r.51	ZL3b|f111r.51|G013	okchy	GREATER_OR_SMALLER	Supplied moving region of the same circle has greater extent at some times and smaller at others. Region, owner and season/time arguments external; no angle, ratio or exact seasonal direction.	C02	False	0
14	f111r.52	ZL3b|f111r.52|G001	dair	PART	Same relational-part constructor at14/37. Seasonal role yields moving region A(s); month role yields sign S(m) of the same Z. These are not one identical segment. Owner/role rules are explicit costs.	C02	False	0
15	f111r.52	ZL3b|f111r.52|G002	al	THIS	One demonstrative operation at10/15;10 resumes X9 and15 resumes A(s)14. Different supplied antecedents, no per-occurrence word meaning.	C02	False	0
16	f111r.52	ZL3b|f111r.52|G003	qokeey	ADJUSTS	Supplied configuration adjusts the hour display to the supplied season. No numerical hour length, drive rate, inverse formula or solstice values.	C02	False	0
17	f111r.52	ZL3b|f111r.52|G004	qokaiin	HOURS	Same hours at17/33, in seasonal adaptation and shown spaces. No hour count or modern fixed duration.	C02	False	0
18	f111r.52	ZL3b|f111r.52|G005	sheal	SEASONS	Source seasonal conditions; no named dates, measured interval or calendar table.	C02	False	0
19	f111r.52	ZL3b|f111r.52|G006	qokeain	MONTH	Same bound month for sign, holes, days and period. Same denotation as separately counted otain; no length.	C03	False	0
20	f111r.52	ZL3b|f111r.52|G007	shckhy	HOLES	H(S(m)), holes in supplied sign; no count or numbered starting/order convention.	C03	False	0
21	f111r.52	ZL3b|f111r.52|G008	sain	EQUINUMEROUS	Two external collections have equal size. Neither HOLES, DAYS nor MONTH is packed into the operator.	C03	False	0
22	f111r.52	ZL3b|f111r.52|G009	chckhy	DAYS	D(m), days of supplied same month; no particular month length or numeral.	C03	False	0
23	f111r.52	ZL3b|f111r.52|G010	char	WHEEL	Same physical display wheel at8/23; no fresh later wheel. Zodiac attachment is a declared apparatus assumption.	C02	False	0
24	f111r.52	ZL3b|f111r.52|G011	aiin	MOTION	Same event-kind/referential constructor at7/24/27; participant and episode separately supplied. Motion of W at7/24 and progression of I at27 are distinct events of this kind, never a number or an unannounced verb.	C02	False	0
25	f111r.52	ZL3b|f111r.52|G012	alom	BY	Attributes the described variation and adjustment to separately supplied wheel motion. No season, circle or motion participant encoded.	C02	False	0
26	f111r.53	ZL3b|f111r.53|G001	yshe	INDEX_USUALLY_SUN	Dial index of the kind generally represented as the sun. Usual source description, not a universal guarantee of every index shape. Movement/display separately predicated.	C04	False	0
27	f111r.53	ZL3b|f111r.53|G002	aiin	MOTION	Same event-kind/referential constructor at7/24/27; participant and episode separately supplied. Motion of W at7/24 and progression of I at27 are distinct events of this kind, never a number or an unannounced verb.	C04	False	0
28	f111r.53	ZL3b|f111r.53|G003	okshdy	FROM_HOLE	Origin hole h belongs to H(S(m)); supplied by current month-sign context. No zero-based start.	C04	False	0
29	f111r.53	ZL3b|f111r.53|G004	shkeey	TO_ANOTHER_HOLE	Destination h_prime in same H(S(m)), distinct from that step’s source. No numbered adjacency, daily rate or wrap.	C04	False	0
30	f111r.53	ZL3b|f111r.53|G005	kain	WHILE	Supplied assertions hold during specified progression. No actuator or single-step-as-month assumption.	C04	False	0
31	f111r.53	ZL3b|f111r.53|G006	chaiin	SHOWS	Indicator shows supplied spaces; no hour or period value hidden in the verb.	C04	False	0
32	f111r.53	ZL3b|f111r.53|G007	alolshey	SPACES	Display spaces of external HOURS argument; no fresh hour kind or duration quantity.	C04	False	0
33	f111r.53	ZL3b|f111r.53|G008	qokaiin	HOURS	Same hours at17/33, in seasonal adaptation and shown spaces. No hour count or modern fixed duration.	C04	False	0
34	f111r.53	ZL3b|f111r.53|G009	chcthydain	COMPLETES	Supplied history completes supplied period. No month identity, length, step count or start/end hole convention supplied here.	C04	False	0
35	f111r.54	ZL3b|f111r.54|G001	tair	PERIOD	T(m) of supplied month. Individual hole-to-hole step is not declared equal to T(m).	C04	True	0
36	f111r.54	ZL3b|f111r.54|G002	chckhaiin	EACH	For each external m, supplied sign/holes/days predicate holds. No complete calendar law hidden.	C03	True	0
37	f111r.54	ZL3b|f111r.54|G003	dair	PART	Same relational-part constructor at14/37. Seasonal role yields moving region A(s); month role yields sign S(m) of the same Z. These are not one identical segment. Owner/role rules are explicit costs.	C03	True	0
38	f111r.54	ZL3b|f111r.54|G004	qokal	ZODIAC	Same zodiac circle/display at12/38. No named constellation list, twelve-sign count or image match.	C03	True	0
39	f111r.54	ZL3b|f111r.54|G005	otain	MONTH	Same MONTH denotation as qokeain, separately counted synonym. Resumes C03 m for C04 period/progression.	C04	True	0
40	f111r.54	ZL3b|f111r.54|G006	okal	WHOLE	Entire supplied period T(m); not all holes once, n moves, n−1 moves, reset or wrap.	C04	True	0
