job_id	selection_id	choice_order	choice_type	page	source_module	visible_owner_loci	source_group_ids	visible_surface_sequence	selected_when_value_de	current_prose_echoes	selection_reason_de	orientation	crosspage_key
J1_ROOT_AND_LEAF_BASIN	D1-C01-RIGHT-SECTOR-08	1	SECTOR	f67r2	M67_RIGHT_SECTORS	f67r2.8	A1:G018	chkchdar	Ausgangssektor 8: Zustand auf Übertragung vom Ausgang einstellen	NONE	passt zum Wurzelansatz, der vom Vorrat in das gemeinsame Becken übergeben wird	NONE__CHOOSE_VISIBLE_OWNER	NONE__OPTIONAL_JOB_SCENARIO
J1_ROOT_AND_LEAF_BASIN	D1-C02-LONG-CLOSED-GRADE	2	RING_RULE	f67r2	M67_RIGHT_RING_RULES	f67r2.14	A1:G033;A1:G034;A1:G035	soeey doiin oldy	lange Stufe wählen, Bedingungsgrad notieren und die Fortsetzung schließen	oldy=fortsetzen; abschließen	macht aus dem allgemeinen Beckenprogramm einen langen, abgeschlossenen Badgang	NONE__CHOOSE_VISIBLE_OWNER	NONE__OPTIONAL_JOB_SCENARIO
J1_ROOT_AND_LEAF_BASIN	D1-C03-LONG-PHASE	3	PHASE	f67r2	M67_RIGHT_PHASES	f67r2.66	A1:G148	cpheey	Phasenstelle 3: lange oder volle Phase	NONE	verstärkt die längere Halte- und Ruhephase des Wurzelbades	NONE__CHOOSE_VISIBLE_OWNER	NONE__OPTIONAL_JOB_SCENARIO
J1_ROOT_AND_LEAF_BASIN	D1-C04-PLACE-GRADE	4	LEGEND_VALUE	f67r2	M67_SHARED_LEGEND	f67r2.74	A1:G184	aiin	Sollgrad des gewählten Himmelsplatzes übernehmen	aiin=Sollmaß	liefert dem sichtbaren Sollmaß der Badzubereitung den Auftragsgrad	NONE__CHOOSE_VISIBLE_OWNER	NONE__OPTIONAL_JOB_SCENARIO
J2_CLEAR_EXTRACT_STATIONS	D2-C01-RELEASED-READOUT	1	PANEL_MODE	f68r1	M68_PANEL_HEADERS	f68r1.2	A2:G013	cheey	mittleres Paneel: freigegebenen Ablesewert verwenden	cheey=Klarlauf	entspricht dem nach Standzeit und Nachseihen freigegebenen Klarauszug	NONE__CHOOSE_VISIBLE_OWNER	NONE__OPTIONAL_JOB_SCENARIO
J2_CLEAR_EXTRACT_STATIONS	D2-C02-TRANSFER-STATION-21	2	STAR_STATION	f68r1	M68_STAR_STATIONS	f68r1.29	A2:G053	ykchdy	Sternstation 21: den gewählten Wert oder Posten übertragen	NONE	passt zur anschließenden Weitergabe des Klarauszugs durch die lokalen Stationen	NONE__CHOOSE_VISIBLE_OWNER	NONE__OPTIONAL_JOB_SCENARIO
J2_CLEAR_EXTRACT_STATIONS	D2-C03-BASE-GRADE	3	CENTER_GRADE	f68r1	M68_CENTER_KEY	f68r1.37	A2:G065	oygy	im Zentrum den aktuellen Grundgrad lesen	NONE	gibt der gewählten Übertragungsstation einen einfachen gemeinsamen Grad	NONE__CHOOSE_VISIBLE_OWNER	NONE__OPTIONAL_JOB_SCENARIO
J3_BOUND_APPLICATION_SERVICE	D3-C01-SLOT-22-LONG-HOLD	1	RADIAL_SLOT	f69v	M69_LEFT_28_SLOTS	f69v.25	A3:G131;A3:G132	okeey dy	linker Platz 22: den aktuellen Posten in langer Stufe setzen	okeey=länger einwirken | dy=dieser Posten	passt zum länger gehaltenen gelagerten Ansatz und zur Tuchanwendung	NONE__CHOOSE_VISIBLE_OWNER	NONE__OPTIONAL_JOB_SCENARIO
J3_BOUND_APPLICATION_SERVICE	D3-C02-MIDDLE-LONG-HOLD	2	QUALITY_VALUE	f69v	M69_MIDDLE_QUALITY	f69v.2	A3:G053	sheey	mittlere Qualität: diese Stellung länger halten	sheey=halten · länger · Posten	macht die Dauer zur Qualitätsbedingung der örtlichen Anwendung	NONE__CHOOSE_VISIBLE_OWNER	NONE__OPTIONAL_JOB_SCENARIO
J3_BOUND_APPLICATION_SERVICE	D3-C03-RIGHT-FIXED-STATE	3	LIGHT_OR_STATE_VALUE	f69v	M69_RIGHT_LIGHT	f69v.3	A3:G097	dchy	rechtes Rad: festen Zustand wählen	NONE	passt zum Festmachen der Anwendung und verhindert einen offenen Endzustand	NONE__CHOOSE_VISIBLE_OWNER	NONE__OPTIONAL_JOB_SCENARIO
