section_id	register	page	unit_count	group_count	template_sequence	template_counts
H1	PROSE	f10r	2	14	P_FLOW > P_PREPARE	P_FLOW:1|P_PREPARE:1
H2	PROSE	f10r	3	24	P_MEASURE > P_MEASURE > P_MEASURE	P_MEASURE:3
H3	PROSE	f11r	4	17	P_FILTER > P_PREPARE > P_MEASURE > P_PREPARE	P_FILTER:1|P_MEASURE:1|P_PREPARE:2
H4	PROSE	f55v	4	18	P_MEASURE > P_TRANSFER > P_WARM > P_MEASURE	P_MEASURE:2|P_TRANSFER:1|P_WARM:1
H5	PROSE	f56r	6	27	P_MEASURE > P_FLOW > P_PREPARE > P_PREPARE > P_APPLICATION > P_MEASURE	P_APPLICATION:1|P_FLOW:1|P_MEASURE:2|P_PREPARE:2
B1	PROSE	f81v	21	66	P_PREPARE > P_FLOW > P_TRANSFER > P_SETTLE > P_TRANSFER > P_FLOW > P_TRANSFER > P_WARM > P_PREPARE > P_PREPARE > P_FLOW > P_WASH > P_WASH > P_TRANSFER > P_TRANSFER > P_SETTLE > P_TRANSFER > P_COLLECT > P_SETTLE > P_FILTER > P_PREPARE	P_COLLECT:1|P_FILTER:1|P_FLOW:3|P_PREPARE:4|P_SETTLE:3|P_TRANSFER:6|P_WARM:1|P_WASH:2
B2	PROSE	f82r	22	62	P_TRANSFER > P_TRANSFER > P_MEASURE > P_FILTER > P_WARM > P_FLOW > P_SETTLE > P_SETTLE > P_SETTLE > P_FILTER > P_MEASURE > P_FILTER > P_TRANSFER > P_TRANSFER > P_FILTER > P_TRANSFER > P_PREPARE > P_PREPARE > P_WASH > P_PREPARE > P_PREPARE > P_TRANSFER	P_FILTER:4|P_FLOW:1|P_MEASURE:2|P_PREPARE:4|P_SETTLE:3|P_TRANSFER:6|P_WARM:1|P_WASH:1
B3	PROSE	f83r	34	86	P_COLLECT > P_WARM > P_TRANSFER > P_MEASURE > P_TRANSFER > P_TRANSFER > P_TRANSFER > P_TRANSFER > P_PREPARE > P_TRANSFER > P_TRANSFER > P_SETTLE > P_MEASURE > P_SETTLE > P_TRANSFER > P_TRANSFER > P_PREPARE > P_SETTLE > P_SETTLE > P_TRANSFER > P_SETTLE > P_TRANSFER > P_TRANSFER > P_TRANSFER > P_TRANSFER > P_SETTLE > P_PREPARE > P_PREPARE > P_PREPARE > P_FLOW > P_PREPARE > P_TRANSFER > P_TRANSFER > P_SETTLE	P_COLLECT:1|P_FLOW:1|P_MEASURE:2|P_PREPARE:6|P_SETTLE:7|P_TRANSFER:16|P_WARM:1
B4	PROSE	f83r	16	47	P_PREPARE > P_PREPARE > P_SETTLE > P_APPLICATION > P_TRANSFER > P_FILTER > P_FILTER > P_WARM > P_SETTLE > P_PREPARE > P_WARM > P_TRANSFER > P_SETTLE > P_FLOW > P_FILTER > P_SETTLE	P_APPLICATION:1|P_FILTER:3|P_FLOW:1|P_PREPARE:3|P_SETTLE:4|P_TRANSFER:2|P_WARM:2
B5	PROSE	f83r	3	11	P_TRANSFER > P_TRANSFER > P_SETTLE	P_SETTLE:1|P_TRANSFER:2
B6	PROSE	f83r	1	9	P_COLLECT	P_COLLECT:1
f67r2	ASTRO	f67r2	74	190	A_CLASS_FIELD > A_GRADE_VALUE > A_MARK_SELECT > A_CLASS_FIELD > A_MARK_SELECT > A_LOCAL_ENTRY > A_CLASS_FIELD > A_LOCAL_ENTRY > A_SOURCE_TARGET > A_LOCAL_ENTRY > A_CLASS_FIELD > A_CLASS_FIELD > A_MARK_SELECT > A_GRADE_VALUE > A_NEXT_CONTINUE > A_MARK_SELECT > A_NEXT_CONTINUE > A_GRADE_VALUE > A_MARK_SELECT > A_SOURCE_TARGET > A_GRADE_VALUE > A_LOCAL_ENTRY > A_SOURCE_TARGET > A_LOCAL_ENTRY > A_MARK_SELECT > A_CLASS_FIELD > A_GRADE_VALUE > A_GRADE_VALUE > A_MARK_SELECT > A_NEXT_CONTINUE > A_CLASS_FIELD > A_SOURCE_TARGET > A_SOURCE_TARGET > A_NEXT_CONTINUE > A_GRADE_VALUE > A_GRADE_VALUE > A_GRADE_VALUE > A_NEXT_CONTINUE > A_GRADE_VALUE > A_GRADE_VALUE > A_MARK_SELECT > A_CLASS_FIELD > A_GRADE_VALUE > A_MARK_SELECT > A_MARK_SELECT > A_GRADE_VALUE > A_GRADE_VALUE > A_GRADE_VALUE > A_GRADE_VALUE > A_GRADE_VALUE > A_GRADE_VALUE > A_GRADE_VALUE > A_LOCAL_ENTRY > A_LOCAL_ENTRY > A_LOCAL_ENTRY > A_GRADE_VALUE > A_NEXT_CONTINUE > A_GRADE_VALUE > A_LOCAL_ENTRY > A_LOCAL_ENTRY > A_LOCAL_ENTRY > A_NEXT_CONTINUE > A_MARK_SELECT > A_LOCAL_ENTRY > A_LOCAL_ENTRY > A_GRADE_VALUE > A_MARK_SELECT > A_LOCAL_ENTRY > A_LOCAL_ENTRY > A_CLASS_FIELD > A_LOCAL_ENTRY > A_SOURCE_TARGET > A_GRADE_VALUE > A_SOURCE_TARGET	A_CLASS_FIELD:9|A_GRADE_VALUE:23|A_LOCAL_ENTRY:16|A_MARK_SELECT:12|A_NEXT_CONTINUE:7|A_SOURCE_TARGET:7
