template_id	register	source_slot_order	latin_like_workshop_formula	german_source_order
P_FILTER	PROSE	OWNER > MATERIAL > PRESS/STRAIN > STAND > CLEAR RESULT > STORE	Recipe de [OWNER]; exprime, cola, dimitte stare, clarum recipe et serva.	Vom sichtbaren Besitzer nehmen; auswringen oder seihen; stehen lassen; sichtbaren Auszug nehmen; verwahren.
P_APPLICATION	PROSE	OWNER > PREPARATION > TARGET > CONTACT GRADE > FASTEN/CLOSE	Recipe praeparatum de [OWNER]; pone ad locum, tene et liga.	Bereitung des Besitzers nehmen; an die Stelle bringen; anlegen oder halten; befestigen und schließen.
P_WASH	PROSE	OWNER > WATER/LIQUID > WASH > OUTLET > CLOSE	Recipe liquorem de [OWNER]; lava, per conductum duc, effunde et claude.	Arbeitsflüssigkeit des Besitzers nehmen; waschen; durch den Lauf führen; abführen und schließen.
P_WARM	PROSE	OWNER > CURRENT ITEM > WARM/HOLD GRADE > READY/CLOSE	Recipe de [OWNER]; calefac leniter, tene ad gradum et comple.	Aktuellen Posten des Besitzers nehmen; gelinde wärmen; bis zur Stufe halten; bereitstellen oder schließen.
P_SETTLE	PROSE	OWNER > BATCH > STAND/SETTLE > GRADE > RESULT	Recipe praeparatum de [OWNER]; dimitte stare ad gradum et recipe superius.	Ansatz des Besitzers stehen oder absetzen lassen; Stufe abwarten; gewonnenen Anteil nehmen.
P_COLLECT	PROSE	OWNER > FLOW/OUTPUT > RECEIVER > MEASURE > CLOSE	Recipe fluxum de [OWNER]; collige in vase, mensura et serva.	Ausgabe oder Lauf des Besitzers auffangen; im Empfänger sammeln; bemessen und verwahren.
P_FLOW	PROSE	OWNER > SOURCE > COURSE/PASSAGE > TARGET > CURRENT/CLOSE	Ab [OWNER] per cursum ad locum duc; ibi tene vel claude.	Von der sichtbaren Quelle durch den Lauf zum Ziel führen; dort halten oder schließen.
P_TRANSFER	PROSE	OWNER > SOURCE > TRANSFER > TARGET > CURRENT/CLOSE	Recipe de [OWNER]; transfer ab fonte ad locum et comple.	Vom Besitzer oder Ausgang nehmen; zum Ziel umsetzen; den Posten weiterführen oder schließen.
P_MEASURE	PROSE	OWNER > PORTION/MEASURE/STAGE > SET > CURRENT	Recipe de [OWNER] portionem ad mensuram; pone in gradu suo.	Vom Besitzer eine Portion nehmen; auf Sollmaß oder Arbeitsstufe stellen.
P_PREPARE	PROSE	OWNER > INPUT/BATCH > PROCESS > CURRENT/CLOSE	Recipe de [OWNER]; para, operare et serva quod fit.	Vom sichtbaren Besitzer nehmen; Ansatz bereiten; bearbeiten; Ergebnis weitergeben oder verwahren.
A_SOURCE_TARGET	ASTRO	VISIBLE LOCUS > SOURCE > TARGET/COURSE > READ	In figura [OWNER], ab fonte ad locum vel cursum lege.	Am sichtbaren Diagrammplatz Quelle und Ziel oder Bahn lesen.
A_MARK_SELECT	ASTRO	VISIBLE LOCUS > SELECT/MARK > CURRENT VALUE > HOLD	In figura [OWNER], elige locum, nota valorem et tene.	Am sichtbaren Diagrammplatz auswählen; Wert markieren; aktuellen Eintrag halten.
A_GRADE_VALUE	ASTRO	VISIBLE LOCUS > VALUE/STAGE/GRADE > CURRENT/READ	In figura [OWNER], gradum vel valorem statutum lege.	Am sichtbaren Diagrammplatz Stufe, Grad oder Sollwert lesen.
A_CLASS_FIELD	ASTRO	VISIBLE LOCUS > CLASS/HOUSE/FIELD > VALUE	In figura [OWNER], classem sive domum et valorem eius lege.	Am sichtbaren Diagrammplatz Klasse, Haus, Paarfeld oder Rahmen lesen.
A_NEXT_CONTINUE	ASTRO	VISIBLE LOCUS > NEXT/CONTINUE > VALUE/COURSE	In figura [OWNER], sequens accipe vel in eodem ordine continua.	Am sichtbaren Diagrammplatz den nächsten Eintrag nehmen oder im selben Ring fortsetzen.
A_LOCAL_ENTRY	ASTRO	VISIBLE LOCUS > LEARNED LOCAL VALUE > READ	In figura [OWNER], signum loci ex exemplari lege.	Den lokalen Wert am sichtbaren Platz aus dem Meisterexemplar lesen.
