record_id	plaintext	units	unit_names
0	re	49,42	a r
1	audierit	2,93,11,56,71,56,9	C u k N q N ok
2	aut	2,93,9	C u ok
3	cognoverit	20,27,90,5,27,23,71,56,9	e p x s p l q N ok
4	quaerant	92,2,71,2,5,9	j C q C s ok
5	et	22	E
6	mercatores	96,71,86,2,9,27,49,42,87	z q n C ok p a r g
7	in	1	y
8	oppidis	27,85,85,56,11,56,87	p P P N k N g
9	vulgus	23,93,94,90,93,87	l u c x u g
10	circumsistat	20,56,49,86,95,89,56,89,9,2,9	e N a n h I N I ok C ok
11	quibus	92,56,7,93,87	j N d u g
12	ex	10	ot
13	regionibus	49,42,90,56,27,5,56,7,93,87	a r x N p s N d u g
14	veniant	23,42,5,56,2,5,9	l r s N C s ok
15	quas	92,2,87	j C g
16	ibi	56,7,56	N d N
17	res	49,42,87	a r g
18	cognoverint	20,27,90,5,27,23,71,56,5,9	e p x s p l q N s ok
19	pronuntiare	85,49,27,5,93,5,9,56,2,49,42	P a p s u s ok N C a r
20	cogat	20,27,90,2,9	e p x C ok
21	rebus	49,42,7,93,87	a r d u g
22	atque	2,9,91	C ok b
23	auditionibus	2,93,11,56,9,56,27,5,56,7,93,87	C u k N ok N p s N d u g
24	permoti	85,71,96,27,9,56	P q z p ok N
25	de	11,42	k r
26	summis	89,95,96,56,87	I h z N g
27	saepe	89,2,42,85,42	I C r P r
28	rebus	49,42,7,93,87	a r d u g
29	consula	13,89,93,94,2	S I u c C
30	ineunt	56,5,42,93,5,9	N s r u s ok
31	quorum	92,27,49,46	j p a T
32	eos	42,27,87	r p g
33	in	1	y
34	vestigio	23,42,89,9,56,90,56,27	l r I ok N x N p
35	paenitere	85,2,42,5,56,9,8	P C r s N ok o
36	necesse	5,42,86,42,89,89,42	s r n r I I r
37	est	42,89,9	r I ok
38	cum	20,95	e h
39	incertis	56,5,86,71,9,56,87	N s n q ok N g
40	rumoribus	97,49,95,27,49,56,7,93,87	v a h p a N d u g
41	serviant	89,71,23,56,2,5,9	I q l N C s ok
42	et	22	E
