output	members	generator_collision_mechanism	generator_winner
c	primitive:e:prefix_operator:uid20;primitive:n:literal_carrier:uid86	cross_role_or_structural_collision	NA:NA:NA:uid-1
e	primitive:i:context_abbreviation_mark:uid61;primitive:r:literal_carrier:uid42	cross_role_or_structural_collision	NA:NA:NA:uid-1
er	primitive:K:context_abbreviation_mark:uid54;primitive:q:syllabic_carrier:uid71	cross_role_or_structural_collision	NA:NA:NA:uid-1
ere	primitive:o:syllabic_carrier:uid8;override:dy:short:uid25	core_dp_equal_length_lower_unit_id	primitive:o:syllabic_carrier:uid8
in	primitive:f:connector:uid57;primitive:y:wholeform_logogram:uid1	exact_whole_last_write	primitive:y:wholeform_logogram:uid1
qu	primitive:j:prefix_operator:uid92;override:ol:short:uid0	cross_role_or_structural_collision	NA:NA:NA:uid-1
que	primitive:b:suffix_operator:uid91;primitive:t:syllabic_carrier:uid14	cross_role_or_structural_collision	NA:NA:NA:uid-1
s	primitive:I:literal_carrier:uid89;primitive:g:suffix_operator:uid87	cross_role_or_structural_collision	NA:NA:NA:uid-1
t	primitive:F:literal_carrier:uid88;override:ok:short:uid9	core_dp_equal_length_lower_unit_id	override:ok:short:uid9
um	primitive:T:suffix_operator:uid46;primitive:h:syllabic_carrier:uid95	cross_role_or_structural_collision	NA:NA:NA:uid-1
