primitive_id	primitive	role	output
0	C	literal_carrier	a
1	E	connector	et
2	F	literal_carrier	t
3	I	literal_carrier	s
4	K	context_abbreviation_mark	er
5	N	literal_carrier	i
6	P	literal_carrier	p
7	S	prefix_operator	con
8	T	suffix_operator	um
9	a	literal_carrier	r
10	b	suffix_operator	que
11	c	literal_carrier	l
12	d	literal_carrier	b
13	e	prefix_operator	c
14	f	connector	in
15	g	suffix_operator	s
16	h	syllabic_carrier	um
17	i	context_abbreviation_mark	e
18	j	prefix_operator	qu
19	k	literal_carrier	d
20	l	literal_carrier	v
21	m	literal_carrier	q
22	n	literal_carrier	c
23	o	syllabic_carrier	ere
24	p	literal_carrier	o
25	q	syllabic_carrier	er
26	r	literal_carrier	e
27	s	literal_carrier	n
28	t	syllabic_carrier	que
29	u	literal_carrier	u
30	v	null_layout	<EMPTY>
31	x	literal_carrier	g
32	y	wholeform_logogram	in
33	z	literal_carrier	m
