language	unit_id	unit	modal_override	support_of_6
latin	0	ol	NONE	5
latin	3	ar	wholeform:rhenum	2
latin	6	aN	NONE	2
latin	9	ok	NONE	5
latin	10	ot	NONE	5
latin	12	al	NONE	2
latin	15	Ce	NONE	4
latin	19	qot	NONE	5
latin	21	Cy	NONE	5
latin	26	aI	NONE	4
latin	28	Se	NONE	3
latin	37	am	NONE	3
latin	41	yt	NONE	4
latin	44	Co	NONE	5
latin	51	ai	NONE	5
latin	52	air	NONE	4
latin	59	So	NONE	5
latin	62	op	NONE	5
latin	77	lk	NONE	3
old_italian	0	ol	NONE	5
old_italian	3	ar	short:x	2
old_italian	4	or	NONE	5
old_italian	6	aN	NONE	5
old_italian	12	al	NONE	2
old_italian	15	Ce	NONE	4
old_italian	16	qok	NONE	4
old_italian	17	daN	NONE	5
old_italian	21	Cy	NONE	5
old_italian	25	dy	NONE	2
old_italian	26	aI	NONE	5
old_italian	28	Se	NONE	4
old_italian	32	ey	NONE	4
old_italian	33	Edy	NONE	5
old_italian	37	am	NONE	4
old_italian	39	yk	NONE	3
old_italian	41	yt	NONE	4
old_italian	47	dar	NONE	5
old_italian	48	Cdy	NONE	5
old_italian	51	ai	NONE	3
old_italian	58	ky	NONE	5
old_italian	62	op	NONE	5
old_italian	68	CE	NONE	4
old_italian	69	Sy	NONE	5
middle_high_german	0	ol	NONE	5
middle_high_german	3	ar	NONE	5
middle_high_german	6	aN	NONE	4
middle_high_german	10	ot	NONE	5
middle_high_german	12	al	NONE	3
middle_high_german	15	Ce	NONE	5
middle_high_german	17	daN	NONE	5
middle_high_german	19	qot	NONE	5
middle_high_german	26	aI	NONE	4
middle_high_german	28	Se	NONE	4
middle_high_german	29	Col	NONE	5
middle_high_german	35	od	NONE	4
middle_high_german	37	am	NONE	4
middle_high_german	40	Cor	NONE	5
middle_high_german	43	qo	NONE	4
middle_high_german	45	dal	NONE	4
middle_high_german	51	ai	NONE	5
middle_high_german	58	ky	NONE	5
middle_high_german	59	So	NONE	5
middle_high_german	62	op	NONE	4
middle_high_german	68	CE	NONE	4
middle_high_german	69	Sy	NONE	4
middle_high_german	77	lk	NONE	5
