unit_id	unit	is_primitive	primitive_id	left_unit_id	right_unit_id	merge_rank	leaves
0	ol	0	-1	8	23	3	o,l
1	y	1	32	-1	-1	-1	y
2	C	1	0	-1	-1	-1	C
3	ar	0	-1	49	42	8	a,r
4	or	0	-1	8	42	10	o,r
5	s	1	27	-1	-1	-1	s
6	aN	0	-1	49	56	4	a,N
7	d	1	12	-1	-1	-1	d
8	o	1	23	-1	-1	-1	o
9	ok	0	-1	8	11	2	o,k
10	ot	0	-1	8	14	6	o,t
11	k	1	19	-1	-1	-1	k
12	al	0	-1	49	23	9	a,l
13	S	1	7	-1	-1	-1	S
14	t	1	28	-1	-1	-1	t
15	Ce	0	-1	2	20	5	C,e
16	qok	0	-1	71	9	7	q,o,k
17	daN	0	-1	7	6	13	d,a,N
18	Cedy	0	-1	15	25	15	C,e,d,y
19	qot	0	-1	71	10	16	q,o,t
20	e	1	13	-1	-1	-1	e
21	Cy	0	-1	2	1	17	C,y
22	E	1	1	-1	-1	-1	E
23	l	1	20	-1	-1	-1	l
24	ody	0	-1	8	25	20	o,d,y
25	dy	0	-1	7	1	1	d,y
26	aI	0	-1	49	89	12	a,I
27	p	1	24	-1	-1	-1	p
28	Se	0	-1	13	20	11	S,e
29	Col	0	-1	2	0	21	C,o,l
30	Cey	0	-1	15	1	22	C,e,y
31	Ey	0	-1	22	1	14	E,y
32	ey	0	-1	20	1	24	e,y
33	Edy	0	-1	22	25	18	E,d,y
34	edy	0	-1	20	25	19	e,d,y
35	od	0	-1	8	7	25	o,d
36	Sedy	0	-1	28	25	26	S,e,d,y
37	am	0	-1	49	81	27	a,m
38	olk	0	-1	0	11	28	o,l,k
39	yk	0	-1	1	11	29	y,k
40	Cor	0	-1	2	4	30	C,o,r
41	yt	0	-1	1	14	31	y,t
42	r	1	26	-1	-1	-1	r
43	qo	0	-1	71	8	32	q,o
44	Co	0	-1	2	8	33	C,o
45	dal	0	-1	7	12	34	d,a,l
46	T	1	8	-1	-1	-1	T
47	dar	0	-1	7	3	35	d,a,r
48	Cdy	0	-1	2	25	36	C,d,y
49	a	1	9	-1	-1	-1	a
50	Ky	0	-1	54	1	37	K,y
51	ai	0	-1	49	61	23	a,i
52	air	0	-1	51	42	38	a,i,r
53	Ty	0	-1	46	1	39	T,y
54	K	1	4	-1	-1	-1	K
55	Sey	0	-1	28	1	40	S,e,y
56	N	1	5	-1	-1	-1	N
57	f	1	14	-1	-1	-1	f
58	ky	0	-1	11	1	41	k,y
59	So	0	-1	13	8	43	S,o
60	qokaI	0	-1	16	26	42	q,o,k,a,I
61	i	1	17	-1	-1	-1	i
62	op	0	-1	8	27	44	o,p
63	Sol	0	-1	13	0	45	S,o,l
64	qokaN	0	-1	16	6	46	q,o,k,a,N
65	qokEdy	0	-1	16	33	47	q,o,k,E,d,y
66	qokal	0	-1	16	12	48	q,o,k,a,l
67	qokedy	0	-1	16	34	49	q,o,k,e,d,y
68	CE	0	-1	2	22	50	C,E
69	Sy	0	-1	13	1	52	S,y
70	eol	0	-1	20	0	51	e,o,l
71	q	1	25	-1	-1	-1	q
72	CEy	0	-1	2	31	53	C,E,y
73	Ceol	0	-1	15	0	54	C,e,o,l
74	daI	0	-1	7	26	55	d,a,I
75	os	0	-1	8	5	56	o,s
76	qol	0	-1	71	0	57	q,o,l
77	lk	0	-1	23	11	58	l,k
78	qokEy	0	-1	16	31	59	q,o,k,E,y
79	okaN	0	-1	9	6	60	o,k,a,N
80	okal	0	-1	9	12	61	o,k,a,l
81	m	1	21	-1	-1	-1	m
82	otal	0	-1	10	12	62	o,t,a,l
83	oky	0	-1	9	1	63	o,k,y
84	oty	0	-1	10	1	64	o,t,y
85	P	1	6	-1	-1	-1	P
86	n	1	22	-1	-1	-1	n
87	g	1	15	-1	-1	-1	g
88	F	1	2	-1	-1	-1	F
89	I	1	3	-1	-1	-1	I
90	x	1	31	-1	-1	-1	x
91	b	1	10	-1	-1	-1	b
92	j	1	18	-1	-1	-1	j
93	u	1	29	-1	-1	-1	u
94	c	1	11	-1	-1	-1	c
95	h	1	16	-1	-1	-1	h
96	z	1	33	-1	-1	-1	z
97	v	1	30	-1	-1	-1	v
