truth_level	id	unit_id	unit	role_or_type	output	train_direct_events	held_direct_events	recoverable_from_train_directly
primitive	0	2	C	literal_carrier	a	7062	1906	1
primitive	1	22	E	connector	et	376	103	1
primitive	2	88	F	literal_carrier	t	0	0	0
primitive	3	89	I	literal_carrier	s	4267	1079	1
primitive	4	54	K	context_abbreviation_mark	er	0	60	0
primitive	5	56	N	literal_carrier	i	8937	2173	1
primitive	6	85	P	literal_carrier	p	2671	662	1
primitive	7	13	S	prefix_operator	con	416	91	1
primitive	8	46	T	suffix_operator	um	1158	265	1
primitive	9	49	a	literal_carrier	r	3770	1027	1
primitive	10	91	b	suffix_operator	que	586	128	1
primitive	11	94	c	literal_carrier	l	2546	543	1
primitive	12	7	d	literal_carrier	b	1344	403	1
primitive	13	20	e	prefix_operator	c	1190	275	1
primitive	14	57	f	connector	in	0	0	0
primitive	15	87	g	suffix_operator	s	2731	713	1
primitive	16	95	h	syllabic_carrier	um	369	77	1
primitive	17	61	i	context_abbreviation_mark	e	0	60	0
primitive	18	92	j	prefix_operator	qu	684	170	1
primitive	19	11	k	literal_carrier	d	2390	549	1
primitive	20	23	l	literal_carrier	v	1049	247	1
primitive	21	81	m	literal_carrier	q	9	2	1
primitive	22	86	n	literal_carrier	c	1649	370	1
primitive	23	8	o	syllabic_carrier	ere	355	81	1
primitive	24	27	p	literal_carrier	o	4608	1040	1
primitive	25	71	q	syllabic_carrier	er	1523	424	1
primitive	26	42	r	literal_carrier	e	6048	1486	1
primitive	27	5	s	literal_carrier	n	4156	1073	1
primitive	28	14	t	syllabic_carrier	que	36	9	1
primitive	29	93	u	literal_carrier	u	3795	960	1
primitive	30	97	v	null_layout	<EMPTY>	148	37	1
primitive	31	90	x	literal_carrier	g	1025	238	1
primitive	32	1	y	wholeform_logogram	in	398	110	1
primitive	33	96	z	literal_carrier	m	2968	719	1
override	0	0	ol	short	qu	276	90	1
override	3	3	ar	wholeform	qui	140	32	1
override	6	6	aN	short	ent	496	105	1
override	9	9	ok	short	t	6100	1764	1
override	10	10	ot	wholeform	ex	143	51	1
override	12	12	al	wholeform	ut	143	28	1
override	15	15	Ce	wholeform	se	154	42	1
override	25	25	dy	short	ere	0	0	0
