primitive_id	primitive	direct_train_n	direct_chunk_initial_rate	direct_chunk_final_rate	leaf_train_occurrences	leaf_train_fraction
0	C	1445	0.6906574394463668	0.010380622837370242	6344	0.07237465061890366
1	E	669	0.029895366218236172	0.017937219730941704	2330	0.02658148422793908
2	F	35	0.5714285714285714	0.0	35	0.00039929268153556554
3	I	18	0.0	0.8333333333333334	981	0.011191603445325424
4	K	250	0.352	0.012	523	0.005966573498374308
5	N	222	0.0	0.963963963963964	2569	0.029308082824710514
6	P	107	0.6448598130841121	0.0	107	0.001220694769265872
7	S	910	0.7	0.020879120879120878	2703	0.03083680337687525
8	T	344	0.7122093023255814	0.020348837209302327	595	0.006787975586104614
9	a	278	0.13309352517985612	0.13309352517985612	8015	0.09143802407164452
10	b	12	0.0	0.9166666666666666	12	0.00013690034795505105
11	c	4	0.25	1.0	4	4.563344931835035e-05
12	d	1144	0.6354895104895105	0.19143356643356643	7282	0.08307569448405681
13	e	699	0.044349070100143065	0.020028612303290415	5511	0.06287148479835719
14	f	220	0.30454545454545456	0.06818181818181818	220	0.0025098397125092693
15	g	73	0.0273972602739726	0.958904109589041	73	0.0008328104500598939
16	h	2	0.0	0.0	2	2.2816724659175175e-05
17	i	199	0.005025125628140704	0.02512562814070352	717	0.0081797957903143
18	j	7	0.14285714285714285	0.42857142857142855	7	7.985853630711312e-05
19	k	1025	0.5482926829268293	0.014634146341463415	5646	0.06441161371285152
20	l	666	0.7162162162162162	0.16066066066066065	6001	0.06846158233985511
21	m	138	0.028985507246376812	0.927536231884058	546	0.006228965831954823
22	n	86	0.03488372093023256	0.9534883720930233	86	0.0009811191603445325
23	o	1126	0.33570159857904086	0.23268206039076378	14097	0.16082368376019623
24	p	572	0.534965034965035	0.017482517482517484	770	0.008784438993782442
25	q	173	0.9653179190751445	0.005780346820809248	3392	0.0386971650219611
26	r	374	0.6417112299465241	0.37967914438502676	4090	0.046660201928013234
27	s	1322	0.5915279878971256	0.3615733736762481	1486	0.016952826421767157
28	t	883	0.6500566251415628	0.01698754246885617	3275	0.03736238662939935
29	u	5	0.0	1.0	5	5.704181164793794e-05
30	v	1	1.0	0.0	1	1.1408362329587588e-05
31	x	14	0.5	0.2857142857142857	14	0.00015971707261422624
32	y	1554	0.2728442728442728	0.711068211068211	10214	0.11652501283440762
33	z	2	0.5	0.0	2	2.2816724659175175e-05
