language	seed	carrier	role	output	level
latin	1101	C	literal_carrier	z	primitive
latin	1102	C	literal_carrier	l	primitive
latin	1103	C	literal_carrier	i	primitive
latin	1104	C	context_abbreviation_mark	p	primitive
latin	1105	C	prefix_operator	py	primitive
latin	1106	C	literal_carrier	y	primitive
latin	1101	d	syllabic_carrier	us	primitive
latin	1102	d	connector	vix	primitive
latin	1103	d	connector	has	primitive
latin	1104	d	connector	has	primitive
latin	1105	d	connector	has	primitive
latin	1106	d	connector	vix	primitive
latin	1101	o	connector	has	primitive
latin	1102	o	connector	has	primitive
latin	1103	o	wholeform_logogram	germanos	primitive
latin	1104	o	prefix_operator	py	primitive
latin	1105	o	wholeform_logogram	auxilio	primitive
latin	1106	o	connector	has	primitive
latin	1101	y	wholeform_logogram	videbat	primitive
latin	1102	y	prefix_operator	py	primitive
latin	1103	y	connector	vix	primitive
latin	1104	y	connector	vix	primitive
latin	1105	y	connector	vix	primitive
latin	1106	y	prefix_operator	py	primitive
latin	1101	ol	composed_unit	has py	unit
latin	1102	ol	composed_unit	helvetii	unit
latin	1103	ol	composed_unit	germanos x	unit
latin	1104	ol	composed_unit	pyr	unit
latin	1105	ol	composed_unit	auxilio x	unit
latin	1106	ol	composed_unit	has videbat	unit
latin	1101	qok	composed_unit	b has i	unit
latin	1102	qok	composed_unit	ly	unit
latin	1103	qok	composed_unit	a germanos l	unit
latin	1104	qok	composed_unit	apud pyp	unit
latin	1105	qok	composed_unit	l auxilio z	unit
latin	1106	qok	composed_unit	m has l	unit
old_italian	2101	C	syllabic_carrier	ve	primitive
old_italian	2102	C	syllabic_carrier	ve	primitive
old_italian	2103	C	literal_carrier	e	primitive
old_italian	2104	C	literal_carrier	e	primitive
old_italian	2105	C	literal_carrier	y	primitive
old_italian	2106	C	literal_carrier	x	primitive
old_italian	2101	d	literal_carrier	e	primitive
old_italian	2102	d	context_abbreviation_mark	ve	primitive
old_italian	2103	d	suffix_operator	x	primitive
old_italian	2104	d	literal_carrier	g	primitive
old_italian	2105	d	connector	n	primitive
old_italian	2106	d	context_abbreviation_mark	ve	primitive
old_italian	2101	o	literal_carrier	x	primitive
old_italian	2102	o	wholeform_logogram	padre	primitive
old_italian	2103	o	wholeform_logogram	dicendo	primitive
old_italian	2104	o	wholeform_logogram	lume	primitive
old_italian	2105	o	wholeform_logogram	dicendo	primitive
old_italian	2106	o	wholeform_logogram	lume	primitive
old_italian	2101	y	wholeform_logogram	lume	primitive
old_italian	2102	y	literal_carrier	x	primitive
old_italian	2103	y	literal_carrier	y	primitive
old_italian	2104	y	suffix_operator	x	primitive
old_italian	2105	y	literal_carrier	a	primitive
old_italian	2106	y	connector	u	primitive
old_italian	2101	ol	composed_unit	x p	unit
old_italian	2102	ol	composed_unit	x	unit
old_italian	2103	ol	composed_unit	dicendo ve	unit
old_italian	2104	ol	composed_unit	lume v	unit
old_italian	2105	ol	composed_unit	dicendo gue	unit
old_italian	2106	ol	composed_unit	lume p	unit
old_italian	2101	qok	composed_unit	vexve	unit
old_italian	2102	qok	composed_unit	ve	unit
old_italian	2103	qok	composed_unit	n dicendo x	unit
old_italian	2104	qok	composed_unit	r lume e	unit
old_italian	2105	qok	composed_unit	n dicendo v	unit
old_italian	2106	qok	composed_unit	e	unit
middle_high_german	3101	C	literal_carrier	y	primitive
middle_high_german	3102	C	connector	doz	primitive
middle_high_german	3103	C	context_abbreviation_mark	o	primitive
middle_high_german	3104	C	literal_carrier	e	primitive
middle_high_german	3105	C	literal_carrier	e	primitive
middle_high_german	3106	C	suffix_operator	oy	primitive
middle_high_german	3101	d	literal_carrier	r	primitive
middle_high_german	3102	d	literal_carrier	r	primitive
middle_high_german	3103	d	literal_carrier	l	primitive
middle_high_german	3104	d	literal_carrier	r	primitive
middle_high_german	3105	d	literal_carrier	l	primitive
middle_high_german	3106	d	literal_carrier	l	primitive
middle_high_german	3101	o	connector	doz	primitive
middle_high_german	3102	o	literal_carrier	o	primitive
middle_high_german	3103	o	suffix_operator	oy	primitive
middle_high_german	3104	o	wholeform_logogram	disiu	primitive
middle_high_german	3105	o	wholeform_logogram	gedahte	primitive
middle_high_german	3106	o	connector	doz	primitive
middle_high_german	3101	y	suffix_operator	oy	primitive
middle_high_german	3102	y	suffix_operator	oy	primitive
middle_high_german	3103	y	suffix_operator	ex	primitive
middle_high_german	3104	y	suffix_operator	oy	primitive
middle_high_german	3105	y	suffix_operator	ex	primitive
middle_high_german	3106	y	suffix_operator	ex	primitive
middle_high_german	3101	ol	composed_unit	doz duz	unit
middle_high_german	3102	ol	composed_unit	oy	unit
middle_high_german	3103	ol	composed_unit	oy doz	unit
middle_high_german	3104	ol	composed_unit	disiu q	unit
middle_high_german	3105	ol	composed_unit	disiu	unit
middle_high_german	3106	ol	composed_unit	doz verlorn	unit
middle_high_german	3101	qok	composed_unit	t doz le	unit
middle_high_german	3102	qok	composed_unit	roy	unit
middle_high_german	3103	qok	composed_unit	royo	unit
middle_high_german	3104	qok	composed_unit	n disiu r	unit
middle_high_german	3105	qok	composed_unit	le gedahte p	unit
middle_high_german	3106	qok	composed_unit	n doz o	unit
