stem_pair	stem_a	stem_b	composed_reading_de	inventory_status	card_type_count	prose_event_count	astro_group_count	support_cards	support_forms	prediction_priority	workshop_interpretation
AR|AL	AR	AL	von einer Quelle zu einem Ziel	MISSING_COMBINATION	0	0	0	NONE	NONE	LOW	Doppeladresse wird wahrscheinlich als zwei Karten geschrieben
AR|OL	AR	OL	von derselben Quelle aus weiter	MISSING_COMBINATION	0	0	0	NONE	NONE	MEDIUM	plausibler Quell-Fortgang, bisher nur über Kartenfolge ausgedrückt
AR|OT	AR	OT	danach aus der nächsten Quelle	OBSERVED	1	1	1	MC121	otar	ATTESTED	attested compound family
AR|OR	AR	OR	Ansatz aus der bezeichneten Quelle	MISSING_COMBINATION	0	0	0	NONE	NONE	HIGH	natürliche fehlende Verbindung: Ansatz aus einer bezeichneten Quelle
AR|Y	AR	Y	von diesem Posten	OBSERVED	1	1	0	MC009	chary	ATTESTED	attested compound family
AL|OL	AL	OL	zur Zielstelle weiter	MISSING_COMBINATION	0	0	0	NONE	NONE	HIGH	natürliche fehlende Verbindung: zur Zielstelle weiterführen
AL|OT	AL	OT	danach zur nächsten Zielstelle	OBSERVED	1	3	0	MC093	otal	ATTESTED	attested compound family
AL|OR	AL	OR	den Ansatz zur Zielstelle	OBSERVED	1	1	0	MC146	chealror	ATTESTED	attested compound family
AL|Y	AL	Y	diesen Posten zur Zielstelle	OBSERVED	4	4	0	MC010|MC046|MC054|MC078	chodaly|raly|qokaly|olsaly	ATTESTED	attested compound family
OL|OT	OL	OT	danach im selben Fortgang weiter	OBSERVED	4	4	1	MC053|MC069|MC115|MC163	otol|otytchol|qoctholy|qotchol	ATTESTED	attested compound family
OL|OR	OL	OR	mit demselben Ansatz weiter	OBSERVED	1	2	1	MC157	cholor	ATTESTED	attested compound family
OL|Y	OL	Y	mit diesem Posten weiter	OBSERVED	3	3	0	MC021|MC115|MC162	oltchy|qoctholy|qolchey	ATTESTED	attested compound family
OT|OR	OT	OR	danach den nächsten Ansatz	OBSERVED	1	2	0	MC013	otchor	ATTESTED	attested compound family
OT|Y	OT	Y	danach diesen oder den nächsten Posten	OBSERVED	4	6	3	MC063|MC107|MC115|MC171	oteey|qotchy|qoctholy|otchey	ATTESTED	attested compound family
OR|Y	OR	Y	dieser laufende Ansatz	OBSERVED	1	1	0	MC075	ycheor	ATTESTED	attested compound family
