event_id	statement_id	page	visible_owner	visible_surface	master_card_id	relation_stems	recomposed_core_de	full_visible_sequence	complete_local_translation_de
E007	H1-S001	f10r	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	otytchol	MC069	OL|OT	danach im selben Fortgang weiter	dchey cthoor char chty os chair otytchol oky daiin etyd	Die Wurzel der Bildpflanze nehmen, einen Teil im Aufnahmegefäß vorbereiten, Flüssigkeit zugießen, den Folgeteil einsetzen, auf Sollmaß bringen und einen kleinen Rest belassen.
E012	H1-S002	f10r	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	qotchol	MC163	OL|OT	danach im selben Fortgang weiter	qokchy qotchol chol cthy	Die erste Charge weiterbearbeiten, im Folgegang weiterführen und als bereit halten.
E015	H2-S001	f10r	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	ycheor	MC075	OR|Y	dieser laufende Ansatz	ycheor cthy chor cthaiin qoctholy dy chy taiin shy	Aus dem bereiten Auszugsansatz die nächste Charge ansetzen, den bereiten Folgeposten wählen und diesen auf Sollmaß bringen.
E019	H2-S001	f10r	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	qoctholy	MC115	OL|OT|Y	danach mit diesem Posten weiter	ycheor cthy chor cthaiin qoctholy dy chy taiin shy	Aus dem bereiten Auszugsansatz die nächste Charge ansetzen, den bereiten Folgeposten wählen und diesen auf Sollmaß bringen.
E024	H2-S002	f10r	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	qotchor	MC013	OT|OR	danach den nächsten Ansatz	qotchor chor otol chol cholor chol daiin dar	Den Folgeansatz und denselben aktiven Ansatz weiterführen, davon eine Sollmenge nehmen und die Folge beibehalten.
E026	H2-S002	f10r	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	otol	MC053	OL|OT	danach im selben Fortgang weiter	qotchor chor otol chol cholor chol daiin dar	Den Folgeansatz und denselben aktiven Ansatz weiterführen, davon eine Sollmenge nehmen und die Folge beibehalten.
E028	H2-S002	f10r	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	cholor	MC157	OL|OR	mit demselben Ansatz weiter	qotchor chor otol chol cholor chol daiin dar	Den Folgeansatz und denselben aktiven Ansatz weiterführen, davon eine Sollmenge nehmen und die Folge beibehalten.
E052	H3-S004	f11r	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	qotchy	MC107	OT|Y	danach diesen oder den nächsten Posten	qotchy okchol cthy dy	Zum nächsten Posten wechseln, ihn weiter einsetzen, Bereitschaft prüfen und als aktuellen Posten halten.
E070	H4-S004	f55v	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	oltchy	MC021	OL|Y	mit diesem Posten weiter	aiin okal oltchy or y orain	Das Sollmaß am Ziel einsetzen und aus diesem Ansatz mit dem Bereitungsanteil die Folgezubereitung bilden.
E076	H5-S001	f56r	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	chodaly	MC010	AL|Y	diesen Posten zur Zielstelle	chochor cho chodaly daiin sho kchol otchor choky dal	Einen Zugabeansatz herstellen, die weitere Zutat als Zielzugabe auf Sollmaß bringen, den Folgeansatz weiter bearbeiten, einsetzen und dorthin führen.
E080	H5-S001	f56r	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	otchor	MC013	OT|OR	danach den nächsten Ansatz	chochor cho chodaly daiin sho kchol otchor choky dal	Einen Zugabeansatz herstellen, die weitere Zutat als Zielzugabe auf Sollmaß bringen, den Folgeansatz weiter bearbeiten, einsetzen und dorthin führen.
E098	H5-S006	f56r	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	otchey	MC171	OT|Y	danach diesen oder den nächsten Posten	otchey keol daiin	Zum nächsten Posten wechseln, kurz weiterbearbeiten und auf Sollmaß bringen.
E113	B1-S002	f81v	gemeinsames zweireihiges Figuren-/Beckenfeld	olor	MC157	OL|OR	mit demselben Ansatz weiter	okaiin kair okal sar ol kain olkain al ol rol dl olor ol sheckhal daiin qokeedal daiin chckhy schedy	Eine Portion ansetzen, den Posten lang einwirken lassen und über den Fortsetzungsweg weitergeben.
E149	B1-S014	f81v	gemeinsames zweireihiges Figuren-/Beckenfeld	otar	MC121	AR|OT	danach aus der nächsten Quelle	chedy qolky lchedal qol otar	Überführen, über den Weiterweg an der Zielstelle abführen und zur Folgequelle weitergehen.
E177	B2-S005	f82r	obere Paarbecken-/Zylinderstation	qokaly	MC054	AL|Y	diesen Posten zur Zielstelle	qokaly solkaiin chckhy qokaiin qokaiin octheol chkeey ldy	Am Ziel einsetzen, bis zum Soll sammeln, durchleiten, am Zeilenübergang einmal bemessen, die Fortsetzung vorbereiten, länger wärmen und abziehen; Schluss.
E185	B2-S006	f82r	obere Paarbecken-/Zylinderstation	oteey	MC063	OT|Y	danach diesen oder den nächsten Posten	oteey qokal sheckhy qoky	Die lange Folge ausführen, dorthin einsetzen, durch die kurze Passage führen und einsetzen.
E218	B2-S016	f82r	lokale Randstationen des unteren Feldes	oteey	MC063	OT|Y	danach diesen oder den nächsten Posten	cheal lchedar ches aiin oteey qokaiin okey pchedy	Dorthin führen, aus der Quelle abführen, teilen, auf Sollmaß bringen, die lange Folge bemessen, kurz einwirken lassen und zuführen; Schluss.
E230	B3-S002	f83r	obere offene Fächer-Randstation	qotal	MC093	AL|OT	danach zur nächsten Zielstelle	qotal chkeedy	Danach zur nächsten Stelle führen und dort länger erwärmen; Schluss.
E237	B3-S004	f83r	obere offene Fächer-Randstation	qotal	MC093	AL|OT	danach zur nächsten Zielstelle	qokaiin qotal dar	Davon eine Menge abmessen und zur folgenden Stelle bringen.
E253	B3-S011	f83r	untere korbartige Gefäß-Randstation	chary	MC009	AR|Y	von diesem Posten	shecthedchy qoky chedy chary	Die Vorbereitung übertragen, einsetzen, weiterführen und beim Quellposten belassen.
E290	B3-S026	f83r	ungelöster Zwischenposten zwischen Randstapel und Hauptpaar	chealror	MC146	AL|OR	den Ansatz zur Zielstelle	cheedar chldaiin chedy qokain checthy chealror solkeedy	Von der Quelle übertragen, auf den Sollabsetzstand bringen, weiterführen, einen Anteil zugeben, Bereitschaft prüfen, am Ziel vorbereiten und länger sammeln; Schluss.
E313	B3-S034	f83r	Hauptpaar am sichtbaren ungerichteten Bogen	olsaly	MC078	AL|Y	diesen Posten zur Zielstelle	soiiin checthy chety otaiin olsaly shedy	Die Arbeitsstufe auf bereit stellen, einen Teil und das Folgemaß nehmen und am Zwischenziel kurz absetzen; Schluss.
E316	B4-S002	f83r	Hauptpaar am sichtbaren ungerichteten Bogen	qolchey	MC162	OL|Y	mit diesem Posten weiter	qolchey qokeey qokedy	Den Weiterposten zuerst länger, dann kurz einwirken lassen; Schluss.
E320	B4-S003	f83r	Hauptpaar am sichtbaren ungerichteten Bogen	otal	MC093	AL|OT	danach zur nächsten Zielstelle	chedy otal otchey qokeey qoky tol shedy	Überführen, danach den nächsten Posten dorthin bringen, länger einwirken lassen, einsetzen, weiterführen und kurz absetzen lassen; Schluss.
E321	B4-S003	f83r	Hauptpaar am sichtbaren ungerichteten Bogen	otchey	MC171	OT|Y	danach diesen oder den nächsten Posten	chedy otal otchey qokeey qoky tol shedy	Überführen, danach den nächsten Posten dorthin bringen, länger einwirken lassen, einsetzen, weiterführen und kurz absetzen lassen; Schluss.
E375	B6-S001	f83r	rechter S-Lauf-/Mehrarm-Endposten	raly	MC046	AL|Y	diesen Posten zur Zielstelle	solkeey qekey raly ol daiin ol dain chey ldalor	Am rechten Endposten länger auffangen, kurz bearbeiten, zum Endposten weiterführen, auf Sollmaß bringen, die Einlage als aktuellen Posten zum Endziel führen.
