master_card_id	master_form	registered_surfaces	relation_stems	component_parse	prose_event_count	old_portable_core_de	recomposed_core_de	revision_status
MC009	chary	chary	AR|Y	AR_FROM+Y_CURRENT	1	Quellposten	von diesem Posten	RECOMPOSE
MC010	chodaly	chodaly	AL|Y	CHO + AL + Y	1	Zugabe am aktuellen Ziel	diesen Posten zur Zielstelle	RECOMPOSE
MC013	otchor	otchor|qotchor	OT|OR	OT + OR	2	Folgeansatz	danach den nächsten Ansatz	RECOMPOSE
MC021	oltchy	oltchy	OL|Y	OL + TCH + Y	1	die laufende Bereitung fortsetzen	mit diesem Posten weiter	RECOMPOSE
MC046	raly	raly	AL|Y	AL_TO+Y_CURRENT	1	Endposten	diesen Posten zur Zielstelle	RECOMPOSE
MC053	otol	otol	OL|OT	OT + OL	1	DANACH_WEITER	danach im selben Fortgang weiter	RECOMPOSE
MC054	qokaly	qokaly	AL|Y	OK_SET+AL_TO+Y_ITEM	1	Zieleinsatz	diesen Posten zur Zielstelle	RECOMPOSE
MC063	oteey	oteey	OT|Y	OT_FOLLOW+GRADE_2+Y_ITEM	2	Langfolge	danach diesen oder den nächsten Posten	RECOMPOSE
MC069	otytchol	otytchol	OL|OT	OT + YTY + OL	1	Folgeteil	danach im selben Fortgang weiter	RECOMPOSE
MC075	ycheor	ycheor	OR|Y	Y + CHEO + OR	1	aktueller Auszugsansatz	dieser laufende Ansatz	RECOMPOSE
MC078	olsaly	olsaly	AL|Y	OLS_BELOW+AL_TO+Y_ITEM	1	Zwischenziel	diesen Posten zur Zielstelle	RECOMPOSE
MC093	otal	otal|qotal	AL|OT	OT_NEXT+AL_TO	3	danach dorthin	danach zur nächsten Zielstelle	RECOMPOSE
MC107	qotchy	qotchy	OT|Y	OT + Y	1	zum nächsten Posten wechseln	danach diesen oder den nächsten Posten	RECOMPOSE
MC115	qoctholy	qoctholy	OL|OT|Y	OT + OL + Y	1	den bereiten Folgeposten wählen	danach mit diesem Posten weiter	RECOMPOSE
MC121	otar	otar	AR|OT	OT_NEXT+AR_FROM	1	Folgequelle	danach aus der nächsten Quelle	RECOMPOSE
MC146	chealror	chealror	AL|OR	AL_TO+R_FRAME+OR_BATCH	1	Zielbereitung	den Ansatz zur Zielstelle	RECOMPOSE
MC157	cholor	cholor|olor	OL|OR	OL_CONTINUE+OR_BATCH	2	derselbe Ansatz	mit demselben Ansatz weiter	RECOMPOSE
MC162	qolchey	qolchey	OL|Y	OL_CONTINUE+Y_CURRENT	1	Weiterposten	mit diesem Posten weiter	RECOMPOSE
MC163	qotchol	qotchol	OL|OT	OT + OL	1	DANACH_WEITER	danach im selben Fortgang weiter	RECOMPOSE
MC171	otchey	otchey	OT|Y	OT_FOLLOW+Y_CURRENT_ITEM	2	das nächste	danach diesen oder den nächsten Posten	RECOMPOSE
