domain	local_class	type_count	token_count	token_fraction	cross_domain_alignment	semantic_state	selected_k
HERBAL_A	0	75	77	0.030750799	0	UNASSIGNED	12
HERBAL_A	1	34	35	0.013977636	0	UNASSIGNED	12
HERBAL_A	2	29	626	0.250000000	0	UNASSIGNED	12
HERBAL_A	3	143	659	0.263178914	0	UNASSIGNED	12
HERBAL_A	4	84	99	0.039536741	0	UNASSIGNED	12
HERBAL_A	5	89	93	0.037140575	0	UNASSIGNED	12
HERBAL_A	6	55	62	0.024760383	0	UNASSIGNED	12
HERBAL_A	7	7	644	0.257188498	0	UNASSIGNED	12
HERBAL_A	8	37	40	0.015974441	0	UNASSIGNED	12
HERBAL_A	9	11	14	0.005591054	0	UNASSIGNED	12
HERBAL_A	10	55	62	0.024760383	0	UNASSIGNED	12
HERBAL_A	11	91	93	0.037140575	0	UNASSIGNED	12
HERBAL_B	0	28	141	0.192886457	0	UNASSIGNED	12
HERBAL_B	1	46	59	0.080711354	0	UNASSIGNED	12
HERBAL_B	2	15	17	0.023255814	0	UNASSIGNED	12
HERBAL_B	3	23	28	0.038303694	0	UNASSIGNED	12
HERBAL_B	4	9	41	0.056087551	0	UNASSIGNED	12
HERBAL_B	5	36	42	0.057455540	0	UNASSIGNED	12
HERBAL_B	6	46	49	0.067031464	0	UNASSIGNED	12
HERBAL_B	7	44	53	0.072503420	0	UNASSIGNED	12
HERBAL_B	8	4	4	0.005471956	0	UNASSIGNED	12
HERBAL_B	9	13	249	0.340629275	0	UNASSIGNED	12
HERBAL_B	10	19	19	0.025991792	0	UNASSIGNED	12
HERBAL_B	11	21	29	0.039671683	0	UNASSIGNED	12
OTHER_A	0	9	9	0.020224719	0	UNASSIGNED	12
OTHER_A	1	41	113	0.253932584	0	UNASSIGNED	12
OTHER_A	2	36	39	0.087640449	0	UNASSIGNED	12
OTHER_A	3	33	33	0.074157303	0	UNASSIGNED	12
OTHER_A	4	6	6	0.013483146	0	UNASSIGNED	12
OTHER_A	5	2	2	0.004494382	0	UNASSIGNED	12
OTHER_A	6	22	23	0.051685393	0	UNASSIGNED	12
OTHER_A	7	8	50	0.112359551	0	UNASSIGNED	12
OTHER_A	8	10	108	0.242696629	0	UNASSIGNED	12
OTHER_A	9	20	21	0.047191011	0	UNASSIGNED	12
OTHER_A	10	21	22	0.049438202	0	UNASSIGNED	12
OTHER_A	11	18	19	0.042696629	0	UNASSIGNED	12
OTHER_B	0	46	1430	0.611633875	0	UNASSIGNED	12
OTHER_B	1	16	16	0.006843456	0	UNASSIGNED	12
OTHER_B	2	4	4	0.001710864	0	UNASSIGNED	12
OTHER_B	3	66	75	0.032078700	0	UNASSIGNED	12
OTHER_B	4	61	62	0.026518392	0	UNASSIGNED	12
OTHER_B	5	12	13	0.005560308	0	UNASSIGNED	12
OTHER_B	6	27	33	0.014114628	0	UNASSIGNED	12
OTHER_B	7	104	115	0.049187340	0	UNASSIGNED	12
OTHER_B	8	127	515	0.220273738	0	UNASSIGNED	12
OTHER_B	9	4	11	0.004704876	0	UNASSIGNED	12
OTHER_B	10	52	57	0.024379812	0	UNASSIGNED	12
OTHER_B	11	7	7	0.002994012	0	UNASSIGNED	12
STARS_RECIPE_B	0	108	112	0.046090535	0	UNASSIGNED	12
STARS_RECIPE_B	1	94	569	0.234156379	0	UNASSIGNED	12
STARS_RECIPE_B	2	6	6	0.002469136	0	UNASSIGNED	12
STARS_RECIPE_B	3	13	17	0.006995885	0	UNASSIGNED	12
STARS_RECIPE_B	4	32	35	0.014403292	0	UNASSIGNED	12
STARS_RECIPE_B	5	4	16	0.006584362	0	UNASSIGNED	12
STARS_RECIPE_B	6	138	174	0.071604938	0	UNASSIGNED	12
STARS_RECIPE_B	7	107	130	0.053497942	0	UNASSIGNED	12
STARS_RECIPE_B	8	35	1102	0.453497942	0	UNASSIGNED	12
STARS_RECIPE_B	9	77	89	0.036625514	0	UNASSIGNED	12
STARS_RECIPE_B	10	53	55	0.022633745	0	UNASSIGNED	12
STARS_RECIPE_B	11	90	125	0.051440329	0	UNASSIGNED	12
